epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.992853397945706,1.8155,29.6,0.696,0.17,1.9942,24.21,0.646,0.154
1,1.8125764980590602,1.9086,23.34,0.74,0.139,2.1414,26.43,0.703,0.153
2,1.583738748975795,1.5776,40.27,0.841,0.364,1.9233,35.64,0.771,0.291
3,1.4037193214293007,1.0903,61.78,0.917,0.612,1.2019,57.4,0.89,0.523
4,1.2028468186906773,1.1572,56.42,0.92,0.524,1.6044,44.53,0.874,0.396
5,1.0657097225566563,0.8265,71.44,0.952,0.695,1.0697,62.18,0.928,0.579
6,0.9582230530196815,0.7611,72.14,0.963,0.709,0.9682,64.39,0.941,0.621
7,0.8897632999385862,0.6256,77.19,0.971,0.766,0.7918,70.77,0.952,0.683
8,0.8458455663790806,0.6245,77.5,0.971,0.766,0.9289,65.17,0.952,0.642
9,0.8015551627111092,0.5297,81.26,0.98,0.801,0.8294,70.65,0.958,0.686
10,0.7626246514080239,0.5617,79.67,0.977,0.79,0.9495,64.14,0.952,0.633
11,0.7429068131412534,0.4651,83.9,0.983,0.832,0.7192,72.41,0.963,0.703
12,0.7198029520700304,0.5173,81.34,0.98,0.801,0.7127,74.66,0.967,0.725
13,0.6788421273231506,0.5828,79.49,0.976,0.78,0.8755,68.94,0.954,0.673
14,0.6647429624907404,0.3408,88.24,0.99,0.88,0.4945,81.4,0.982,0.776
15,0.6500322780163168,0.3078,89.61,0.992,0.893,0.5826,78.73,0.976,0.752
16,0.6387283862065926,0.3341,88.86,0.991,0.886,0.4729,81.68,0.983,0.79
17,0.6188208876753882,0.3001,89.87,0.993,0.894,0.5653,79.98,0.984,0.775
18,0.6061793548597706,0.3105,89.09,0.992,0.885,0.4458,83.86,0.984,0.808
19,0.5946461967855906,0.3003,89.34,0.993,0.891,0.522,80.85,0.979,0.784
20,0.5754828397318613,0.3037,89.19,0.993,0.889,0.5652,78.75,0.976,0.761
21,0.5676503876130358,0.2747,90.54,0.993,0.903,0.5615,78.92,0.978,0.767
22,0.5578464981463316,0.2635,91.1,0.994,0.909,0.4592,84.02,0.985,0.821
23,0.5543929267701485,0.2478,91.72,0.994,0.915,0.4316,84.75,0.986,0.82
24,0.5316479426922558,0.2558,90.93,0.994,0.906,0.5013,81.04,0.984,0.781
25,0.5226487054241648,0.2277,92.27,0.995,0.922,0.3782,86.33,0.989,0.828
26,0.5206709583457425,0.2554,91.01,0.994,0.908,0.4323,83.83,0.986,0.818
27,0.5099904850232515,0.2449,91.56,0.995,0.913,0.5439,80.75,0.982,0.797
28,0.5053023009849109,0.3019,89.59,0.993,0.891,0.7027,74.92,0.975,0.74
29,0.48936298468130096,0.2155,92.65,0.996,0.924,0.4051,84.71,0.988,0.826
30,0.4906676077156616,0.2392,91.83,0.996,0.915,0.4505,84.26,0.986,0.818
31,0.47944326966786555,0.197,93.29,0.996,0.931,0.4266,84.97,0.987,0.83
32,0.47358173453550545,0.2493,91.42,0.995,0.912,0.5696,80.15,0.982,0.776
33,0.47342202003053624,0.1935,93.39,0.996,0.932,0.4273,85.32,0.987,0.829
34,0.4599719542822392,0.2239,92.09,0.996,0.918,0.5346,81.08,0.983,0.78
35,0.4520517877108759,0.1942,93.27,0.997,0.931,0.4945,82.66,0.985,0.799
36,0.44713667035102844,0.1996,93.09,0.996,0.929,0.4858,83.18,0.986,0.808
37,0.44189386316340606,0.1841,93.63,0.997,0.934,0.4543,83.4,0.988,0.809
38,0.4398954407774287,0.1814,93.67,0.997,0.935,0.3958,85.57,0.989,0.827
39,0.4339674295281335,0.1874,93.6,0.997,0.935,0.4664,83.09,0.986,0.803
40,0.42981604513504523,0.1998,93.12,0.997,0.929,0.4921,82.65,0.986,0.801
41,0.4202415394268448,0.1696,94.23,0.997,0.941,0.3693,86.96,0.989,0.839
42,0.41689754068422663,0.1718,94.25,0.997,0.941,0.3976,85.63,0.989,0.826
43,0.4159289356187093,0.1676,94.38,0.997,0.943,0.3896,86.17,0.99,0.835
44,0.40744838783209275,0.1681,94.38,0.997,0.943,0.4048,85.82,0.989,0.827
45,0.41204718784462635,0.1712,94.23,0.997,0.941,0.3854,86.15,0.99,0.832
46,0.4101697242946076,0.1643,94.45,0.997,0.943,0.4023,85.76,0.989,0.826
47,0.40657431916367237,0.1647,94.4,0.997,0.943,0.3959,85.87,0.989,0.828
48,0.4042081783572547,0.1686,94.28,0.997,0.942,0.4045,85.66,0.989,0.827
49,0.4044747577725554,0.1669,94.3,0.997,0.942,0.4063,85.57,0.989,0.825
