epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.6558700345403,1.3225,50.7,0.893,0.446,1.8728,18.77,0.801,0.164
1,1.3171267766746686,0.7727,73.21,0.955,0.724,1.0783,62.07,0.914,0.571
2,0.9418798689361957,0.5623,80.67,0.975,0.798,0.838,68.59,0.952,0.655
3,0.7407242115452993,0.4893,81.95,0.98,0.808,0.87,71.09,0.946,0.644
4,0.5790202051615544,0.3672,87.51,0.989,0.872,0.7083,75.34,0.964,0.686
5,0.4901849252285717,0.317,88.82,0.992,0.887,0.6898,77.34,0.971,0.726
6,0.4221161119371867,0.2556,91.75,0.994,0.915,0.5922,79.2,0.972,0.743
7,0.37610371614531646,0.2063,93.46,0.996,0.933,0.4065,86.42,0.985,0.822
8,0.33669619294379255,0.2141,92.59,0.996,0.924,0.3731,86.4,0.987,0.823
9,0.3046171899965341,0.1889,94.04,0.997,0.938,0.4985,83.37,0.985,0.803
10,0.2845294621350954,0.1699,94.49,0.997,0.944,0.3725,87.07,0.988,0.835
11,0.2680725160476973,0.1494,95.31,0.998,0.951,0.3445,87.97,0.99,0.839
12,0.23953001201152802,0.1448,95.25,0.998,0.951,0.3819,86.82,0.988,0.829
13,0.22768739026656254,0.1724,94.1,0.997,0.939,0.4516,84.32,0.983,0.803
14,0.2180019869006795,0.1248,95.97,0.998,0.959,0.368,87.49,0.989,0.834
15,0.20513890597888892,0.132,95.72,0.998,0.956,0.5015,83.85,0.985,0.792
16,0.19873911045866904,0.127,95.96,0.998,0.959,0.3203,89.69,0.989,0.858
17,0.18560854136515006,0.1053,96.68,0.999,0.966,0.3162,89.52,0.99,0.861
18,0.18292547060216932,0.1282,95.82,0.998,0.957,0.472,84.76,0.985,0.809
19,0.17522046741821784,0.1159,96.14,0.999,0.96,0.3745,87.19,0.987,0.837
20,0.16378821362908796,0.0985,96.76,0.999,0.967,0.545,81.83,0.983,0.782
21,0.15729468766090682,0.0982,96.89,0.999,0.968,0.4462,86.22,0.988,0.836
22,0.14642469820787582,0.0901,97.06,0.999,0.97,0.4876,84.92,0.987,0.812
23,0.14908267788106588,0.0868,97.15,0.999,0.971,0.4003,87.42,0.99,0.837
24,0.13494120302388993,0.0848,97.22,0.999,0.972,0.4899,86.53,0.983,0.828
25,0.1316271700340209,0.076,97.52,0.999,0.975,0.3172,89.8,0.991,0.862
26,0.12869715374365126,0.0778,97.57,0.999,0.975,0.5455,83.53,0.985,0.787
27,0.12597250225518247,0.0748,97.55,0.999,0.975,0.5452,84.6,0.984,0.802
28,0.12020928375154948,0.0848,97.2,0.999,0.972,0.474,85.13,0.986,0.814
29,0.1112898218331577,0.0824,97.22,0.999,0.972,0.6207,79.52,0.978,0.755
30,0.10867901786947422,0.0674,97.75,1.0,0.977,0.4527,87.05,0.985,0.828
31,0.10320211043782371,0.0648,97.8,1.0,0.978,0.3858,87.64,0.988,0.846
32,0.10117382494558533,0.0604,98.1,1.0,0.981,0.3753,88.2,0.989,0.851
33,0.09331997636732438,0.0548,98.23,1.0,0.982,0.3953,87.56,0.987,0.847
34,0.09170066723399026,0.0541,98.31,1.0,0.983,0.4096,87.84,0.985,0.844
35,0.08784453225114362,0.0524,98.31,1.0,0.983,0.3819,88.92,0.987,0.855
36,0.08396195330851369,0.0496,98.32,1.0,0.983,0.3836,88.57,0.987,0.851
37,0.07953871738353221,0.0556,98.13,1.0,0.981,0.5083,85.44,0.984,0.816
38,0.07563511585052922,0.0486,98.42,1.0,0.984,0.481,86.72,0.986,0.826
39,0.07554148260852415,0.0445,98.5,1.0,0.985,0.449,87.1,0.986,0.837
40,0.07025158622389217,0.0454,98.55,1.0,0.985,0.3881,88.69,0.987,0.852
41,0.06830253320739424,0.0424,98.65,1.0,0.986,0.4499,86.78,0.985,0.829
42,0.0626928423055642,0.0444,98.57,1.0,0.986,0.4896,86.45,0.983,0.823
43,0.06045161506576504,0.0437,98.62,1.0,0.986,0.4208,88.33,0.986,0.851
44,0.059033936573018274,0.0425,98.58,1.0,0.986,0.4757,86.53,0.983,0.826
45,0.059178808436012094,0.0415,98.66,1.0,0.986,0.4382,88.22,0.985,0.846
46,0.05689191609192237,0.041,98.66,1.0,0.986,0.4788,86.88,0.984,0.831
47,0.05564961988452098,0.0398,98.72,1.0,0.987,0.4683,87.15,0.984,0.833
48,0.053857618902655814,0.0402,98.7,1.0,0.987,0.4617,87.32,0.985,0.835
49,0.05495356679927531,0.0403,98.7,1.0,0.987,0.4661,87.05,0.984,0.833
