epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.808838679636125,1.4088,46.31,0.858,0.395,1.6412,44.14,0.747,0.331
1,1.295043911436479,0.8282,69.55,0.947,0.678,0.9391,68.02,0.918,0.605
2,0.8456707768303027,0.6052,77.4,0.974,0.765,0.7526,70.31,0.957,0.629
3,0.6517447188174982,0.6355,75.55,0.97,0.734,1.0188,63.05,0.935,0.554
4,0.5120479400209386,0.3551,87.72,0.989,0.877,0.6579,76.61,0.964,0.715
5,0.41956624260051645,0.3341,88.18,0.991,0.881,0.6768,75.09,0.97,0.716
6,0.353717467553324,0.293,89.99,0.993,0.896,0.5308,82.48,0.973,0.772
7,0.3091113682059075,0.2504,91.28,0.994,0.91,0.4859,83.71,0.977,0.787
8,0.2829267379405687,0.248,91.32,0.995,0.912,0.4909,84.66,0.976,0.8
9,0.25419433393495544,0.2187,92.2,0.996,0.92,0.4701,84.34,0.978,0.804
10,0.22591611464246572,0.1826,93.7,0.997,0.936,0.3682,88.19,0.986,0.852
11,0.2162817926715604,0.1635,94.45,0.997,0.943,0.516,82.94,0.978,0.787
12,0.20092520160640745,0.1508,95.08,0.997,0.95,0.3492,90.12,0.987,0.879
13,0.18140875612445873,0.1406,95.29,0.998,0.952,0.4445,85.09,0.986,0.832
14,0.1700796318247164,0.1585,94.68,0.998,0.947,0.4143,86.19,0.987,0.841
15,0.16130278200554332,0.1192,96.05,0.998,0.96,0.3822,87.18,0.987,0.849
16,0.1485482377650069,0.1198,96.02,0.998,0.96,0.432,85.7,0.982,0.821
17,0.14497802905041537,0.1393,95.39,0.998,0.954,0.3458,88.34,0.988,0.847
18,0.13769916343174393,0.1094,96.3,0.999,0.963,0.3957,87.8,0.985,0.845
19,0.1257357309512097,0.1042,96.65,0.999,0.966,0.3429,89.22,0.989,0.869
20,0.11775042990343176,0.1163,96.1,0.999,0.961,0.4423,85.45,0.981,0.818
21,0.11526111759942212,0.0984,96.8,0.999,0.968,0.3268,90.09,0.99,0.873
22,0.10559942977998754,0.0836,97.38,0.999,0.974,0.4078,86.82,0.987,0.841
23,0.10281785368490562,0.0965,96.92,0.999,0.969,0.3098,90.44,0.991,0.885
24,0.09704276753200901,0.0885,97.04,0.999,0.97,0.3304,89.2,0.99,0.861
25,0.09030928634267917,0.0747,97.58,0.999,0.976,0.3899,87.06,0.987,0.839
26,0.08597797635111877,0.0776,97.58,0.999,0.975,0.3596,89.05,0.99,0.863
27,0.08251314880929404,0.0708,97.68,0.999,0.977,0.388,87.75,0.987,0.847
28,0.07791007280671339,0.079,97.53,0.999,0.975,0.2969,89.96,0.992,0.869
29,0.07384135048809669,0.0725,97.64,0.999,0.976,0.3995,86.85,0.986,0.837
30,0.06923441276651063,0.0703,97.93,0.999,0.979,0.3178,90.12,0.992,0.877
31,0.06578692336895055,0.0705,97.84,0.999,0.978,0.3604,89.24,0.99,0.868
32,0.06011205055355597,0.0637,98.0,1.0,0.98,0.3552,89.76,0.99,0.865
33,0.05584310288641521,0.0629,98.03,1.0,0.98,0.4197,87.2,0.987,0.844
34,0.05150620778687566,0.0542,98.3,1.0,0.983,0.319,89.79,0.992,0.873
35,0.04751008572123891,0.0511,98.38,1.0,0.984,0.3425,89.85,0.992,0.876
36,0.0459948149677232,0.0484,98.5,1.0,0.985,0.3737,88.83,0.99,0.864
37,0.043078698392073025,0.0521,98.43,1.0,0.984,0.4193,87.85,0.99,0.852
38,0.040541845447511125,0.0483,98.53,1.0,0.985,0.3819,88.53,0.992,0.858
39,0.03765263415792649,0.0481,98.47,1.0,0.985,0.4126,87.61,0.99,0.843
40,0.0362220652964261,0.0465,98.55,1.0,0.985,0.426,87.34,0.989,0.846
41,0.032167015490021635,0.0427,98.66,1.0,0.986,0.3358,90.23,0.992,0.877
42,0.028828576522068584,0.0454,98.62,1.0,0.986,0.3865,88.84,0.991,0.863
43,0.02713990725389273,0.044,98.71,1.0,0.987,0.3882,88.72,0.991,0.863
44,0.026966562554937044,0.043,98.66,1.0,0.986,0.3684,89.36,0.992,0.871
45,0.02535121718408178,0.0425,98.72,1.0,0.987,0.3778,88.84,0.991,0.863
46,0.023566744152938933,0.041,98.74,1.0,0.987,0.3726,89.27,0.991,0.868
47,0.024140860071311967,0.0415,98.8,1.0,0.988,0.3729,89.39,0.991,0.869
48,0.023016935998319294,0.0413,98.79,1.0,0.988,0.3797,89.22,0.991,0.867
49,0.022298478253400155,0.0417,98.79,1.0,0.988,0.3848,89.05,0.991,0.865
