epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.789765436872304,1.2308,59.11,0.911,0.525,1.7538,30.68,0.763,0.261
1,1.3293709291828621,0.826,71.32,0.952,0.691,1.0628,59.88,0.906,0.548
2,0.8981738858085742,0.5219,81.38,0.98,0.804,0.8049,70.09,0.944,0.621
3,0.6988961949622888,0.5456,81.38,0.98,0.814,0.9184,61.49,0.944,0.583
4,0.5473721719903054,0.3247,88.77,0.992,0.886,0.536,80.96,0.977,0.758
5,0.45798830505755306,0.2432,91.99,0.995,0.918,0.5147,81.49,0.974,0.754
6,0.3997387819581752,0.2142,92.89,0.996,0.927,0.4158,85.39,0.985,0.797
7,0.3493580367925356,0.1943,93.82,0.996,0.937,0.3405,87.07,0.987,0.827
8,0.3167364881407443,0.2348,91.96,0.996,0.918,0.362,86.04,0.99,0.819
9,0.29632782925375933,0.1708,94.12,0.997,0.94,0.317,88.87,0.99,0.86
10,0.27493696740205337,0.1776,93.91,0.997,0.937,0.3763,86.4,0.991,0.841
11,0.25418165529803405,0.1588,94.68,0.998,0.945,0.3742,87.48,0.986,0.824
12,0.22961149080622967,0.1435,95.47,0.998,0.953,0.3055,89.31,0.991,0.853
13,0.2249061158663935,0.1278,95.8,0.998,0.956,0.3235,88.49,0.99,0.852
14,0.208247963365891,0.1226,96.09,0.999,0.96,0.297,89.69,0.991,0.865
15,0.20393912526343366,0.1103,96.42,0.999,0.963,0.3095,88.52,0.991,0.855
16,0.19252125843823384,0.1044,96.81,0.999,0.967,0.3318,88.17,0.989,0.844
17,0.18385643195762907,0.1177,96.18,0.999,0.961,0.245,91.82,0.993,0.889
18,0.17960560895341762,0.1102,96.35,0.999,0.962,0.3515,87.92,0.989,0.84
19,0.1691021935866891,0.0989,96.67,0.999,0.966,0.306,89.74,0.992,0.859
20,0.15781950623654634,0.0843,97.33,0.999,0.973,0.3694,86.74,0.988,0.829
21,0.1585711946161531,0.0884,97.23,0.999,0.972,0.3096,89.5,0.993,0.865
22,0.14966930883179466,0.0917,97.1,0.999,0.97,0.3818,87.64,0.989,0.845
23,0.14404775073631204,0.0855,97.37,0.999,0.973,0.2877,90.81,0.992,0.873
24,0.1360399471662885,0.0749,97.59,0.999,0.975,0.2593,91.39,0.993,0.888
25,0.13513078529843323,0.0747,97.67,0.999,0.976,0.293,89.44,0.992,0.856
26,0.1246866128213114,0.0754,97.62,0.999,0.976,0.3112,89.4,0.991,0.852
27,0.11817459357406596,0.0751,97.64,0.999,0.976,0.3615,87.54,0.991,0.855
28,0.11441769456263069,0.0803,97.45,0.999,0.974,0.3027,89.45,0.993,0.859
29,0.11051111531664999,0.0735,97.65,0.999,0.976,0.2926,89.96,0.992,0.864
30,0.10759885783354156,0.0669,97.81,1.0,0.978,0.3258,89.53,0.991,0.86
31,0.10252093387057455,0.0599,98.1,1.0,0.981,0.3119,88.96,0.992,0.865
32,0.09655133664286394,0.058,98.24,1.0,0.982,0.2855,90.16,0.993,0.868
33,0.0935312377677547,0.0542,98.36,1.0,0.983,0.321,88.88,0.991,0.848
34,0.09089551418483686,0.0539,98.33,1.0,0.983,0.3609,88.41,0.99,0.842
35,0.08834407526812108,0.051,98.44,1.0,0.984,0.3918,86.75,0.989,0.83
36,0.08027704665772349,0.0495,98.47,1.0,0.984,0.2552,91.39,0.994,0.885
37,0.08085004218833909,0.0503,98.38,1.0,0.984,0.2979,89.96,0.993,0.872
38,0.07554091218349746,0.0474,98.51,1.0,0.985,0.3036,89.56,0.992,0.861
39,0.07081453126969098,0.0474,98.48,1.0,0.984,0.3835,87.97,0.99,0.848
40,0.06785255788470344,0.0455,98.57,1.0,0.985,0.3222,90.0,0.992,0.874
41,0.06576670726372612,0.0441,98.65,1.0,0.986,0.2875,90.18,0.993,0.87
42,0.06398054263253006,0.0454,98.59,1.0,0.986,0.36,88.05,0.991,0.848
43,0.060747104609827345,0.0439,98.61,1.0,0.986,0.3209,89.52,0.992,0.867
44,0.05805376964024932,0.0427,98.69,1.0,0.987,0.3233,89.94,0.992,0.873
45,0.057626584584978845,0.0412,98.71,1.0,0.987,0.3001,90.38,0.993,0.877
46,0.05749645315968304,0.0399,98.72,1.0,0.987,0.3429,88.99,0.991,0.859
47,0.05575799375182862,0.0396,98.77,1.0,0.988,0.3216,89.66,0.992,0.865
48,0.056344887992139346,0.0405,98.72,1.0,0.987,0.3254,89.56,0.992,0.865
49,0.054227676282790925,0.0401,98.76,1.0,0.987,0.3224,89.61,0.992,0.865
