epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.694500832788406,1.0564,62.93,0.927,0.598,1.8377,30.25,0.779,0.283
1,1.9225727168035336,1.2066,55.42,0.901,0.508,1.4881,45.41,0.84,0.413
2,1.4143420915022547,0.8804,67.55,0.944,0.654,1.1587,56.96,0.898,0.519
3,1.1459952809691,0.6711,76.48,0.969,0.749,0.8084,72.98,0.945,0.675
4,0.8809597899195969,0.4655,84.08,0.984,0.832,0.6331,77.03,0.967,0.727
5,0.7275039799324501,0.3897,86.6,0.989,0.864,0.4626,84.3,0.981,0.812
6,0.6349569433051625,0.3255,89.12,0.991,0.888,0.4668,83.23,0.979,0.795
7,0.5851812053431746,0.2697,91.04,0.994,0.907,0.5204,80.72,0.975,0.77
8,0.5454688136295606,0.2661,90.87,0.994,0.905,0.4527,82.74,0.98,0.776
9,0.5133348072087893,0.2396,92.04,0.995,0.917,0.4871,82.98,0.98,0.778
10,0.48815809211636957,0.2096,93.44,0.996,0.933,0.4011,86.22,0.985,0.813
11,0.4678684093298451,0.2242,92.8,0.995,0.925,0.5096,82.33,0.976,0.8
12,0.45673792187031026,0.2021,93.31,0.997,0.93,0.4038,85.55,0.985,0.816
13,0.44356312191507724,0.1994,93.61,0.996,0.935,0.3294,88.02,0.989,0.835
14,0.4297421573791453,0.1752,94.44,0.997,0.943,0.306,89.78,0.991,0.871
15,0.41418589624880037,0.1674,94.69,0.997,0.946,0.287,90.04,0.991,0.871
16,0.41005752393208095,0.1912,93.72,0.997,0.936,0.3119,88.9,0.992,0.855
17,0.39732130702357993,0.17,94.54,0.997,0.944,0.3388,88.79,0.989,0.861
18,0.38620453629656076,0.1695,94.57,0.997,0.943,0.3439,87.92,0.989,0.832
19,0.3737707137260386,0.1532,95.08,0.998,0.95,0.3384,87.78,0.99,0.827
20,0.3679185990097275,0.1604,95.0,0.997,0.948,0.3387,87.6,0.99,0.848
21,0.3627866353025146,0.1521,95.01,0.998,0.948,0.3258,88.63,0.99,0.853
22,0.3532125332983591,0.1507,95.21,0.998,0.951,0.3581,87.65,0.988,0.835
23,0.3448861765284692,0.1323,95.8,0.998,0.957,0.2776,90.07,0.992,0.873
24,0.33680913725527384,0.1398,95.6,0.998,0.955,0.3663,88.54,0.989,0.854
25,0.32995961165876797,0.1406,95.38,0.998,0.953,0.3455,87.24,0.991,0.842
26,0.32122248074700754,0.135,95.5,0.998,0.954,0.3108,89.01,0.992,0.86
27,0.31484827329821913,0.1266,96.09,0.998,0.96,0.2989,89.37,0.991,0.861
28,0.31096116237102017,0.1248,95.88,0.998,0.957,0.2876,89.5,0.991,0.854
29,0.3004854181013654,0.1325,95.67,0.998,0.955,0.2808,90.26,0.993,0.873
30,0.29949765545599777,0.1125,96.42,0.999,0.963,0.3094,89.22,0.992,0.863
31,0.29510705214407706,0.1269,96.03,0.998,0.959,0.4423,84.59,0.986,0.808
32,0.2765452061182282,0.1186,96.17,0.999,0.961,0.2737,90.45,0.992,0.87
33,0.27669540539010024,0.1061,96.7,0.999,0.966,0.3134,89.03,0.991,0.857
34,0.26863501928613176,0.1035,96.72,0.999,0.966,0.2828,90.75,0.993,0.876
35,0.26087366332930906,0.1051,96.75,0.999,0.967,0.2948,89.15,0.993,0.863
36,0.2538002120684766,0.1112,96.43,0.999,0.964,0.3006,90.12,0.992,0.874
37,0.250281258429464,0.0923,97.16,0.999,0.971,0.3115,89.14,0.992,0.857
38,0.24356390061824978,0.0981,97.03,0.999,0.97,0.3435,88.85,0.99,0.86
39,0.24270616469096967,0.0961,96.93,0.999,0.968,0.2824,90.49,0.993,0.877
40,0.23367691945324662,0.0928,97.11,0.999,0.971,0.3024,90.26,0.992,0.873
41,0.2251002446591427,0.0865,97.34,0.999,0.973,0.3301,88.55,0.991,0.853
42,0.22123204024782317,0.0835,97.44,0.999,0.974,0.2865,90.7,0.992,0.875
43,0.2206296402573799,0.0845,97.32,0.999,0.973,0.2859,90.4,0.992,0.874
44,0.21398659175308588,0.0833,97.43,0.999,0.974,0.314,90.07,0.992,0.869
45,0.21279166403850774,0.08,97.55,0.999,0.975,0.2841,90.48,0.992,0.874
46,0.2088349323092182,0.0795,97.64,0.999,0.976,0.2861,90.75,0.992,0.877
47,0.20805285826966327,0.0783,97.63,0.999,0.976,0.2874,90.75,0.992,0.878
48,0.20727755423087801,0.0787,97.57,0.999,0.975,0.2919,90.37,0.992,0.873
49,0.2075223944093164,0.078,97.6,0.999,0.975,0.2907,90.4,0.992,0.873
