epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0205464397402975,1.9302,31.45,0.665,0.2,1.8966,40.58,0.731,0.241
1,1.7369436797478217,1.4051,49.39,0.845,0.493,1.3192,52.68,0.831,0.454
2,1.5156146270765676,1.2002,57.82,0.898,0.562,1.0931,58.49,0.894,0.525
3,1.3307006144695144,1.1275,57.77,0.916,0.533,1.0976,60.87,0.917,0.529
4,1.1046448997456393,0.8211,69.9,0.952,0.683,0.7091,74.58,0.955,0.698
5,0.9806748032569885,0.6426,78.24,0.968,0.779,0.6995,74.14,0.961,0.72
6,0.8770977936202674,0.5726,79.29,0.976,0.779,0.5329,81.15,0.975,0.776
7,0.7974798949502355,0.4327,84.58,0.985,0.839,0.4396,84.15,0.983,0.805
8,0.747139370698723,0.4462,83.95,0.985,0.833,0.4075,85.47,0.984,0.824
9,0.6990601051625588,0.4387,84.62,0.986,0.839,0.4693,82.38,0.981,0.806
10,0.6586238188709287,0.364,87.7,0.989,0.874,0.4653,83.83,0.98,0.812
11,0.629126545765417,0.3573,87.44,0.99,0.869,0.372,87.45,0.985,0.845
12,0.6000721729059013,0.2998,90.0,0.992,0.898,0.3821,86.94,0.986,0.833
13,0.5809514179504175,0.2966,90.09,0.992,0.899,0.3972,86.01,0.984,0.826
14,0.5548862058052914,0.2884,90.15,0.993,0.9,0.4032,86.15,0.985,0.823
15,0.5242562958662459,0.2308,92.47,0.995,0.922,0.2971,89.29,0.991,0.863
16,0.5079396114074927,0.2758,90.46,0.994,0.899,0.356,87.76,0.988,0.845
17,0.4865484449932044,0.2514,91.53,0.994,0.914,0.3934,85.68,0.986,0.825
18,0.4757663989238602,0.2243,92.27,0.995,0.921,0.361,87.64,0.987,0.849
19,0.4552951024161826,0.2243,92.36,0.995,0.922,0.3629,87.79,0.987,0.85
20,0.44059869947193336,0.2162,92.66,0.995,0.926,0.3267,88.9,0.99,0.86
21,0.4270073085380115,0.197,93.12,0.996,0.931,0.3195,88.87,0.989,0.856
22,0.4079071386254949,0.2047,92.85,0.996,0.927,0.3442,87.79,0.99,0.853
23,0.39401060685837014,0.1824,93.75,0.996,0.937,0.2841,90.1,0.992,0.872
24,0.38742991016923095,0.2244,92.28,0.995,0.92,0.362,87.54,0.989,0.849
25,0.38030964264766776,0.1752,94.05,0.997,0.94,0.2405,91.62,0.994,0.892
26,0.36058851025944993,0.1734,94.06,0.997,0.939,0.2894,90.24,0.992,0.875
27,0.3565873861741677,0.1514,95.13,0.998,0.951,0.2914,90.16,0.991,0.874
28,0.3448827292421739,0.1704,94.24,0.997,0.942,0.2799,90.23,0.993,0.875
29,0.33620147053286326,0.1654,94.42,0.997,0.942,0.3049,89.39,0.99,0.865
30,0.32966794416630013,0.1592,94.56,0.997,0.945,0.3323,88.63,0.991,0.858
31,0.31902340054512024,0.1423,95.2,0.998,0.952,0.2643,90.86,0.992,0.886
32,0.3116562912146822,0.1402,95.3,0.998,0.953,0.2868,90.27,0.993,0.882
33,0.3086669947818029,0.1373,95.5,0.998,0.955,0.2441,92.59,0.993,0.902
34,0.2935993617815937,0.1396,95.23,0.998,0.951,0.2966,90.18,0.991,0.876
35,0.2853294198247169,0.1305,95.65,0.998,0.956,0.2649,91.58,0.993,0.89
36,0.2799862274806276,0.1263,95.77,0.998,0.957,0.2715,91.3,0.993,0.884
37,0.2712611873372853,0.1301,95.77,0.998,0.957,0.3097,90.13,0.992,0.876
38,0.26591832453398395,0.1244,95.92,0.998,0.959,0.2589,91.58,0.994,0.891
39,0.25920026090076503,0.1241,95.97,0.998,0.96,0.2717,91.39,0.993,0.889
40,0.2528660584696763,0.127,95.89,0.998,0.959,0.2709,91.74,0.993,0.898
41,0.2467622823423619,0.1184,96.16,0.999,0.962,0.2734,91.68,0.993,0.893
42,0.24589448781322232,0.1225,96.11,0.998,0.961,0.2765,91.54,0.993,0.89
43,0.24038708059907818,0.1177,96.15,0.998,0.961,0.2763,91.02,0.993,0.886
44,0.23344792575716114,0.1196,96.13,0.998,0.961,0.3061,90.56,0.992,0.881
45,0.2379735230113105,0.1204,96.11,0.998,0.961,0.2817,91.13,0.993,0.888
46,0.22979050542382026,0.1164,96.21,0.998,0.962,0.2763,91.28,0.993,0.888
47,0.22869821289460435,0.1146,96.3,0.999,0.963,0.2761,91.25,0.993,0.888
48,0.22724174113153553,0.1146,96.29,0.999,0.963,0.2773,91.19,0.993,0.887
49,0.22537393063950023,0.1129,96.31,0.999,0.963,0.2747,91.33,0.993,0.89
