epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8101649936154591,1.2645,59.31,0.911,0.511,2.1112,14.16,0.688,0.118
1,1.5149938133980732,0.8272,71.54,0.952,0.71,0.875,67.08,0.937,0.604
2,1.1120882814736675,0.8043,70.5,0.958,0.695,1.1813,61.63,0.916,0.568
3,0.87483314087065,0.4632,83.62,0.983,0.827,0.7282,73.52,0.963,0.67
4,0.6700095375664801,0.3793,86.77,0.989,0.864,0.5156,81.76,0.976,0.757
5,0.5769046487139283,0.3072,89.74,0.993,0.896,0.6467,78.0,0.966,0.712
6,0.4914915323686257,0.2521,91.61,0.994,0.914,0.5869,79.22,0.966,0.746
7,0.4350195589254228,0.2459,91.35,0.995,0.913,0.4351,84.1,0.983,0.785
8,0.40063614425041694,0.219,92.8,0.996,0.927,0.4041,85.66,0.986,0.809
9,0.3652757200405752,0.1799,94.22,0.997,0.941,0.3449,87.45,0.989,0.839
10,0.3390230416393966,0.2041,93.07,0.996,0.93,0.3188,88.76,0.99,0.867
11,0.3141755340553874,0.158,94.97,0.997,0.949,0.3183,88.62,0.991,0.854
12,0.298556923866272,0.1563,94.93,0.998,0.949,0.2986,89.47,0.991,0.859
13,0.2822255304605841,0.1515,94.98,0.998,0.949,0.3654,86.91,0.988,0.83
14,0.2683141901553106,0.1455,95.33,0.998,0.953,0.3373,87.6,0.989,0.842
15,0.2545669882846393,0.1254,95.88,0.998,0.958,0.2922,89.09,0.991,0.86
16,0.24414283755443078,0.1298,95.92,0.998,0.959,0.3487,87.59,0.99,0.844
17,0.23532512065746802,0.1185,96.09,0.999,0.96,0.3633,86.66,0.989,0.836
18,0.22236423901945568,0.1211,96.24,0.999,0.962,0.2577,91.08,0.993,0.873
19,0.21166985155009538,0.1074,96.51,0.999,0.964,0.3623,87.43,0.987,0.837
20,0.20691730703810135,0.1114,96.35,0.999,0.963,0.3273,88.52,0.991,0.852
21,0.19966888824383988,0.1017,96.63,0.999,0.966,0.2681,90.27,0.992,0.875
22,0.18837593415443846,0.0899,97.13,0.999,0.971,0.2486,90.81,0.993,0.877
23,0.18683374989375795,0.0847,97.28,0.999,0.972,0.2486,90.86,0.993,0.883
24,0.1739178631695912,0.0834,97.22,0.999,0.971,0.2722,89.29,0.993,0.862
25,0.168908298283601,0.0897,97.06,0.999,0.97,0.3198,89.2,0.991,0.867
26,0.16505836261262138,0.0801,97.5,0.999,0.975,0.2851,90.38,0.992,0.873
27,0.15598176693101581,0.0747,97.53,0.999,0.975,0.2258,91.74,0.994,0.892
28,0.15230748405773864,0.08,97.3,0.999,0.973,0.2532,91.02,0.994,0.886
29,0.14526756702781582,0.0764,97.5,0.999,0.975,0.3007,89.91,0.992,0.868
30,0.13910647154711991,0.0654,97.79,1.0,0.978,0.2789,90.29,0.992,0.875
31,0.1362887790306009,0.0657,97.85,1.0,0.978,0.3091,89.28,0.992,0.867
32,0.12797920405864716,0.0664,97.83,1.0,0.978,0.3737,87.9,0.988,0.85
33,0.1278347596526146,0.0585,98.16,1.0,0.981,0.2152,92.93,0.995,0.907
34,0.1205931297309107,0.0579,98.1,1.0,0.981,0.3096,89.09,0.992,0.86
35,0.11437231420184212,0.0536,98.16,1.0,0.982,0.2334,91.68,0.994,0.895
36,0.11211021523252665,0.0507,98.4,1.0,0.984,0.2624,91.05,0.994,0.885
37,0.10720421582889214,0.0534,98.23,1.0,0.982,0.2033,93.1,0.996,0.91
38,0.1021520455481766,0.0564,98.21,1.0,0.982,0.2743,90.67,0.993,0.881
39,0.10011427669966821,0.0456,98.51,1.0,0.985,0.2818,90.68,0.993,0.88
40,0.09725239757689641,0.0435,98.6,1.0,0.986,0.2713,90.64,0.994,0.88
41,0.0921079631653621,0.0436,98.6,1.0,0.986,0.2483,91.41,0.994,0.89
42,0.08814799785614014,0.0446,98.51,1.0,0.985,0.2932,90.05,0.993,0.872
43,0.08485777014129453,0.0436,98.56,1.0,0.985,0.266,90.84,0.994,0.886
44,0.08425223208267055,0.0417,98.69,1.0,0.987,0.2798,90.48,0.993,0.881
45,0.08418691796150139,0.0386,98.7,1.0,0.987,0.2713,91.0,0.993,0.884
46,0.08141270941860385,0.0382,98.69,1.0,0.987,0.2691,91.08,0.993,0.886
47,0.08119757988041254,0.0383,98.72,1.0,0.987,0.2695,91.03,0.993,0.885
48,0.08070572058288314,0.0383,98.74,1.0,0.987,0.259,91.32,0.994,0.889
49,0.08079130580420975,0.0382,98.71,1.0,0.987,0.2642,91.11,0.993,0.886
