epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7139748975794802,1.1198,60.22,0.922,0.546,1.791,31.28,0.777,0.27
1,1.9160779938902905,1.133,58.91,0.909,0.546,1.2947,51.08,0.832,0.446
2,1.3701095743418594,0.7584,73.67,0.956,0.73,0.9191,66.51,0.936,0.588
3,1.0424831006475674,0.5673,81.12,0.976,0.801,0.9271,65.55,0.941,0.602
4,0.8180737706922716,0.502,81.31,0.983,0.81,0.9023,68.86,0.945,0.605
5,0.7045149027660329,0.449,84.95,0.987,0.845,0.817,70.46,0.963,0.647
6,0.5947299785511468,0.3133,89.13,0.992,0.886,0.5634,80.37,0.978,0.76
7,0.5338582850485293,0.2821,90.13,0.993,0.897,0.6183,78.68,0.97,0.735
8,0.4884001370185592,0.2695,91.06,0.994,0.907,0.5043,81.1,0.981,0.775
9,0.45493615154297123,0.3109,89.05,0.993,0.886,0.6704,77.48,0.974,0.725
10,0.42688354358450914,0.22,92.61,0.996,0.923,0.4523,84.43,0.983,0.793
11,0.4081912047119551,0.2017,93.59,0.997,0.934,0.37,86.5,0.989,0.827
12,0.3943354593169305,0.1797,94.41,0.997,0.943,0.4052,85.79,0.986,0.821
13,0.379537515182008,0.2169,93.03,0.996,0.928,0.3947,86.09,0.986,0.822
14,0.36516077824497734,0.1787,94.06,0.997,0.939,0.4128,84.4,0.984,0.798
15,0.3568400150986128,0.1964,93.6,0.997,0.934,0.313,88.79,0.991,0.861
16,0.3546640129499538,0.153,95.17,0.997,0.951,0.2753,89.83,0.992,0.87
17,0.3401353723740065,0.1662,94.78,0.997,0.947,0.317,88.65,0.989,0.852
18,0.32917759255055457,0.1608,94.97,0.997,0.948,0.3505,87.26,0.988,0.831
19,0.32442938333450677,0.1593,95.03,0.997,0.949,0.3057,88.93,0.992,0.86
20,0.3196547533181833,0.1565,94.98,0.998,0.949,0.2979,89.39,0.991,0.852
21,0.31017743969689987,0.1421,95.58,0.998,0.955,0.2819,89.64,0.992,0.865
22,0.3057365132275448,0.1471,95.14,0.998,0.951,0.2618,90.89,0.993,0.876
23,0.2955894533237676,0.136,95.8,0.998,0.957,0.3099,88.65,0.991,0.855
24,0.2856817403574571,0.1371,95.81,0.998,0.957,0.3385,87.32,0.99,0.843
25,0.2807245654951928,0.1376,95.55,0.998,0.955,0.2731,89.94,0.992,0.864
26,0.27800203763669534,0.1281,96.05,0.998,0.959,0.2594,90.45,0.993,0.878
27,0.26966264711753013,0.1223,96.27,0.998,0.962,0.3269,87.7,0.99,0.846
28,0.26408874356992357,0.1408,95.44,0.998,0.954,0.294,88.73,0.991,0.853
29,0.25710258778438344,0.1338,95.74,0.998,0.956,0.297,88.87,0.991,0.863
30,0.2501368217010011,0.1122,96.59,0.999,0.966,0.2509,90.79,0.993,0.881
31,0.24422813790406378,0.1221,96.39,0.998,0.963,0.3449,87.23,0.988,0.843
32,0.23621106223874194,0.1156,96.51,0.998,0.965,0.301,88.14,0.992,0.85
33,0.23406322909298763,0.1086,96.7,0.999,0.966,0.301,88.27,0.991,0.849
34,0.22651917584854642,0.104,96.81,0.999,0.968,0.2825,89.48,0.992,0.867
35,0.22070501170598478,0.1188,96.19,0.999,0.961,0.3365,87.43,0.991,0.851
36,0.21593530512144488,0.1067,96.72,0.999,0.967,0.2717,89.77,0.993,0.865
37,0.2134016090102734,0.0968,97.09,0.999,0.97,0.2484,90.54,0.994,0.878
38,0.20568704933568996,0.0952,97.18,0.999,0.971,0.2864,89.69,0.992,0.864
39,0.20307870358762775,0.1004,96.84,0.999,0.968,0.2707,89.97,0.993,0.87
40,0.19358487679593026,0.0953,97.14,0.999,0.971,0.2468,90.95,0.994,0.881
41,0.1913120855166707,0.0847,97.37,0.999,0.973,0.2387,91.3,0.994,0.883
42,0.1855348834774614,0.0894,97.23,0.999,0.972,0.2458,91.3,0.993,0.881
43,0.18321603887771193,0.087,97.3,0.999,0.973,0.256,90.86,0.993,0.879
44,0.17752017445301496,0.0848,97.44,0.999,0.974,0.2403,91.24,0.993,0.885
45,0.17503363664485647,0.084,97.4,0.999,0.974,0.2402,91.14,0.993,0.883
46,0.17219086159621516,0.0828,97.43,0.999,0.974,0.2377,91.49,0.994,0.887
47,0.17302809276461173,0.0817,97.51,0.999,0.975,0.2329,91.46,0.994,0.887
48,0.17350925824281135,0.0814,97.54,0.999,0.975,0.2364,91.41,0.994,0.886
49,0.171707789143247,0.0809,97.52,0.999,0.975,0.2373,91.44,0.994,0.886
