epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.018324086315743,1.8792,22.8,0.696,0.165,1.6877,49.3,0.791,0.345
1,1.9990372600093964,1.8022,31.52,0.756,0.225,1.7966,31.22,0.762,0.242
2,1.546728193119008,1.3113,50.03,0.883,0.468,1.1733,58.44,0.881,0.503
3,1.2787800068069102,1.0558,61.57,0.932,0.582,0.9576,67.54,0.931,0.618
4,1.0852513221429667,1.0303,62.1,0.93,0.602,0.9009,71.02,0.935,0.635
5,0.9405342134309926,0.7081,72.85,0.968,0.721,0.6349,76.14,0.968,0.706
6,0.804154676348505,0.7434,71.13,0.966,0.69,0.6693,75.75,0.963,0.731
7,0.7129708679132564,0.4975,82.29,0.98,0.815,0.5514,81.68,0.972,0.781
8,0.662978649940542,0.6192,76.56,0.978,0.751,0.7742,73.93,0.959,0.696
9,0.6176641614954104,0.5624,79.46,0.979,0.794,0.5413,79.31,0.979,0.766
10,0.5830464166018271,0.3573,87.44,0.989,0.869,0.474,83.26,0.98,0.799
11,0.5583679179350535,0.5308,80.51,0.98,0.789,0.8007,75.1,0.96,0.732
12,0.542800391660369,0.3879,86.42,0.988,0.86,0.4491,84.08,0.982,0.815
13,0.5182377853060282,0.4537,83.3,0.987,0.821,0.443,84.16,0.983,0.805
14,0.5007692444068129,0.3341,88.8,0.991,0.885,0.3737,86.83,0.986,0.834
15,0.486866595176813,0.3134,89.18,0.992,0.889,0.352,86.69,0.988,0.845
16,0.4746967597353843,0.3928,85.71,0.989,0.854,0.3966,85.66,0.984,0.82
17,0.46121357482821285,0.2834,90.75,0.993,0.906,0.3366,88.28,0.988,0.851
18,0.45008658364041304,0.3152,89.0,0.992,0.886,0.3167,88.95,0.989,0.863
19,0.4327091625674651,0.3705,86.54,0.991,0.858,0.4202,84.46,0.987,0.827
20,0.42853811169610656,0.2549,91.4,0.994,0.912,0.3497,87.38,0.987,0.837
21,0.41463219390441014,0.2595,91.41,0.994,0.913,0.3718,86.06,0.987,0.837
22,0.411561537921215,0.2884,89.77,0.994,0.895,0.3565,87.12,0.988,0.831
23,0.40528460097996566,0.225,92.5,0.995,0.925,0.3301,87.34,0.989,0.845
24,0.3918399342392508,0.2241,93.01,0.995,0.929,0.3076,89.12,0.99,0.86
25,0.380955352177543,0.2235,92.25,0.996,0.921,0.2786,90.18,0.992,0.869
26,0.3763744486328949,0.2698,90.64,0.995,0.903,0.3445,87.46,0.99,0.855
27,0.3672035532506136,0.218,92.48,0.995,0.924,0.3686,86.47,0.987,0.842
28,0.3658786955219443,0.2224,92.52,0.996,0.923,0.265,90.59,0.992,0.878
29,0.35590171389361863,0.2072,93.49,0.996,0.934,0.3188,88.76,0.99,0.865
30,0.34404636406770317,0.2068,93.32,0.996,0.932,0.3541,86.42,0.989,0.835
31,0.34077644142519187,0.2826,90.46,0.995,0.901,0.4544,83.55,0.985,0.813
32,0.3373628920444878,0.2022,93.67,0.996,0.935,0.2871,89.72,0.991,0.869
33,0.32460169817277607,0.1946,93.79,0.996,0.937,0.2799,89.7,0.993,0.872
34,0.31631854352771593,0.1783,94.25,0.997,0.941,0.2638,90.4,0.993,0.884
35,0.3130787218717264,0.2249,92.56,0.996,0.924,0.3544,87.32,0.989,0.855
36,0.3042811062120195,0.2099,93.03,0.996,0.929,0.3177,88.85,0.99,0.868
37,0.2943587399431668,0.1747,94.15,0.997,0.94,0.2953,89.34,0.992,0.87
38,0.28893968665898917,0.1616,94.84,0.997,0.948,0.3075,88.68,0.991,0.857
39,0.28437413109673393,0.2546,90.32,0.996,0.894,0.3355,87.98,0.991,0.862
40,0.27759698196230825,0.1565,95.06,0.997,0.95,0.2775,90.0,0.992,0.879
41,0.27090708162355165,0.156,95.06,0.997,0.95,0.3087,88.55,0.991,0.86
42,0.26853084747135425,0.1666,94.49,0.997,0.944,0.2852,89.42,0.992,0.868
43,0.2619212923110813,0.163,94.55,0.997,0.945,0.3126,88.82,0.991,0.862
44,0.257306788183455,0.1532,95.13,0.998,0.95,0.2777,89.91,0.992,0.877
45,0.2545932320657597,0.1456,95.24,0.998,0.951,0.2926,89.67,0.992,0.874
46,0.25312909939222866,0.1468,95.12,0.998,0.95,0.2748,90.02,0.992,0.875
47,0.25083851760860837,0.1475,95.2,0.998,0.951,0.2671,90.62,0.993,0.884
48,0.24802590367187308,0.1489,95.11,0.998,0.95,0.2715,90.56,0.992,0.883
49,0.24407642544330663,0.1481,95.1,0.998,0.95,0.2715,90.45,0.993,0.881
