epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.040332478585003,1.9275,29.91,0.659,0.174,2.0076,22.6,0.69,0.154
1,1.7442693856122682,1.3697,50.79,0.878,0.484,1.1547,59.15,0.891,0.489
2,1.3561385449745673,0.9938,63.15,0.938,0.622,0.9563,67.65,0.931,0.642
3,1.112663976580119,0.8244,69.5,0.952,0.672,0.8801,69.13,0.929,0.616
4,0.9424555185887453,0.5979,79.6,0.974,0.785,0.7532,72.9,0.951,0.643
5,0.8297627208044203,0.5284,81.59,0.981,0.811,0.5868,78.67,0.971,0.745
6,0.7249764186872852,0.3761,87.77,0.988,0.871,0.4864,83.01,0.978,0.78
7,0.6660273555371401,0.3575,88.19,0.991,0.88,0.4306,84.41,0.983,0.808
8,0.6137366067591331,0.3825,87.45,0.99,0.869,0.476,82.14,0.981,0.786
9,0.5848766835473425,0.3508,88.14,0.991,0.875,0.5444,79.61,0.975,0.753
10,0.5504198524591734,0.2717,91.61,0.994,0.914,0.3921,86.34,0.986,0.835
11,0.5257755460070191,0.2731,90.85,0.994,0.905,0.3952,85.55,0.986,0.818
12,0.5017566571561553,0.2714,91.05,0.994,0.906,0.3789,85.79,0.987,0.825
13,0.47464151519665615,0.2627,91.17,0.994,0.909,0.4602,83.53,0.983,0.806
14,0.45626991729942157,0.2381,92.26,0.995,0.922,0.417,85.28,0.985,0.815
15,0.4386477371771559,0.2144,92.97,0.996,0.928,0.4426,83.45,0.983,0.802
16,0.42416114215370565,0.1957,93.96,0.996,0.938,0.328,88.55,0.988,0.846
17,0.41086037403387987,0.2061,93.22,0.996,0.932,0.3499,87.02,0.989,0.827
18,0.40704753030118324,0.1579,94.98,0.997,0.949,0.2816,89.77,0.992,0.864
19,0.3816636378387753,0.1766,94.19,0.997,0.94,0.3167,89.44,0.989,0.863
20,0.3729555739773263,0.1656,94.58,0.997,0.944,0.303,89.58,0.99,0.865
21,0.3622784661732132,0.1558,95.05,0.997,0.95,0.3271,88.28,0.99,0.848
22,0.3453018725347176,0.1438,95.58,0.998,0.955,0.2475,91.39,0.994,0.883
23,0.342198547056253,0.1428,95.42,0.998,0.953,0.2823,90.1,0.992,0.872
24,0.3336656298354375,0.1311,95.91,0.998,0.958,0.2897,89.89,0.992,0.872
25,0.31528216493215494,0.1444,95.25,0.998,0.952,0.3026,89.59,0.991,0.865
26,0.3134877441598357,0.1417,95.38,0.998,0.952,0.2962,89.48,0.992,0.867
27,0.3041844529856881,0.1262,95.88,0.998,0.957,0.2634,90.64,0.994,0.88
28,0.29839787541104734,0.1255,95.99,0.998,0.959,0.2674,90.26,0.994,0.884
29,0.28383955413060225,0.1192,96.16,0.998,0.961,0.2383,91.71,0.994,0.888
30,0.27877995211014645,0.1072,96.59,0.999,0.965,0.2732,90.51,0.992,0.874
31,0.27216896286113657,0.1198,96.1,0.999,0.96,0.3529,87.94,0.988,0.847
32,0.2671582144584587,0.0954,96.94,0.999,0.969,0.2913,89.85,0.991,0.863
33,0.26352147983132507,0.1024,96.75,0.999,0.967,0.2607,90.64,0.993,0.876
34,0.25267753583921804,0.0924,97.18,0.999,0.971,0.2663,90.89,0.992,0.878
35,0.24701193607539582,0.0955,97.04,0.999,0.97,0.3036,89.36,0.991,0.865
36,0.23897314832793723,0.0872,97.31,0.999,0.972,0.269,90.45,0.993,0.875
37,0.23427307359177432,0.0902,97.04,0.999,0.97,0.2793,90.51,0.992,0.875
38,0.22868816393742458,0.0835,97.32,0.999,0.973,0.2553,91.47,0.993,0.885
39,0.2211094454681273,0.0811,97.52,0.999,0.975,0.3131,89.36,0.991,0.866
40,0.21368464388006883,0.0772,97.57,0.999,0.975,0.2676,91.43,0.993,0.885
41,0.2119381466357828,0.0774,97.56,0.999,0.975,0.2845,90.75,0.992,0.88
42,0.20857701809715024,0.0773,97.44,0.999,0.974,0.3005,89.85,0.992,0.869
43,0.20566534910270637,0.0737,97.7,0.999,0.977,0.2884,90.37,0.992,0.875
44,0.20157594882327018,0.0748,97.67,0.999,0.976,0.2986,90.04,0.992,0.871
45,0.20062413833124174,0.0724,97.75,0.999,0.977,0.2773,91.02,0.993,0.882
46,0.19858660972375664,0.0708,97.73,0.999,0.977,0.2798,90.76,0.992,0.881
47,0.1984384123155539,0.0713,97.79,0.999,0.978,0.2909,90.38,0.992,0.876
48,0.198155883512051,0.0704,97.79,0.999,0.978,0.2827,90.79,0.992,0.88
49,0.19674425888404573,0.0705,97.79,0.999,0.978,0.2896,90.51,0.992,0.877
