epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.029147113827493,1.8952,27.96,0.665,0.188,1.9529,38.84,0.685,0.236
1,1.7217791569318703,1.4034,48.76,0.864,0.459,1.2986,55.05,0.858,0.449
2,1.3045829577411678,0.9756,63.5,0.938,0.599,1.0437,63.89,0.911,0.555
3,1.0199681657681363,0.9998,63.08,0.94,0.602,1.1654,57.35,0.895,0.525
4,0.7844535596936727,0.5553,80.94,0.979,0.802,0.6223,78.86,0.96,0.718
5,0.6657438475451023,0.4238,86.03,0.986,0.857,0.5103,82.24,0.975,0.77
6,0.586132984367206,0.3987,86.81,0.986,0.865,0.5594,79.44,0.967,0.741
7,0.523519148286298,0.3862,86.95,0.989,0.867,0.4678,83.36,0.972,0.771
8,0.4770633576156424,0.3391,88.4,0.992,0.881,0.3593,87.15,0.985,0.829
9,0.4368989673449839,0.2737,91.09,0.994,0.909,0.3722,87.0,0.986,0.824
10,0.41119734975073835,0.3016,90.38,0.993,0.902,0.362,87.16,0.986,0.836
11,0.384822280286885,0.2475,91.85,0.994,0.916,0.3338,88.41,0.989,0.854
12,0.36039824580117097,0.218,93.0,0.996,0.927,0.3252,88.6,0.99,0.852
13,0.342392856268574,0.2014,93.37,0.996,0.932,0.2671,90.64,0.992,0.875
14,0.32637879434678196,0.2677,90.75,0.995,0.903,0.341,87.65,0.991,0.842
15,0.3100417748415213,0.1712,94.52,0.997,0.944,0.2811,89.77,0.992,0.859
16,0.30194529494364486,0.1793,94.13,0.997,0.94,0.3402,88.0,0.989,0.834
17,0.2878821921005523,0.1814,94.2,0.997,0.941,0.2574,90.26,0.993,0.868
18,0.27587839081990634,0.1627,94.7,0.997,0.946,0.2948,89.26,0.992,0.866
19,0.2639890695861775,0.1463,95.36,0.998,0.952,0.2538,91.06,0.993,0.878
20,0.25138595335775143,0.159,94.76,0.998,0.946,0.3194,88.74,0.99,0.856
21,0.25171676438918217,0.1464,95.15,0.998,0.952,0.2357,91.73,0.994,0.887
22,0.23295640066373263,0.1393,95.52,0.998,0.954,0.3148,88.35,0.99,0.847
23,0.23424517958284283,0.139,95.53,0.998,0.954,0.2631,90.34,0.993,0.872
24,0.22425861431540345,0.1275,95.87,0.998,0.958,0.3046,89.39,0.992,0.858
25,0.21496635300221204,0.1286,95.91,0.998,0.958,0.269,90.45,0.992,0.872
26,0.20721698332604743,0.1138,96.38,0.999,0.963,0.3128,89.44,0.992,0.862
27,0.20562616022799513,0.1204,95.95,0.999,0.959,0.3145,88.63,0.991,0.856
28,0.19141296243710484,0.1183,96.16,0.999,0.961,0.2674,90.54,0.994,0.878
29,0.19148909520331048,0.1142,96.27,0.999,0.962,0.3227,89.23,0.991,0.854
30,0.18395201465208755,0.098,96.89,0.999,0.968,0.2544,91.27,0.994,0.882
31,0.17896197956028603,0.0994,96.69,0.999,0.966,0.34,87.87,0.992,0.853
32,0.17088351023497342,0.1067,96.51,0.999,0.965,0.3045,89.64,0.992,0.866
33,0.16497756278128933,0.0858,97.24,0.999,0.972,0.2511,90.87,0.994,0.878
34,0.16325589891174713,0.0926,97.09,0.999,0.97,0.3114,89.56,0.991,0.865
35,0.1575104789339381,0.0939,97.0,0.999,0.97,0.2663,90.54,0.993,0.876
36,0.15163131883676104,0.0806,97.5,0.999,0.975,0.2659,91.0,0.993,0.882
37,0.14923767391726267,0.0796,97.45,0.999,0.974,0.2402,91.46,0.994,0.887
38,0.14463776923555263,0.0819,97.3,0.999,0.973,0.3191,89.36,0.991,0.862
39,0.13735749706518735,0.0738,97.63,0.999,0.976,0.295,90.1,0.992,0.87
40,0.1333351808486225,0.073,97.68,0.999,0.976,0.3151,89.26,0.992,0.863
41,0.1321945225806545,0.0747,97.65,0.999,0.976,0.2578,91.24,0.994,0.885
42,0.12704298479093923,0.0738,97.59,0.999,0.976,0.3117,89.39,0.992,0.863
43,0.12386477813660669,0.0733,97.63,0.999,0.976,0.2681,90.4,0.993,0.875
44,0.12025001934535212,0.0688,97.71,0.999,0.977,0.2904,89.8,0.993,0.867
45,0.1217456779462828,0.0689,97.78,0.999,0.977,0.2735,90.4,0.993,0.874
46,0.11777205599083317,0.0693,97.74,0.999,0.977,0.2827,90.13,0.993,0.87
47,0.11410697490620099,0.0676,97.85,0.999,0.978,0.2681,90.54,0.993,0.875
48,0.11472228335605252,0.068,97.8,1.0,0.978,0.2794,90.3,0.993,0.875
49,0.1161359586089635,0.0667,97.86,1.0,0.978,0.2725,90.56,0.993,0.877
