epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.72328306013538,1.1438,61.79,0.924,0.583,1.9422,23.56,0.736,0.243
1,1.7903492860896613,1.0657,61.62,0.915,0.579,1.4169,52.74,0.837,0.458
2,1.2383836891275153,0.6531,77.66,0.965,0.772,0.8004,71.86,0.939,0.655
3,0.9293436097201481,0.4588,84.86,0.981,0.844,0.7884,73.9,0.94,0.662
4,0.7029604652769676,0.3904,86.07,0.987,0.853,0.6475,78.41,0.961,0.7
5,0.5961061562795366,0.3596,87.4,0.991,0.873,0.6125,77.36,0.971,0.726
6,0.5201260138797076,0.2687,91.07,0.994,0.905,0.5543,80.66,0.976,0.756
7,0.4670152410490966,0.2377,91.99,0.995,0.917,0.5571,80.66,0.968,0.751
8,0.43996751644918997,0.2458,91.95,0.994,0.916,0.4542,83.39,0.98,0.788
9,0.4118095117497615,0.1992,93.75,0.996,0.935,0.4015,84.68,0.985,0.792
10,0.39377550932989325,0.2006,93.19,0.996,0.93,0.4552,83.4,0.979,0.776
11,0.3718587148360454,0.188,93.96,0.996,0.938,0.4147,85.82,0.982,0.807
12,0.36294534650220667,0.2032,93.14,0.996,0.929,0.4772,83.53,0.979,0.79
13,0.35133235060399576,0.1898,93.79,0.997,0.936,0.4195,85.14,0.983,0.81
14,0.3429563448741017,0.1646,94.7,0.997,0.945,0.3593,87.37,0.985,0.823
15,0.3256375525800985,0.1625,94.71,0.997,0.946,0.3408,86.97,0.987,0.823
16,0.32360738913752274,0.1595,94.96,0.997,0.948,0.3318,88.38,0.987,0.84
17,0.31456240827357895,0.1598,94.73,0.997,0.946,0.3473,87.6,0.986,0.829
18,0.3036206587882025,0.152,95.03,0.998,0.949,0.3654,87.02,0.985,0.818
19,0.30121634262330216,0.1445,95.49,0.998,0.953,0.5172,82.09,0.977,0.766
20,0.28581835503112457,0.1429,95.31,0.998,0.951,0.4724,83.51,0.977,0.774
21,0.28483254462480545,0.1408,95.49,0.998,0.953,0.3425,87.32,0.99,0.833
22,0.2769243867807491,0.1434,95.38,0.998,0.952,0.3953,86.33,0.985,0.819
23,0.2699888889347353,0.1306,95.79,0.998,0.957,0.3157,88.35,0.989,0.847
24,0.26493648662629093,0.135,95.77,0.998,0.956,0.4459,84.05,0.984,0.8
25,0.25945742831542074,0.1288,95.9,0.998,0.958,0.3564,87.48,0.986,0.82
26,0.24716596057017645,0.1344,95.56,0.998,0.954,0.3823,86.48,0.986,0.811
27,0.2448198028229257,0.1184,96.15,0.999,0.961,0.3493,86.39,0.987,0.811
28,0.2391076987095204,0.1158,96.18,0.999,0.961,0.2802,89.96,0.992,0.866
29,0.23157322166427488,0.1218,96.16,0.998,0.961,0.3962,85.52,0.986,0.803
30,0.22835367015399385,0.1101,96.3,0.999,0.962,0.2765,90.15,0.991,0.866
31,0.22264964871882964,0.1105,96.57,0.999,0.965,0.4206,85.65,0.984,0.816
32,0.2111253536650143,0.1102,96.37,0.999,0.963,0.4105,85.85,0.984,0.808
33,0.21025685138172573,0.1027,96.73,0.999,0.966,0.3485,87.37,0.988,0.828
34,0.20532647247249294,0.1005,96.75,0.999,0.967,0.3511,87.37,0.986,0.818
35,0.19917424672072934,0.1021,96.63,0.999,0.965,0.3442,87.32,0.989,0.828
36,0.19396556694875053,0.0989,96.77,0.999,0.967,0.3536,87.51,0.988,0.821
37,0.19182457611311934,0.0915,97.03,0.999,0.97,0.3839,86.03,0.987,0.813
38,0.18307167430505103,0.0884,97.13,0.999,0.971,0.3828,85.96,0.987,0.808
39,0.1818066172061428,0.0908,97.02,0.999,0.969,0.309,88.76,0.991,0.847
40,0.1789965995163473,0.0801,97.52,0.999,0.975,0.3559,87.46,0.989,0.834
41,0.16929835774084573,0.0828,97.39,0.999,0.973,0.3148,88.66,0.991,0.841
42,0.16963675108114024,0.0816,97.34,0.999,0.973,0.3438,88.17,0.989,0.838
43,0.16214503761794832,0.0798,97.29,0.999,0.972,0.3221,88.35,0.99,0.841
44,0.15946757719321278,0.0775,97.53,0.999,0.975,0.326,88.28,0.99,0.842
45,0.15676528862327016,0.0759,97.5,0.999,0.975,0.3114,88.9,0.99,0.849
46,0.15591639361100598,0.0759,97.53,0.999,0.975,0.3205,88.54,0.99,0.844
47,0.15435310979924535,0.0751,97.5,0.999,0.975,0.3127,88.73,0.99,0.845
48,0.15338771943817428,0.0745,97.53,0.999,0.975,0.3305,87.95,0.99,0.837
49,0.1542646430506234,0.0742,97.55,0.999,0.975,0.3274,88.08,0.99,0.839
