epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.038132626375706,1.9195,27.1,0.655,0.172,1.9942,24.65,0.703,0.159
1,1.6844260521072278,1.2841,53.43,0.885,0.523,1.1564,61.55,0.878,0.51
2,1.3199322875455128,1.04,60.15,0.937,0.586,0.9168,69.65,0.933,0.627
3,1.080987641279646,0.7636,72.99,0.957,0.724,0.7942,71.58,0.947,0.655
4,0.8795349246306385,0.5559,81.29,0.977,0.806,0.7493,72.76,0.953,0.665
5,0.7633040620268677,0.5231,81.46,0.981,0.81,0.7097,73.41,0.956,0.674
6,0.6765549688888111,0.4323,85.46,0.988,0.849,0.5771,79.06,0.969,0.745
7,0.5979152090257878,0.3541,88.49,0.99,0.882,0.4435,83.53,0.982,0.79
8,0.5485601789659733,0.3625,87.65,0.99,0.873,0.4484,84.02,0.983,0.799
9,0.5086916577901771,0.2874,90.47,0.993,0.903,0.4491,84.59,0.981,0.806
10,0.4812602336458165,0.2666,91.27,0.994,0.911,0.3337,88.5,0.988,0.85
11,0.4549088160768687,0.2595,91.77,0.994,0.915,0.4272,84.86,0.983,0.809
12,0.4305955587531165,0.2354,92.14,0.995,0.92,0.3514,87.6,0.988,0.842
13,0.41130380814881634,0.2266,92.74,0.995,0.926,0.3368,87.64,0.988,0.844
14,0.38864992033663415,0.2251,92.66,0.996,0.925,0.3625,87.98,0.988,0.85
15,0.3735693811083869,0.1959,93.79,0.996,0.936,0.3473,87.87,0.987,0.844
16,0.3639225005674705,0.2211,92.66,0.996,0.924,0.4469,84.34,0.982,0.812
17,0.3496599092329149,0.1772,94.0,0.997,0.94,0.3421,87.81,0.99,0.839
18,0.3360526370916435,0.1766,94.26,0.997,0.941,0.3309,87.72,0.989,0.847
19,0.32280669967047604,0.1648,94.74,0.997,0.946,0.3206,89.31,0.989,0.861
20,0.30950480699539185,0.1537,95.09,0.998,0.95,0.3417,87.98,0.989,0.855
21,0.2946849045135992,0.1471,95.26,0.998,0.952,0.3291,89.09,0.989,0.855
22,0.28644761432417865,0.1631,94.57,0.997,0.944,0.4656,84.16,0.981,0.797
23,0.28512139725599356,0.1393,95.62,0.998,0.955,0.276,90.12,0.992,0.871
24,0.26974471170696424,0.1257,96.06,0.998,0.96,0.2996,89.61,0.991,0.865
25,0.26221463159262703,0.1384,95.49,0.998,0.954,0.2629,91.5,0.992,0.886
26,0.25557335096297507,0.1458,95.17,0.998,0.951,0.3313,88.73,0.99,0.855
27,0.24685860913005664,0.1263,96.02,0.998,0.959,0.3404,87.86,0.989,0.847
28,0.24242110625445415,0.1242,95.92,0.999,0.958,0.3671,88.22,0.988,0.853
29,0.2324480713485814,0.1324,95.89,0.998,0.958,0.3545,88.08,0.989,0.847
30,0.22644169124767935,0.1101,96.47,0.999,0.964,0.3091,90.19,0.991,0.874
31,0.22352712285175597,0.1203,96.06,0.999,0.96,0.3221,89.22,0.989,0.862
32,0.2149199126221293,0.1078,96.58,0.999,0.965,0.3293,89.55,0.99,0.865
33,0.2080258763522553,0.1037,96.64,0.999,0.966,0.3046,89.75,0.991,0.864
34,0.20197990054278064,0.0945,97.0,0.999,0.969,0.3144,89.58,0.99,0.864
35,0.19701134182995172,0.0947,96.96,0.999,0.969,0.3219,88.85,0.991,0.863
36,0.19204922652930664,0.0902,97.11,0.999,0.97,0.2874,90.51,0.992,0.874
37,0.18472192538299148,0.0807,97.42,0.999,0.974,0.346,88.5,0.99,0.854
38,0.18049774131328938,0.0838,97.39,0.999,0.973,0.3132,89.48,0.99,0.861
39,0.17796779102344307,0.0842,97.32,0.999,0.973,0.3642,88.11,0.99,0.85
40,0.17207293994992756,0.0769,97.61,0.999,0.975,0.2974,89.56,0.992,0.865
41,0.17119709686409657,0.0792,97.5,0.999,0.974,0.2849,90.59,0.992,0.877
42,0.16105343664078403,0.0748,97.64,0.999,0.976,0.3244,89.56,0.991,0.863
43,0.15818709381621518,0.072,97.76,0.999,0.977,0.3318,89.23,0.99,0.857
44,0.15565664573110266,0.0731,97.71,0.999,0.977,0.3453,88.85,0.99,0.855
45,0.15574287987655874,0.0699,97.88,0.999,0.978,0.3003,90.32,0.992,0.87
46,0.15094151899968977,0.071,97.82,0.999,0.978,0.3213,89.88,0.991,0.867
47,0.15124455153298894,0.0709,97.77,0.999,0.977,0.3075,90.12,0.992,0.869
48,0.15047723548017816,0.0712,97.77,0.999,0.977,0.307,89.91,0.992,0.867
49,0.15282687560903083,0.0701,97.84,0.999,0.978,0.3095,89.86,0.991,0.865
