epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8024957300090103,1.2229,59.12,0.913,0.511,1.8018,34.8,0.731,0.282
1,1.3437801582350148,0.7198,75.57,0.965,0.746,0.8947,67.6,0.916,0.602
2,0.8473550698740019,0.5496,79.74,0.979,0.785,1.0463,62.45,0.924,0.559
3,0.6668594773295972,0.414,85.65,0.986,0.853,0.8043,73.01,0.938,0.663
4,0.541994221347699,0.2858,90.29,0.993,0.901,0.5401,81.9,0.964,0.74
5,0.4364317061660959,0.2378,92.04,0.995,0.918,0.5297,81.11,0.972,0.751
6,0.37874987163989665,0.2091,93.34,0.996,0.932,0.5026,80.8,0.978,0.744
7,0.32795976713406955,0.1725,94.55,0.997,0.944,0.479,84.73,0.97,0.792
8,0.2995677435998436,0.201,93.56,0.996,0.934,0.4294,84.75,0.982,0.8
9,0.2851704695670725,0.1902,93.78,0.997,0.936,0.4152,85.63,0.984,0.813
10,0.2563438179681627,0.1556,94.99,0.997,0.948,0.3959,85.84,0.983,0.814
11,0.24053993746102284,0.167,94.26,0.998,0.941,0.5408,83.18,0.972,0.771
12,0.2210411593425188,0.1525,95.08,0.998,0.949,0.4314,86.15,0.986,0.815
13,0.21352076401813425,0.1556,94.67,0.998,0.946,0.447,86.72,0.98,0.797
14,0.19368449175100533,0.1209,96.11,0.998,0.96,0.4599,84.38,0.981,0.793
15,0.1903815027192342,0.1327,95.74,0.998,0.957,0.3399,88.96,0.99,0.844
16,0.17842237511984735,0.1166,96.22,0.999,0.961,0.3593,87.56,0.988,0.83
17,0.1742934478487042,0.1104,96.47,0.999,0.964,0.3556,87.16,0.988,0.826
18,0.17003209862134439,0.1004,96.77,0.999,0.967,0.3412,89.1,0.989,0.845
19,0.1603272835985362,0.1038,96.65,0.999,0.966,0.3367,88.73,0.988,0.831
20,0.14688109327777685,0.088,97.23,0.999,0.972,0.338,87.98,0.989,0.827
21,0.14593407254424884,0.0925,96.95,0.999,0.969,0.3374,87.89,0.989,0.838
22,0.13774643275591966,0.0844,97.38,0.999,0.973,0.372,86.77,0.986,0.814
23,0.13669472959616202,0.0886,97.1,0.999,0.971,0.3837,87.64,0.987,0.826
24,0.1300389714163842,0.0747,97.7,0.999,0.977,0.3799,86.1,0.984,0.807
25,0.12378199452118908,0.0715,97.72,0.999,0.977,0.4042,85.82,0.985,0.809
26,0.1176081793181759,0.0732,97.67,0.999,0.976,0.3814,87.13,0.988,0.822
27,0.11462275565956993,0.0754,97.54,0.999,0.975,0.4126,86.59,0.984,0.819
28,0.11035244536700009,0.0752,97.56,0.999,0.975,0.4003,85.99,0.985,0.81
29,0.10260389018937838,0.0696,97.62,1.0,0.976,0.3545,89.23,0.987,0.838
30,0.09879723279703435,0.066,97.9,1.0,0.979,0.3357,89.17,0.989,0.848
31,0.09440431167646278,0.0601,98.07,1.0,0.98,0.4807,84.98,0.98,0.801
32,0.09020323627929894,0.0642,97.98,1.0,0.98,0.3881,87.92,0.986,0.829
33,0.08861192508781557,0.0556,98.19,1.0,0.982,0.3267,89.37,0.989,0.851
34,0.08130813633902467,0.0533,98.25,1.0,0.982,0.3643,88.03,0.987,0.832
35,0.07900088746770681,0.0511,98.35,1.0,0.983,0.3403,89.37,0.99,0.848
36,0.07527679105778393,0.0478,98.47,1.0,0.985,0.3479,89.28,0.989,0.847
37,0.07085220438006112,0.0491,98.42,1.0,0.984,0.3663,88.3,0.988,0.834
38,0.06816885844141031,0.0453,98.64,1.0,0.986,0.3362,89.2,0.99,0.849
39,0.06652301985422056,0.0434,98.56,1.0,0.985,0.4013,87.05,0.986,0.82
40,0.06256561946097038,0.0418,98.62,1.0,0.986,0.3779,88.24,0.988,0.83
41,0.06077764641573961,0.0424,98.65,1.0,0.986,0.3229,89.75,0.99,0.851
42,0.056001278632085955,0.0424,98.65,1.0,0.986,0.3682,88.3,0.989,0.834
43,0.05294882526232613,0.0403,98.74,1.0,0.987,0.3852,87.76,0.988,0.831
44,0.05151431592141124,0.0379,98.81,1.0,0.988,0.3814,88.06,0.988,0.832
45,0.05153021830127394,0.0372,98.93,1.0,0.989,0.3543,88.65,0.99,0.841
46,0.05064557938963818,0.0375,98.88,1.0,0.989,0.3578,88.92,0.989,0.843
47,0.05070716598265463,0.0371,98.88,1.0,0.989,0.3516,88.8,0.99,0.841
48,0.047235783497742614,0.0371,98.85,1.0,0.988,0.3562,88.71,0.99,0.841
49,0.04701276242786603,0.0369,98.86,1.0,0.988,0.3528,88.69,0.99,0.841
