epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.351380811320792,1.0693,60.96,0.917,0.554,2.3322,14.65,0.649,0.112
1,1.1009064767000487,0.699,73.04,0.965,0.701,1.7341,45.13,0.798,0.369
2,0.6971280823508612,0.424,85.93,0.985,0.857,1.6822,43.77,0.828,0.438
3,0.5071193385038445,0.5931,78.03,0.981,0.742,1.9656,48.37,0.837,0.441
4,0.413347523632667,0.3042,89.1,0.992,0.888,2.0276,40.22,0.837,0.361
5,0.3692087155880688,0.2876,89.97,0.993,0.897,2.0163,48.26,0.861,0.409
6,0.3006088168715402,0.2115,92.82,0.996,0.926,1.5512,54.63,0.891,0.519
7,0.2660496507188399,0.2158,92.65,0.996,0.925,1.5302,57.68,0.892,0.535
8,0.24509181457457782,0.1639,94.4,0.997,0.943,1.1966,67.85,0.908,0.634
9,0.2084442309552817,0.1533,94.93,0.998,0.948,1.1926,66.49,0.904,0.613
10,0.19485830949793617,0.1311,95.54,0.998,0.955,1.4535,62.36,0.893,0.583
11,0.18158227800250912,0.1384,95.55,0.998,0.954,1.6404,56.64,0.888,0.544
12,0.17220958209723877,0.1265,95.79,0.999,0.957,0.8871,76.08,0.933,0.713
13,0.1554614129683954,0.1296,95.75,0.998,0.956,1.3837,64.93,0.911,0.619
14,0.1439492625834273,0.0903,97.03,0.999,0.97,1.3666,66.27,0.919,0.618
15,0.13480014429032375,0.0936,97.0,0.999,0.97,1.4211,64.38,0.911,0.593
16,0.13001761462191025,0.1079,96.34,0.999,0.963,1.8813,56.45,0.887,0.533
17,0.12275415760793275,0.0972,96.83,0.999,0.968,1.4031,66.51,0.904,0.617
18,0.11872496991920814,0.087,97.15,0.999,0.971,1.1643,72.21,0.931,0.672
19,0.11614029085357412,0.0896,96.86,0.999,0.968,1.5141,61.83,0.913,0.595
20,0.10733187740012039,0.0813,97.29,0.999,0.972,1.2719,69.13,0.919,0.63
21,0.09885534534244228,0.0695,97.8,0.999,0.978,1.5532,65.4,0.909,0.62
epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8073897018707057,1.2857,57.71,0.916,0.491,1.902,25.49,0.746,0.229
1,1.414068673154433,0.7433,74.69,0.962,0.743,1.0788,59.96,0.9,0.527
2,1.0433316196469093,0.5875,79.97,0.974,0.789,0.7439,74.53,0.952,0.694
3,0.8311793010869473,0.4697,82.99,0.982,0.82,0.6408,75.67,0.965,0.682
4,0.6560700655841142,0.3485,88.91,0.99,0.884,0.5976,78.08,0.97,0.717
5,0.556283287007174,0.2847,90.26,0.993,0.899,0.4111,85.68,0.983,0.807
6,0.47558297785066017,0.2619,91.28,0.994,0.907,0.5041,81.79,0.981,0.779
7,0.41991274369706355,0.246,91.57,0.995,0.913,0.3248,87.87,0.99,0.834
8,0.38354284943436545,0.1941,93.77,0.996,0.937,0.265,91.11,0.993,0.884
9,0.35608233950978563,0.1769,94.41,0.997,0.943,0.3584,86.72,0.988,0.829
10,0.33288113472701836,0.1728,94.22,0.997,0.941,0.2594,90.86,0.994,0.889
11,0.3133781999349594,0.1588,95.02,0.997,0.949,0.3559,87.02,0.987,0.834
12,0.29440747330085837,0.1686,94.63,0.997,0.945,0.3506,88.08,0.989,0.854
13,0.28086965247023876,0.1414,95.39,0.998,0.953,0.2234,91.9,0.994,0.89
14,0.26403800081863676,0.1361,95.66,0.998,0.956,0.297,89.61,0.991,0.87
15,0.24818605581204667,0.121,96.14,0.998,0.961,0.2879,89.2,0.993,0.865
16,0.2405215738703021,0.1389,95.56,0.998,0.954,0.3149,89.28,0.991,0.858
17,0.23484690326580898,0.1161,96.18,0.999,0.961,0.2664,90.59,0.993,0.873
18,0.22505877858443227,0.1084,96.4,0.999,0.963,0.2351,91.87,0.994,0.893
19,0.21555392615657917,0.1186,96.14,0.998,0.961,0.2372,92.33,0.994,0.9
20,0.20837745124058757,0.0994,96.89,0.999,0.968,0.2232,92.1,0.995,0.896
21,0.2037655441023463,0.1014,96.79,0.999,0.967,0.2503,91.19,0.993,0.885
22,0.19544708503664826,0.1038,96.73,0.999,0.967,0.2307,91.49,0.995,0.888
23,0.1911124315836447,0.0975,96.86,0.999,0.968,0.3029,88.85,0.993,0.86
24,0.17887744339678785,0.0844,97.33,0.999,0.973,0.269,90.24,0.992,0.869
25,0.17475796078177666,0.0842,97.27,0.999,0.972,0.2775,90.4,0.992,0.875
26,0.17043313443017521,0.0896,97.12,0.999,0.971,0.2298,91.47,0.995,0.891
27,0.15910057568078417,0.0785,97.49,0.999,0.975,0.2419,91.58,0.993,0.886
28,0.15743998539962356,0.0818,97.31,0.999,0.973,0.2312,91.82,0.995,0.896
29,0.14990810937375473,0.077,97.48,0.999,0.974,0.2759,90.38,0.993,0.876
30,0.14515214885095898,0.0748,97.55,0.999,0.975,0.2284,92.07,0.995,0.898
31,0.14073315177032417,0.075,97.54,0.999,0.975,0.3204,89.04,0.991,0.867
32,0.13418358923505536,0.0712,97.71,0.999,0.977,0.2841,90.26,0.993,0.876
33,0.1293806310394685,0.0613,97.93,1.0,0.979,0.228,92.26,0.994,0.896
34,0.12565329145613335,0.0607,98.09,1.0,0.981,0.2622,91.13,0.994,0.885
35,0.12097166928884795,0.0615,98.03,1.0,0.98,0.2219,92.44,0.995,0.907
36,0.11869289114964095,0.0583,98.1,1.0,0.981,0.2191,92.47,0.995,0.899
37,0.1127235858346061,0.058,98.12,1.0,0.981,0.2673,90.97,0.994,0.888
38,0.1077704052273318,0.0535,98.24,1.0,0.982,0.2281,92.36,0.995,0.897
39,0.10519656906132217,0.0518,98.27,1.0,0.982,0.2464,91.92,0.994,0.894
40,0.09904862811668314,0.0533,98.28,1.0,0.983,0.2347,92.37,0.995,0.901
41,0.09868277025094135,0.0491,98.47,1.0,0.985,0.2369,92.17,0.994,0.895
42,0.09689046820397858,0.0507,98.35,1.0,0.983,0.2292,92.4,0.995,0.901
43,0.09423228074535192,0.0507,98.3,1.0,0.983,0.2308,92.29,0.995,0.9
44,0.08897917578331858,0.0477,98.43,1.0,0.984,0.2443,91.88,0.994,0.895
45,0.08986660178831156,0.0474,98.43,1.0,0.984,0.2272,92.5,0.995,0.901
46,0.08549573492231986,0.0466,98.43,1.0,0.984,0.2368,92.29,0.995,0.9
47,0.08786791828360489,0.0469,98.44,1.0,0.984,0.2381,92.29,0.995,0.9
48,0.08505208353451688,0.0469,98.45,1.0,0.984,0.2317,92.48,0.995,0.903
49,0.08522347435891199,0.0465,98.45,1.0,0.984,0.2325,92.55,0.995,0.903
