epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9908564389820167,1.6347,42.29,0.776,0.333,1.5144,49.6,0.802,0.34
1,2.0518245476975663,1.9343,25.15,0.658,0.159,1.8829,29.13,0.727,0.199
2,1.5712110836018798,1.0156,61.66,0.919,0.603,0.946,65.34,0.924,0.588
3,1.1591531823399246,0.8178,69.86,0.955,0.696,0.8712,64.96,0.947,0.623
4,0.9066439295541429,0.6095,78.69,0.973,0.774,0.6748,75.38,0.967,0.712
5,0.7751477158838703,0.5738,80.04,0.977,0.79,0.6161,76.98,0.971,0.743
6,0.6820808827983863,0.452,83.98,0.984,0.833,0.5192,80.72,0.977,0.783
7,0.6245212420340507,0.4535,83.7,0.985,0.826,0.5519,80.26,0.975,0.772
8,0.5864746111802303,0.4628,82.54,0.986,0.817,0.5233,79.39,0.982,0.771
9,0.5765078030393115,0.5385,79.88,0.984,0.787,0.6407,74.77,0.971,0.741
10,0.5372181224993907,0.3522,87.44,0.991,0.867,0.4408,84.18,0.983,0.808
11,0.5127952131426036,0.3525,87.3,0.991,0.866,0.4393,83.2,0.982,0.793
12,0.5015029211304949,0.3249,88.52,0.991,0.882,0.4118,84.24,0.986,0.821
13,0.4762974270355744,0.3507,87.75,0.99,0.874,0.3994,85.92,0.986,0.825
14,0.47213347205444905,0.318,88.89,0.992,0.884,0.3465,87.42,0.989,0.848
15,0.45663552846105293,0.2907,90.1,0.993,0.9,0.4191,85.03,0.986,0.813
16,0.4927953095525824,0.2731,90.8,0.993,0.906,0.3336,87.72,0.989,0.86
17,0.4385024131572802,0.2574,91.24,0.994,0.91,0.3153,88.54,0.991,0.862
18,0.4276012596958,0.3028,89.35,0.994,0.888,0.2944,89.86,0.992,0.876
19,0.41856034153464877,0.281,90.32,0.994,0.9,0.3671,86.58,0.989,0.842
20,0.4105887309678139,0.2247,92.96,0.995,0.928,0.2882,89.83,0.992,0.874
21,0.4009433949773457,0.242,91.94,0.994,0.917,0.3359,87.38,0.989,0.847
22,0.3970775168963231,0.263,91.03,0.994,0.908,0.3315,88.06,0.991,0.863
23,0.3848325887354471,0.2162,92.9,0.996,0.928,0.3225,88.08,0.99,0.848
24,0.38234539783983673,0.2716,90.98,0.994,0.905,0.3899,86.56,0.989,0.832
25,0.3675640447058558,0.2783,90.21,0.995,0.897,0.305,88.96,0.993,0.866
26,0.3611861997180515,0.2092,93.05,0.996,0.929,0.2691,90.6,0.992,0.883
27,0.3518962151901696,0.2128,93.11,0.996,0.929,0.2695,90.1,0.993,0.881
28,0.347473078624322,0.2085,93.24,0.996,0.93,0.2817,90.43,0.994,0.882
29,0.33882632832907433,0.208,93.06,0.996,0.929,0.3277,87.49,0.991,0.854
30,0.3305179751261161,0.1871,93.94,0.997,0.938,0.2576,90.51,0.994,0.886
31,0.3249827202502972,0.2065,93.26,0.996,0.931,0.3508,87.21,0.99,0.854
32,0.3175033461502803,0.186,93.73,0.997,0.936,0.2736,90.23,0.993,0.878
33,0.3104968622967761,0.171,94.41,0.997,0.943,0.2757,89.99,0.993,0.871
34,0.3077339311948173,0.168,94.71,0.997,0.946,0.2292,91.57,0.994,0.898
35,0.2980744053599655,0.1822,94.2,0.997,0.941,0.2362,91.84,0.994,0.9
36,0.2915130705175434,0.1782,94.05,0.997,0.94,0.2633,90.79,0.993,0.883
37,0.2834049571959776,0.1663,94.49,0.997,0.944,0.2855,89.97,0.993,0.874
38,0.27405112119238006,0.176,94.13,0.997,0.94,0.285,90.02,0.992,0.878
39,0.27188203840326236,0.1559,95.08,0.997,0.95,0.2381,91.65,0.994,0.897
40,0.26801825503027565,0.1515,95.09,0.997,0.95,0.241,91.32,0.994,0.891
41,0.2620298334507532,0.1468,95.19,0.998,0.951,0.2458,91.22,0.994,0.89
42,0.2575030444209935,0.1457,95.42,0.998,0.953,0.217,92.44,0.995,0.903
43,0.24950478151173575,0.1412,95.41,0.998,0.953,0.2363,91.76,0.994,0.893
44,0.2439958120305692,0.1373,95.68,0.998,0.956,0.2429,91.33,0.994,0.889
45,0.24014092900366338,0.1371,95.55,0.998,0.955,0.2207,91.93,0.995,0.895
46,0.23970259030392949,0.1332,95.61,0.998,0.955,0.2217,92.15,0.995,0.897
47,0.2389022600853742,0.1367,95.51,0.998,0.954,0.2311,91.79,0.994,0.893
48,0.23470688428342557,0.1322,95.69,0.998,0.956,0.2239,91.95,0.995,0.896
49,0.236066467579334,0.1318,95.73,0.998,0.957,0.2266,91.87,0.994,0.895
