epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7296001932527003,1.1712,57.44,0.915,0.519,1.8439,26.43,0.782,0.226
1,1.744428505606976,0.9349,67.27,0.94,0.658,1.052,63.71,0.909,0.565
2,1.3094948868811345,0.6977,74.3,0.963,0.72,0.7507,73.3,0.953,0.65
3,1.0014529793279572,0.5235,82.44,0.978,0.817,0.6446,77.91,0.963,0.719
4,0.7876195236773473,0.4452,83.62,0.987,0.82,0.5413,80.31,0.976,0.71
5,0.6762866757569774,0.3742,87.02,0.99,0.87,0.5531,78.08,0.973,0.733
6,0.5923519929784173,0.2684,91.25,0.994,0.909,0.3742,87.37,0.987,0.829
7,0.5461967592277834,0.2455,92.15,0.994,0.919,0.5182,80.09,0.976,0.765
8,0.5181378594008825,0.258,91.67,0.994,0.914,0.5024,80.83,0.977,0.763
9,0.49154722076376706,0.2728,90.89,0.994,0.906,0.502,81.84,0.981,0.784
10,0.46326692557249444,0.2273,92.47,0.995,0.921,0.4229,84.94,0.984,0.805
11,0.4449150811974293,0.2069,93.31,0.996,0.931,0.4289,84.29,0.984,0.81
12,0.43398317894948424,0.2088,93.04,0.996,0.928,0.4594,84.23,0.982,0.796
13,0.4244720267138601,0.2428,91.71,0.995,0.914,0.3577,86.93,0.989,0.845
14,0.4112838607641958,0.1795,94.22,0.997,0.941,0.3077,89.59,0.99,0.854
15,0.39784984026224385,0.1665,94.59,0.997,0.945,0.2866,90.05,0.99,0.874
16,0.3959697531703125,0.1623,94.8,0.997,0.947,0.2407,91.38,0.993,0.889
17,0.3862473551037064,0.1826,94.14,0.997,0.94,0.3236,88.54,0.989,0.85
18,0.3760343628491552,0.1792,94.24,0.997,0.94,0.2921,90.27,0.992,0.864
19,0.36873477817543093,0.1555,95.02,0.998,0.949,0.2869,90.02,0.992,0.869
20,0.35600459057584033,0.1631,94.75,0.998,0.946,0.2863,89.85,0.991,0.859
21,0.34945646446451917,0.1507,95.25,0.998,0.952,0.2662,90.83,0.992,0.878
22,0.34567484793697206,0.1426,95.4,0.998,0.953,0.3469,87.27,0.989,0.836
23,0.34085457075026726,0.1335,95.75,0.998,0.957,0.2889,89.5,0.991,0.866
24,0.330219609055361,0.147,95.45,0.998,0.954,0.3204,88.93,0.991,0.86
25,0.32434392162334963,0.1374,95.45,0.998,0.954,0.3178,88.44,0.991,0.848
26,0.3187923002787816,0.1405,95.31,0.998,0.952,0.2506,90.56,0.993,0.874
27,0.3101666747295301,0.1302,95.87,0.998,0.957,0.2649,90.72,0.993,0.881
28,0.307054027193977,0.134,95.68,0.998,0.955,0.2575,90.75,0.994,0.885
29,0.2989124168898897,0.1354,95.67,0.998,0.956,0.3067,89.04,0.992,0.863
30,0.2935768658275245,0.1118,96.54,0.999,0.965,0.2507,90.72,0.993,0.88
31,0.286649369731492,0.1255,96.05,0.998,0.96,0.322,88.22,0.992,0.858
32,0.27544903472119336,0.1055,96.63,0.999,0.966,0.2974,89.61,0.992,0.865
33,0.2765682713933102,0.1095,96.6,0.999,0.965,0.2894,89.34,0.992,0.861
34,0.2689312688712578,0.1061,96.54,0.999,0.965,0.2733,90.34,0.992,0.877
35,0.26092629991872335,0.1065,96.65,0.999,0.966,0.2873,89.2,0.993,0.871
36,0.25572118886803213,0.1082,96.68,0.999,0.967,0.2616,90.62,0.993,0.882
37,0.25044294703070835,0.0947,96.96,0.999,0.969,0.2462,91.0,0.994,0.882
38,0.24667109095067533,0.0988,96.95,0.999,0.969,0.2837,89.78,0.992,0.875
39,0.24195639646234907,0.0971,96.95,0.999,0.969,0.2452,91.27,0.994,0.887
40,0.23693624216275402,0.0904,97.2,0.999,0.972,0.209,92.07,0.995,0.896
41,0.2279084601229237,0.0875,97.21,0.999,0.972,0.2603,90.75,0.994,0.882
42,0.2236792791808378,0.0873,97.22,0.999,0.972,0.2443,91.14,0.994,0.883
43,0.22226565838607837,0.0866,97.25,0.999,0.972,0.2423,91.08,0.994,0.882
44,0.21694647296462008,0.084,97.29,0.999,0.973,0.2259,91.69,0.995,0.89
45,0.2135769512410873,0.0813,97.37,0.999,0.973,0.2166,91.96,0.995,0.892
46,0.21321302618978272,0.0808,97.29,0.999,0.973,0.2218,91.88,0.995,0.895
47,0.21234805973440302,0.0803,97.37,0.999,0.973,0.2257,91.49,0.995,0.888
48,0.20844692431096534,0.0798,97.41,0.999,0.974,0.2278,91.57,0.995,0.889
49,0.20979382617125375,0.0799,97.4,0.999,0.974,0.2308,91.44,0.995,0.887
