epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7034295583711303,1.2183,57.88,0.906,0.544,2.0065,22.04,0.733,0.225
1,1.8967200618063678,1.1923,56.15,0.898,0.482,1.3734,54.43,0.832,0.452
2,1.3595080113966405,0.8224,72.52,0.957,0.719,0.9228,66.75,0.925,0.603
3,1.0700462137926436,0.6286,78.53,0.973,0.773,0.9031,68.02,0.94,0.634
4,0.8911079114910522,0.5251,80.79,0.98,0.797,0.7271,73.65,0.953,0.664
5,0.787014851753857,0.4398,84.89,0.985,0.847,0.5855,79.35,0.968,0.745
6,0.697856117320317,0.3751,86.81,0.989,0.862,0.6311,79.3,0.966,0.732
7,0.6303236270890868,0.3428,87.84,0.99,0.871,0.623,77.74,0.965,0.716
8,0.5792807128587504,0.3169,89.12,0.992,0.885,0.5584,80.36,0.975,0.766
9,0.5281170803158941,0.2945,89.81,0.993,0.893,0.5414,80.63,0.976,0.767
10,0.4962080826041519,0.2327,92.19,0.995,0.919,0.434,84.71,0.981,0.792
11,0.46804453704946786,0.2259,92.94,0.995,0.927,0.4472,83.61,0.981,0.8
12,0.45216306619426255,0.2176,92.51,0.996,0.923,0.3714,87.05,0.986,0.83
13,0.43192486817477854,0.2319,92.07,0.996,0.918,0.4743,83.06,0.983,0.786
14,0.425414661139143,0.1866,93.82,0.997,0.936,0.3132,88.96,0.989,0.85
15,0.4045666161670907,0.171,94.53,0.997,0.944,0.3149,89.17,0.99,0.857
16,0.4017214172362854,0.202,93.38,0.996,0.932,0.3807,87.08,0.987,0.835
17,0.3949202696215295,0.1882,93.83,0.997,0.937,0.4024,85.62,0.986,0.836
18,0.3779885017957311,0.1922,93.55,0.997,0.933,0.3635,87.32,0.989,0.832
19,0.37041395940020094,0.1708,94.49,0.997,0.943,0.3684,87.37,0.986,0.839
20,0.35336167843324734,0.1586,94.76,0.998,0.946,0.2804,90.57,0.991,0.87
21,0.3511176558218122,0.1529,95.16,0.998,0.95,0.2824,90.32,0.991,0.871
22,0.34489871131583355,0.1878,93.65,0.997,0.935,0.4595,83.85,0.981,0.795
23,0.34056047932328287,0.1441,95.31,0.998,0.952,0.3247,88.93,0.99,0.859
24,0.3344843336330947,0.1535,95.07,0.998,0.949,0.2734,90.35,0.992,0.87
25,0.32563712319699667,0.1474,95.38,0.998,0.953,0.4862,82.57,0.984,0.788
26,0.31695764615971556,0.1432,95.18,0.998,0.95,0.2884,89.8,0.993,0.867
27,0.3058425771025774,0.1274,95.88,0.998,0.958,0.2889,89.88,0.992,0.87
28,0.30692266137422625,0.1426,95.45,0.998,0.953,0.2585,91.17,0.993,0.881
29,0.2967991028581896,0.1372,95.57,0.998,0.954,0.3003,89.36,0.992,0.861
30,0.2914499647541499,0.1198,96.22,0.998,0.962,0.317,88.76,0.991,0.856
31,0.2830264399822895,0.1177,96.28,0.998,0.962,0.3684,86.85,0.989,0.841
32,0.2767382628120829,0.157,94.54,0.998,0.944,0.2996,89.83,0.99,0.862
33,0.2724256004377078,0.1157,96.37,0.999,0.963,0.3003,89.17,0.991,0.86
34,0.2632315980410704,0.107,96.6,0.999,0.965,0.2503,91.09,0.993,0.881
35,0.2574849528357333,0.1121,96.45,0.999,0.964,0.3628,86.69,0.99,0.833
36,0.2489531450774721,0.1046,96.69,0.999,0.966,0.2616,90.48,0.993,0.877
37,0.24765932493205567,0.1008,96.74,0.999,0.967,0.2917,89.91,0.992,0.867
38,0.24175015810249526,0.1012,96.81,0.999,0.967,0.3047,89.29,0.992,0.863
39,0.23620115050972576,0.1018,96.8,0.999,0.967,0.2598,91.44,0.993,0.887
40,0.2317361446584852,0.0951,97.04,0.999,0.97,0.2779,90.18,0.993,0.872
41,0.22351360875165163,0.092,97.01,0.999,0.97,0.3397,88.08,0.99,0.851
42,0.2217875824152996,0.0909,97.16,0.999,0.971,0.2705,90.27,0.993,0.872
43,0.2159772018190994,0.092,96.98,0.999,0.969,0.2822,90.12,0.992,0.873
44,0.20922337605961763,0.0921,97.13,0.999,0.971,0.2942,89.75,0.992,0.867
45,0.2074717352947881,0.0861,97.26,0.999,0.972,0.2561,90.79,0.993,0.88
46,0.20666919949073945,0.0862,97.28,0.999,0.972,0.2608,90.7,0.993,0.879
47,0.2045942796627894,0.0867,97.21,0.999,0.972,0.2659,90.56,0.993,0.876
48,0.20514840484466604,0.0856,97.29,0.999,0.972,0.2758,90.27,0.992,0.874
49,0.20374884428356282,0.0852,97.28,0.999,0.972,0.2707,90.51,0.993,0.877
