epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7281109799620926,1.1404,63.94,0.923,0.616,1.9226,25.12,0.769,0.254
1,1.8442421339746018,1.1038,60.73,0.915,0.553,1.2307,51.48,0.89,0.418
2,1.3830038913689207,0.7984,72.01,0.955,0.702,1.0101,62.89,0.92,0.574
3,1.1361011327594839,0.6836,74.46,0.968,0.718,0.9436,62.53,0.935,0.566
4,0.8919903456523854,0.5354,80.36,0.982,0.795,0.8675,68.66,0.945,0.564
5,0.7587273147584717,0.3819,87.07,0.99,0.869,0.6556,75.94,0.97,0.724
6,0.6540127513015569,0.298,90.16,0.992,0.898,0.5281,81.07,0.976,0.747
7,0.5839748394318379,0.2575,91.53,0.994,0.913,0.394,85.82,0.985,0.812
8,0.537236827889651,0.233,92.5,0.995,0.923,0.3899,86.44,0.985,0.832
9,0.49665190290165634,0.2268,92.55,0.995,0.921,0.4606,82.88,0.983,0.795
10,0.4635292657494118,0.2065,93.05,0.996,0.928,0.37,87.05,0.986,0.819
11,0.44265209170438913,0.1967,93.59,0.996,0.934,0.3812,86.63,0.984,0.836
12,0.4261159685083188,0.1877,93.56,0.997,0.933,0.3362,88.28,0.989,0.846
13,0.41196901327179325,0.1701,94.63,0.997,0.944,0.3289,87.86,0.991,0.842
14,0.4017344509455038,0.1744,94.32,0.997,0.942,0.276,90.9,0.992,0.874
15,0.3892882907476049,0.1643,94.55,0.998,0.945,0.2362,91.41,0.993,0.889
16,0.3852445109343443,0.1664,94.75,0.997,0.947,0.2899,89.23,0.991,0.869
17,0.37727860265201135,0.164,94.86,0.997,0.947,0.4049,85.38,0.985,0.821
18,0.36181261417152205,0.1687,94.31,0.998,0.941,0.2938,89.83,0.991,0.86
19,0.35672162200814933,0.1459,95.32,0.998,0.951,0.331,88.28,0.987,0.843
20,0.3481876967094278,0.138,95.59,0.998,0.954,0.2577,91.11,0.992,0.882
21,0.344366111929485,0.1374,95.52,0.998,0.954,0.2544,90.9,0.992,0.876
22,0.33334740197893536,0.1448,95.49,0.998,0.954,0.3644,87.02,0.987,0.835
23,0.32715776952577746,0.1237,95.94,0.998,0.958,0.3009,89.37,0.991,0.862
24,0.32165728605562643,0.1494,95.31,0.998,0.952,0.3708,87.13,0.988,0.841
25,0.3116296520423291,0.1337,95.61,0.998,0.955,0.3946,85.62,0.988,0.806
26,0.30814953909445836,0.1312,95.61,0.998,0.955,0.287,89.69,0.993,0.873
27,0.30115403355129305,0.1346,95.66,0.998,0.955,0.3413,87.9,0.988,0.846
28,0.29623237671497477,0.1263,95.82,0.998,0.957,0.3017,89.09,0.99,0.858
29,0.28994853239119267,0.1315,95.81,0.998,0.957,0.2918,89.55,0.992,0.872
30,0.2849959742985532,0.1085,96.61,0.999,0.965,0.2834,90.0,0.993,0.872
31,0.27854436545175465,0.116,96.47,0.999,0.964,0.3781,86.53,0.988,0.836
32,0.26689512559002443,0.1085,96.5,0.999,0.964,0.2885,89.83,0.991,0.864
33,0.2673297724469588,0.1024,96.7,0.999,0.966,0.3012,88.98,0.991,0.855
34,0.2608089427927703,0.1006,96.87,0.999,0.968,0.2739,90.42,0.993,0.882
35,0.25466739497144164,0.0972,96.8,0.999,0.967,0.2745,90.19,0.992,0.87
36,0.24714285992486504,0.0926,97.06,0.999,0.97,0.2545,90.81,0.994,0.877
37,0.24405423120518738,0.094,96.96,0.999,0.969,0.3106,89.06,0.991,0.858
38,0.23744244924262434,0.0931,96.95,0.999,0.969,0.3052,89.09,0.991,0.862
39,0.23362898799226917,0.0924,97.17,0.999,0.971,0.2561,90.67,0.993,0.878
40,0.22724088700655112,0.0899,97.19,0.999,0.971,0.281,90.53,0.992,0.876
41,0.22240184079254827,0.0855,97.41,0.999,0.974,0.2623,90.75,0.993,0.877
42,0.2208284970813541,0.0858,97.34,0.999,0.973,0.2657,90.98,0.993,0.879
43,0.21418791432534495,0.085,97.24,0.999,0.972,0.2918,89.77,0.991,0.864
44,0.210223240771174,0.0826,97.42,0.999,0.974,0.2751,90.13,0.992,0.871
45,0.2085168474357188,0.0792,97.54,0.999,0.975,0.2614,91.06,0.993,0.881
46,0.20630071203367897,0.0801,97.5,0.999,0.974,0.2713,90.37,0.993,0.874
47,0.20687488505222892,0.0801,97.53,0.999,0.975,0.2553,90.81,0.993,0.879
48,0.2058986872701662,0.0792,97.53,0.999,0.975,0.26,90.7,0.993,0.878
49,0.20595597024459567,0.0791,97.57,0.999,0.975,0.262,90.54,0.993,0.876
