epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9333320723639593,1.5816,42.59,0.803,0.354,1.3708,56.86,0.831,0.419
1,2.0761795932674065,1.8941,19.28,0.71,0.132,1.7829,42.46,0.785,0.274
2,1.7741124668428976,1.5492,43.82,0.819,0.408,1.3948,48.9,0.829,0.388
3,1.4228616722168461,1.021,60.67,0.937,0.568,0.8295,69.52,0.949,0.623
4,1.0540735285769227,0.7586,71.27,0.964,0.689,0.7901,71.09,0.948,0.652
5,0.8488433374939853,0.6294,76.85,0.976,0.758,0.5828,77.37,0.973,0.736
6,0.7418542111219044,0.4367,84.62,0.985,0.838,0.3813,86.31,0.986,0.821
7,0.6827749465208327,0.4101,85.54,0.987,0.851,0.3754,86.37,0.985,0.833
8,0.6302008476629052,0.3903,86.78,0.988,0.864,0.4295,83.77,0.984,0.806
9,0.6161803500092585,0.3684,87.64,0.99,0.875,0.4057,85.32,0.986,0.825
10,0.5870986784871761,0.3065,89.73,0.992,0.894,0.3225,88.73,0.989,0.854
11,0.5674287716334011,0.3191,88.7,0.992,0.881,0.3584,87.05,0.987,0.827
12,0.5505834382067445,0.3265,88.34,0.991,0.879,0.2811,90.45,0.992,0.875
13,0.5316111307631257,0.2969,89.55,0.993,0.891,0.3331,88.05,0.99,0.843
14,0.5248363266922667,0.3696,86.78,0.991,0.86,0.31,88.99,0.991,0.847
15,0.5090779199608765,0.2609,91.62,0.994,0.914,0.2778,89.94,0.99,0.87
16,0.5008991456800892,0.268,91.37,0.994,0.912,0.2567,90.76,0.992,0.878
17,0.487747854549825,0.2729,90.89,0.993,0.907,0.298,89.01,0.991,0.868
18,0.47286136063837236,0.2778,90.56,0.994,0.902,0.2732,90.45,0.992,0.88
19,0.47223546617667733,0.2335,92.57,0.995,0.924,0.2589,90.68,0.993,0.879
20,0.459814322090918,0.2283,92.5,0.995,0.923,0.2602,90.59,0.993,0.881
21,0.4532507882323316,0.2489,91.36,0.995,0.91,0.303,88.87,0.99,0.852
22,0.44467969722111167,0.2559,91.2,0.995,0.91,0.2988,88.88,0.992,0.865
23,0.4333940797008067,0.2187,92.92,0.996,0.928,0.2977,89.09,0.992,0.86
24,0.4256192428931113,0.2362,92.09,0.995,0.918,0.3172,88.08,0.992,0.855
25,0.4192536185665797,0.2464,91.55,0.995,0.914,0.3284,87.45,0.99,0.829
26,0.408742036470162,0.24,91.56,0.996,0.912,0.2803,89.48,0.993,0.869
27,0.40349659499942614,0.204,93.19,0.996,0.93,0.2616,90.75,0.993,0.887
28,0.399588518298655,0.2134,92.83,0.996,0.926,0.3389,88.19,0.992,0.854
29,0.3879574867880045,0.1819,94.15,0.997,0.94,0.2807,90.35,0.992,0.878
30,0.379127520627232,0.184,93.91,0.997,0.938,0.273,90.02,0.992,0.868
31,0.37230706746326125,0.2097,93.17,0.996,0.929,0.3202,88.93,0.99,0.87
32,0.36505971218736366,0.2197,92.78,0.996,0.926,0.328,87.72,0.988,0.842
33,0.35944395143819113,0.1719,94.43,0.997,0.943,0.2458,91.32,0.994,0.888
34,0.3524999443882255,0.1744,94.13,0.997,0.941,0.2765,90.37,0.993,0.88
35,0.34695961313008405,0.1752,94.3,0.997,0.942,0.2582,90.7,0.993,0.884
36,0.33771507706372966,0.1816,94.04,0.997,0.939,0.2697,90.49,0.992,0.88
37,0.3343996993369526,0.1696,94.35,0.997,0.942,0.2876,89.55,0.993,0.862
38,0.3237210632598956,0.1621,94.69,0.997,0.946,0.2898,89.75,0.992,0.87
39,0.31878440282357634,0.1517,94.99,0.998,0.949,0.2605,91.27,0.993,0.889
40,0.31480534566986945,0.1472,95.17,0.998,0.951,0.2467,91.5,0.993,0.891
41,0.30507241616753267,0.158,94.79,0.998,0.947,0.2989,88.85,0.992,0.859
42,0.29956663540133865,0.1504,95.12,0.998,0.95,0.2301,92.23,0.994,0.898
43,0.2944530004027924,0.1388,95.46,0.998,0.954,0.2531,91.38,0.993,0.887
44,0.2923866567004966,0.1388,95.5,0.998,0.954,0.2424,91.96,0.994,0.896
45,0.28621996322306253,0.1365,95.59,0.998,0.955,0.2428,91.63,0.994,0.891
46,0.2855056341350292,0.1356,95.62,0.998,0.956,0.23,92.28,0.994,0.898
47,0.2839919648076471,0.1352,95.61,0.998,0.955,0.227,92.22,0.994,0.898
48,0.27981952361522183,0.133,95.69,0.998,0.956,0.2383,91.92,0.994,0.895
49,0.2785107598750181,0.1336,95.67,0.998,0.956,0.2372,91.9,0.994,0.894
