epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.2780050245120371,1.0252,57.69,0.916,0.503,3.0588,13.72,0.638,0.067
1,1.142046897102603,0.7406,73.83,0.958,0.731,1.5587,50.99,0.838,0.452
2,0.6964410708533774,0.4391,83.23,0.987,0.832,1.5302,59.78,0.87,0.499
3,0.5036999962741523,0.3236,88.72,0.991,0.884,1.5045,60.43,0.893,0.522
4,0.39742742661091923,0.3111,89.4,0.992,0.895,1.9387,46.39,0.883,0.386
5,0.3783277982859303,0.2776,90.53,0.993,0.902,1.4204,58.12,0.888,0.52
6,0.41157861750760527,0.3078,89.15,0.993,0.889,1.5705,58.76,0.915,0.505
7,0.4302484204443239,0.3034,89.63,0.991,0.894,1.8145,44.86,0.889,0.414
8,0.4858838499878808,0.3297,88.47,0.989,0.883,1.4231,58.61,0.888,0.475
9,0.4861160964845753,0.2915,89.72,0.992,0.894,1.6555,51.49,0.871,0.443
10,0.49788970827198714,0.5077,81.9,0.984,0.815,3.3419,28.94,0.83,0.241
11,0.5578470200085811,1.0723,63.77,0.934,0.576,2.1973,44.48,0.805,0.354
12,0.8501239667693488,0.3698,86.73,0.988,0.863,2.7449,35.04,0.824,0.272
13,0.5450463440778445,0.3661,87.17,0.987,0.869,1.6502,54.67,0.865,0.463
14,0.4971405130496128,0.3557,87.5,0.988,0.872,1.4024,60.38,0.878,0.512
15,0.46216963392367466,0.2965,89.57,0.993,0.893,2.0708,51.41,0.866,0.431
16,0.5876781747495528,0.4569,83.97,0.983,0.837,2.749,37.15,0.804,0.271
17,0.6250776965841115,0.4267,85.82,0.986,0.858,1.5406,49.03,0.854,0.453
18,0.6863727164354255,0.3901,86.75,0.987,0.865,1.6724,47.61,0.835,0.413
19,0.514150999432845,0.4268,86.33,0.986,0.86,1.8406,48.32,0.822,0.386
20,0.591631888485641,0.3416,88.05,0.989,0.877,1.3646,61.52,0.883,0.516
21,0.48891528218770197,0.309,88.58,0.991,0.882,1.5039,53.88,0.879,0.449
22,0.49648544664005584,0.2884,89.77,0.992,0.895,1.9599,48.08,0.846,0.396
23,0.5484658104481457,0.7536,72.75,0.96,0.696,1.8601,42.44,0.757,0.348
24,0.5767877657207654,0.3125,89.15,0.99,0.889,1.4429,60.84,0.907,0.506
25,0.3958259636549641,0.2604,90.75,0.994,0.905,1.7031,55.46,0.888,0.458
26,0.39568190608950826,0.2524,91.32,0.994,0.912,1.6346,55.49,0.897,0.481
27,0.3981182609530662,0.2685,90.52,0.993,0.904,1.1341,60.84,0.913,0.547
28,0.44495096716949406,0.2915,89.62,0.992,0.893,1.6904,51.1,0.872,0.396
29,0.402653247975617,0.2788,90.11,0.993,0.897,1.3936,59.34,0.889,0.477
30,0.3598579125438663,0.2212,92.48,0.995,0.925,1.8873,52.03,0.882,0.443
31,0.3206626984069673,0.2132,92.84,0.995,0.927,1.4895,58.6,0.897,0.495
32,0.31893010008678163,0.2129,92.69,0.995,0.925,2.1869,41.28,0.856,0.358
33,0.29413900551178473,0.179,93.91,0.997,0.938,1.2526,63.15,0.902,0.557
34,0.27613368426724305,0.1712,94.14,0.997,0.941,1.3969,57.68,0.921,0.476
35,0.24258790470713334,0.1615,94.69,0.997,0.946,1.5596,57.93,0.908,0.483
36,0.24498258616855675,0.1502,94.94,0.998,0.949,1.5236,59.17,0.896,0.511
37,0.23489998677651658,0.1677,94.34,0.997,0.942,1.8864,54.29,0.865,0.466
38,0.22080177754806957,0.1449,95.02,0.998,0.95,1.6228,58.88,0.894,0.503
39,0.2161313348965679,0.1344,95.38,0.998,0.953,1.4265,61.23,0.895,0.526
40,0.20728973304625037,0.1344,95.43,0.998,0.954,1.7046,56.66,0.88,0.485
41,0.20088193281520184,0.1332,95.5,0.998,0.954,1.6123,59.15,0.883,0.508
42,0.19688947348714733,0.1281,95.76,0.998,0.957,1.8662,54.54,0.874,0.466
43,0.18760420333781688,0.1251,95.91,0.998,0.959,1.7841,55.01,0.884,0.477
44,0.18369800356223429,0.1208,95.99,0.998,0.959,1.4664,61.76,0.897,0.554
45,0.18120141107615806,0.1246,95.85,0.998,0.958,1.8567,55.06,0.876,0.476
46,0.173778212810163,0.117,96.14,0.998,0.961,1.8387,55.68,0.88,0.475
47,0.17092686623549289,0.116,96.13,0.998,0.961,1.7639,56.58,0.883,0.486
48,0.17224815402099555,0.1144,96.2,0.998,0.962,1.7747,56.36,0.885,0.485
49,0.16953486300629678,0.1145,96.21,0.998,0.962,1.7561,56.5,0.885,0.487
