epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.5393567428314427,1.2562,47.48,0.861,0.425,1.8136,26.94,0.803,0.197
1,1.436731563197623,0.9243,65.74,0.942,0.635,1.2029,53.17,0.905,0.478
2,1.0087623128788077,0.5386,79.87,0.977,0.8,0.6968,73.22,0.96,0.679
3,0.7667344375479993,0.4793,83.58,0.981,0.832,0.7655,71.12,0.955,0.65
4,0.6074237182414789,0.4145,85.29,0.985,0.85,0.7605,72.16,0.961,0.672
5,0.5983337781412138,0.4162,85.45,0.985,0.853,0.7072,72.86,0.966,0.684
6,0.6272566101962714,0.543,79.0,0.981,0.779,1.3326,57.87,0.948,0.555
7,0.6356355616514632,0.4013,86.36,0.985,0.861,0.6289,78.23,0.968,0.718
8,0.7160661662225243,0.4426,84.91,0.984,0.847,0.6385,75.76,0.96,0.696
9,0.8054658127345627,0.4892,82.47,0.981,0.818,0.6152,77.34,0.965,0.724
10,0.7235806833068243,0.5088,81.53,0.979,0.817,0.7723,69.7,0.95,0.641
11,0.7679979175114803,0.5141,81.78,0.977,0.812,0.8675,68.26,0.947,0.641
12,0.7680287849988868,0.5124,81.98,0.978,0.82,1.0356,63.03,0.943,0.599
13,0.7670413414351374,0.6708,75.9,0.965,0.75,1.0003,66.15,0.953,0.566
14,0.9080047045680258,0.566,79.9,0.975,0.794,1.2358,52.53,0.933,0.521
15,0.753805008294771,0.4413,84.38,0.982,0.843,0.7619,71.94,0.959,0.656
16,0.8480045405223215,0.5088,82.19,0.979,0.82,0.7353,72.38,0.955,0.682
17,0.7178840422801834,0.437,85.21,0.984,0.85,0.7021,73.69,0.96,0.69
18,0.7499567424650673,0.4219,84.89,0.984,0.847,0.6869,74.39,0.96,0.692
19,0.695706757281324,0.406,85.59,0.985,0.854,0.7445,73.49,0.961,0.677
20,0.7282681349370119,0.4921,82.22,0.981,0.819,0.9658,64.79,0.954,0.609
21,0.6412826287660668,0.4917,82.47,0.981,0.817,0.7823,71.07,0.955,0.66
22,0.9541020925096471,0.4084,85.42,0.985,0.851,0.771,72.7,0.961,0.666
23,0.6304446107192005,0.3666,87.36,0.988,0.871,0.6512,76.58,0.965,0.709
24,0.6809129612051326,0.3873,86.74,0.987,0.867,0.583,76.14,0.968,0.714
25,0.6224309724869488,0.4109,85.36,0.986,0.849,0.6807,74.5,0.964,0.7
26,0.6018947549432302,0.3828,86.32,0.986,0.861,0.5797,78.49,0.974,0.728
27,0.6314100687452358,0.426,85.13,0.984,0.849,0.6974,74.5,0.959,0.694
28,0.5422441174658083,0.3327,88.46,0.99,0.884,0.8222,70.84,0.96,0.66
29,0.4767816113911087,0.3156,88.94,0.991,0.886,0.5878,79.98,0.972,0.725
30,0.4707483670694365,0.3202,88.68,0.99,0.885,0.7291,74.81,0.966,0.693
31,0.5150312185287476,0.3544,87.41,0.989,0.872,0.8275,70.61,0.951,0.662
32,0.47120699565187635,0.309,88.85,0.991,0.886,0.7989,72.73,0.961,0.675
33,0.4177763339855688,0.2718,90.47,0.993,0.904,0.6718,76.79,0.971,0.726
34,0.3949050510958802,0.2553,91.05,0.994,0.909,0.886,70.72,0.963,0.648
35,0.37390893054523056,0.2308,92.16,0.994,0.921,0.5926,80.59,0.976,0.74
36,0.3690471288969191,0.2382,92.06,0.994,0.92,0.6428,79.46,0.973,0.732
37,0.3605488049898216,0.22,92.6,0.995,0.925,0.6211,80.58,0.973,0.735
38,0.3535630632218697,0.2126,92.83,0.995,0.928,0.7835,74.66,0.968,0.696
39,0.3263739255263651,0.2086,92.94,0.996,0.929,0.6545,78.83,0.973,0.731
40,0.31634530242827297,0.1944,93.47,0.996,0.934,0.7475,77.33,0.968,0.718
41,0.3060032082118576,0.1881,93.68,0.996,0.936,0.8178,73.71,0.97,0.698
42,0.29420225032799535,0.1821,94.15,0.996,0.941,0.7238,77.4,0.972,0.717
43,0.28534713398209577,0.1792,93.99,0.996,0.939,0.7183,77.31,0.972,0.719
44,0.27898500806136095,0.1793,93.98,0.997,0.939,0.6709,78.29,0.973,0.73
45,0.2721567075672767,0.1752,94.13,0.997,0.941,0.6554,78.81,0.974,0.735
46,0.2699301832442661,0.172,94.25,0.997,0.942,0.6593,79.11,0.973,0.736
47,0.2670510507744851,0.1716,94.23,0.997,0.942,0.6786,78.48,0.973,0.733
48,0.2642157068141073,0.1703,94.2,0.997,0.941,0.6616,79.06,0.973,0.736
49,0.26373878593067474,0.1713,94.16,0.997,0.941,0.6597,79.28,0.973,0.738
