epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.5961014100973554,1.3428,42.81,0.856,0.366,2.2779,11.02,0.785,0.05
1,1.5331525656816771,0.9196,64.39,0.934,0.624,1.2311,54.48,0.887,0.481
2,0.9966750903952893,0.8596,65.47,0.958,0.663,1.2823,47.64,0.922,0.445
3,0.848829022843203,0.5178,80.79,0.977,0.801,0.7001,75.81,0.966,0.677
4,0.6836291984688464,0.5242,80.64,0.979,0.799,0.9581,62.86,0.95,0.561
5,0.667350881391292,0.4562,83.34,0.982,0.83,0.718,74.8,0.966,0.68
6,0.702755228649798,0.5397,78.98,0.975,0.775,0.8583,69.0,0.944,0.606
7,0.7886662277386343,0.4795,82.81,0.98,0.825,0.7624,72.59,0.964,0.627
8,0.7763690982791159,0.6785,74.67,0.966,0.734,0.9955,65.15,0.942,0.618
9,0.9009565843952646,0.6817,75.24,0.96,0.751,1.0771,62.77,0.914,0.585
10,0.8833166528091156,0.6609,74.78,0.967,0.747,0.7865,70.09,0.95,0.646
11,0.8436791356518972,0.6046,76.65,0.973,0.752,0.9073,66.57,0.953,0.601
12,0.9630263846555203,0.7361,71.2,0.958,0.686,1.1858,49.69,0.921,0.449
13,0.9949220684792498,0.8154,68.44,0.958,0.654,1.1543,63.3,0.933,0.542
14,1.17536226322325,0.9279,67.35,0.94,0.655,1.5643,47.94,0.888,0.38
15,1.6966132182869123,1.4379,42.76,0.826,0.394,1.7539,33.6,0.785,0.274
16,1.4476336352259136,1.3415,44.3,0.864,0.394,1.2819,49.03,0.88,0.384
17,1.4394404433614059,1.51,44.15,0.796,0.414,1.5011,48.44,0.803,0.347
18,1.5051145613622323,1.4396,44.01,0.827,0.365,1.4147,49.74,0.841,0.414
19,1.4788889730576988,1.0682,57.36,0.904,0.565,1.3486,49.42,0.872,0.429
20,1.3281018313744086,1.1722,53.16,0.887,0.503,1.2925,51.32,0.876,0.448
21,1.3561784526427014,1.0829,58.84,0.902,0.586,1.3088,55.5,0.876,0.517
22,1.2129513265417635,1.0084,61.91,0.923,0.614,1.3319,56.7,0.899,0.534
23,1.1040696180124077,0.8741,68.38,0.939,0.684,1.4373,50.73,0.901,0.424
24,1.0691376654364222,0.7794,70.95,0.952,0.704,1.3113,53.56,0.902,0.486
25,1.069737130789448,0.8226,69.96,0.944,0.695,1.1098,61.22,0.911,0.553
26,1.0579092078071703,0.7617,73.15,0.953,0.731,1.1269,59.67,0.913,0.537
27,1.0509887998052638,0.7447,73.5,0.956,0.731,1.0968,62.48,0.912,0.58
28,0.9682061985242281,0.7145,74.23,0.959,0.738,1.2837,56.53,0.905,0.515
29,0.9110642011217076,0.6462,76.21,0.966,0.76,0.9174,69.15,0.936,0.644
30,0.8616853043329802,0.6068,78.36,0.969,0.782,0.9333,66.81,0.933,0.62
31,0.854398530164211,0.6291,76.72,0.966,0.765,1.1881,60.89,0.91,0.567
32,0.821004140720093,0.5485,80.0,0.974,0.798,0.9456,67.05,0.932,0.635
33,0.7815139049248729,0.6221,77.22,0.968,0.769,1.0934,63.1,0.922,0.587
34,0.7520577470175653,0.52,81.42,0.976,0.814,0.9194,68.07,0.937,0.636
35,0.7269103994472421,0.4945,81.99,0.979,0.817,0.9353,68.86,0.937,0.637
36,0.6980210980065435,0.4979,82.12,0.979,0.818,0.913,67.8,0.939,0.631
37,0.6719230593537255,0.4795,82.78,0.98,0.825,0.9311,67.41,0.936,0.636
38,0.6472010157948775,0.4423,84.03,0.982,0.839,0.9265,66.78,0.94,0.63
39,0.6341329028280519,0.4299,84.75,0.984,0.845,0.8369,70.24,0.947,0.658
40,0.6179327544548529,0.4395,83.93,0.983,0.837,0.943,67.3,0.943,0.623
41,0.6086623456409509,0.4271,84.45,0.983,0.843,0.9926,64.93,0.93,0.625
42,0.594810622201549,0.4204,85.14,0.984,0.85,0.9483,68.02,0.936,0.65
43,0.5822496114017295,0.4013,85.59,0.985,0.854,0.9044,68.28,0.939,0.65
44,0.5793798836015112,0.4034,85.71,0.985,0.856,0.9334,67.95,0.937,0.65
45,0.5684064118553409,0.3956,86.07,0.986,0.86,0.9218,67.88,0.939,0.648
46,0.5613076187295022,0.3902,86.23,0.986,0.861,0.9152,69.04,0.94,0.657
47,0.5584704610083601,0.387,86.48,0.986,0.864,0.9182,68.5,0.94,0.65
48,0.5587403958649944,0.3897,86.34,0.986,0.863,0.912,68.48,0.94,0.652
49,0.5559120872895494,0.3879,86.31,0.986,0.862,0.9185,68.28,0.94,0.651
