epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.005141065275069,1.759,31.46,0.777,0.177,1.8841,30.43,0.733,0.171
1,1.9879106163120956,1.5652,41.81,0.808,0.326,1.7208,43.08,0.752,0.294
2,1.5495229144748166,1.4204,44.1,0.851,0.397,1.5602,47.5,0.821,0.373
3,1.4329626105672164,1.2502,53.87,0.889,0.514,1.5025,46.31,0.85,0.435
4,1.301463606546251,1.0738,60.04,0.916,0.571,1.1791,57.62,0.897,0.512
5,1.2951135618223562,1.0952,60.15,0.914,0.599,1.1807,55.33,0.904,0.51
6,1.3998885171876536,1.3492,48.54,0.87,0.469,1.4025,51.19,0.859,0.422
7,1.5779801487065048,1.5535,36.64,0.794,0.311,1.7929,33.32,0.736,0.251
8,1.6973340631388931,1.8885,30.86,0.739,0.241,2.1445,25.77,0.703,0.178
9,1.8603448155972597,1.7975,31.77,0.706,0.215,2.0758,24.87,0.622,0.148
10,1.9547149080166715,1.8149,33.03,0.706,0.239,1.9237,22.37,0.686,0.143
11,1.9430246078710762,1.8288,29.77,0.705,0.18,2.002,24.14,0.722,0.167
12,1.9651447268698712,1.7789,29.79,0.708,0.196,1.8673,29.35,0.714,0.228
13,1.9850130295581956,2.0807,11.65,0.68,0.027,2.0547,21.13,0.625,0.044
14,1.9628313188072588,1.8217,26.83,0.725,0.155,1.9193,20.32,0.721,0.114
15,1.9908953647819354,1.8572,27.26,0.691,0.185,2.0082,20.15,0.637,0.107
16,1.9774831730684788,1.8964,23.44,0.657,0.154,2.1616,15.96,0.584,0.066
17,2.0425890160979128,2.0814,16.01,0.563,0.034,2.0618,19.47,0.521,0.041
18,2.08864176359108,2.0706,16.01,0.534,0.034,2.1102,19.47,0.545,0.041
19,2.079652662757489,2.0763,15.14,0.576,0.033,2.0949,9.35,0.61,0.021
20,2.0759682415200653,2.0749,16.01,0.559,0.034,2.1313,19.47,0.542,0.041
21,2.075292216788093,2.0734,16.01,0.564,0.034,2.097,19.47,0.539,0.041
22,2.0721104436641116,2.0699,16.01,0.495,0.034,2.1054,19.47,0.434,0.041
23,2.073066834923175,2.0694,16.01,0.614,0.034,2.1087,19.47,0.613,0.041
24,2.0715284690582494,2.0672,15.14,0.508,0.033,2.0997,9.35,0.5,0.021
25,2.070618595150735,2.0704,16.01,0.524,0.034,2.1238,19.47,0.529,0.041
26,2.0706108697026755,2.0688,15.14,0.483,0.033,2.0901,9.35,0.437,0.021
27,2.0697359455575186,2.0742,15.14,0.536,0.033,2.1487,9.35,0.541,0.021
28,2.0700218008576536,2.0671,16.01,0.519,0.034,2.0778,19.47,0.531,0.041
29,2.068738827602469,2.0721,16.01,0.503,0.034,2.1279,19.47,0.507,0.041
30,2.069432073359867,2.0665,15.14,0.516,0.033,2.1005,9.35,0.484,0.021
31,2.068239129704537,2.0683,15.14,0.546,0.033,2.1155,9.35,0.553,0.021
32,2.0677554864677594,2.0673,15.14,0.668,0.033,2.089,9.35,0.62,0.021
33,2.0675488616065154,2.0669,15.14,0.553,0.033,2.1134,9.35,0.548,0.021
34,2.067956800941083,2.067,16.01,0.651,0.034,2.1008,19.47,0.631,0.041
35,2.067320967749726,2.0675,16.01,0.565,0.034,2.0838,19.47,0.573,0.041
36,2.0667454424521905,2.067,15.14,0.577,0.033,2.0884,9.35,0.571,0.021
37,2.0669141124478347,2.0661,16.01,0.55,0.034,2.0945,19.47,0.525,0.041
38,2.066583523647391,2.0664,15.14,0.581,0.033,2.093,9.35,0.554,0.021
39,2.06640871994787,2.0665,15.14,0.56,0.033,2.0934,9.35,0.522,0.021
40,2.0664804307676907,2.0659,16.01,0.58,0.034,2.0969,19.47,0.562,0.041
41,2.0662503825674814,2.0657,16.01,0.573,0.034,2.0934,19.47,0.593,0.041
42,2.0660191131152694,2.066,16.01,0.48,0.034,2.0971,19.47,0.449,0.041
43,2.0660621725398003,2.0657,16.01,0.529,0.034,2.0935,19.47,0.475,0.041
44,2.0658812076925375,2.0659,16.01,0.626,0.034,2.0931,19.47,0.576,0.041
45,nan,2.0657,16.01,0.628,0.034,2.0917,19.47,0.605,0.041
46,nan,2.0657,16.01,0.628,0.034,2.0917,19.47,0.605,0.041
