epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.5581334476829858,1.1436,56.85,0.898,0.51,1.2527,55.69,0.853,0.452
1,1.849924751934612,1.0394,61.43,0.921,0.558,1.5216,42.14,0.849,0.333
2,1.1751910899916003,0.6696,76.61,0.967,0.752,0.8769,68.09,0.946,0.605
3,0.9261734690717471,0.5277,81.55,0.979,0.813,0.6721,74.97,0.964,0.697
4,0.7111345788056705,0.4537,84.22,0.984,0.836,0.7582,74.48,0.965,0.649
5,0.5951284554696852,0.4019,84.95,0.989,0.843,0.7077,72.41,0.97,0.677
6,0.5084123163881268,0.295,89.63,0.993,0.893,0.5324,79.74,0.979,0.742
7,0.45461614261711797,0.3265,88.81,0.991,0.885,0.7564,74.66,0.967,0.699
8,0.41041396868058005,0.2395,92.02,0.995,0.918,0.4684,83.61,0.984,0.791
9,0.37943382884332355,0.2363,92.02,0.995,0.917,0.6749,77.53,0.973,0.72
10,0.35297115534330353,0.2511,91.4,0.995,0.91,0.6364,79.76,0.973,0.755
11,0.3311779476622099,0.187,93.87,0.996,0.938,0.3517,88.44,0.988,0.84
12,0.32240705955840354,0.1835,94.11,0.996,0.939,0.4428,85.33,0.985,0.821
13,0.3028016174779571,0.1766,94.07,0.997,0.94,0.3237,89.31,0.988,0.852
14,0.2915254631563754,0.2063,93.13,0.996,0.931,0.4751,83.7,0.982,0.799
15,0.28189205893692576,0.2213,92.35,0.995,0.922,0.758,77.1,0.974,0.731
16,0.2712138967328174,0.1553,94.81,0.998,0.947,0.4933,84.97,0.984,0.823
17,0.2592878284794028,0.2003,93.21,0.997,0.931,0.5683,81.79,0.98,0.792
18,0.2558024028937022,0.141,95.46,0.998,0.954,0.4031,87.51,0.989,0.819
19,0.23577344058395286,0.1713,94.47,0.998,0.944,0.4897,85.09,0.987,0.814
20,0.23206730990747398,0.1637,94.59,0.998,0.946,0.6983,78.97,0.977,0.72
21,0.23074946748793765,0.1314,95.79,0.998,0.957,0.4695,84.95,0.984,0.816
22,0.22178537729713652,0.1285,95.77,0.998,0.957,0.35,88.63,0.99,0.847
23,0.21643334506980835,0.1524,95.03,0.998,0.95,0.3264,89.23,0.988,0.855
24,0.20759889791889857,0.1224,95.99,0.998,0.959,0.3113,89.99,0.99,0.864
25,0.19457198933808392,0.1187,96.16,0.998,0.961,0.3484,89.12,0.988,0.862
26,0.19479642108109477,0.1158,96.33,0.999,0.963,0.3642,88.98,0.986,0.853
27,0.19134142089595077,0.0972,96.94,0.999,0.969,0.3588,88.69,0.989,0.845
28,0.18434863051526434,0.117,96.24,0.999,0.961,0.4015,87.92,0.987,0.832
29,0.17469303578298578,0.106,96.69,0.999,0.966,0.5877,84.07,0.978,0.791
30,0.1714879993723178,0.1155,96.34,0.999,0.963,0.4487,88.95,0.985,0.853
31,0.16722336860113246,0.1,96.81,0.999,0.968,0.4917,84.56,0.986,0.808
32,0.15742394468316467,0.09,97.13,0.999,0.971,0.3373,89.67,0.991,0.856
33,0.15326191625794844,0.1005,96.72,0.999,0.967,0.4287,87.0,0.984,0.829
34,0.14808264950216884,0.0869,97.26,0.999,0.972,0.4141,87.72,0.988,0.833
35,0.141684966111776,0.0858,97.15,0.999,0.971,0.3983,89.09,0.988,0.847
36,0.13663685097489306,0.0834,97.25,0.999,0.972,0.4556,86.29,0.986,0.827
37,0.1322330306668008,0.0802,97.37,0.999,0.973,0.4144,88.02,0.987,0.838
38,0.12523090089654623,0.0769,97.49,0.999,0.974,0.3478,90.24,0.988,0.863
39,0.1196115127394116,0.0751,97.58,0.999,0.975,0.3598,89.25,0.989,0.855
40,0.1155405606253333,0.0802,97.34,0.999,0.973,0.482,86.74,0.983,0.823
41,0.11190591034843289,0.0761,97.6,0.999,0.976,0.2999,91.43,0.99,0.885
42,0.10954616468159421,0.0713,97.64,0.999,0.976,0.4004,90.04,0.986,0.86
43,0.10627788053591833,0.0707,97.77,0.999,0.977,0.3041,91.77,0.99,0.886
44,0.10224098603050875,0.0689,97.75,0.999,0.977,0.3635,89.63,0.988,0.856
45,0.09991511470708316,0.0661,97.83,0.999,0.978,0.377,89.89,0.986,0.857
46,0.09947145450526454,0.0653,97.91,0.999,0.979,0.4036,89.09,0.987,0.847
47,0.09468449609467633,0.0647,97.94,0.999,0.979,0.3989,89.7,0.986,0.855
48,0.09278771830188598,0.0638,97.95,0.999,0.979,0.4155,88.92,0.986,0.845
49,0.09304252670456965,0.0637,97.95,0.999,0.979,0.4078,88.88,0.986,0.845
