epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.4143681629098577,1.162,52.29,0.896,0.468,2.3382,16.85,0.758,0.106
1,1.3245353561511142,0.6741,74.16,0.965,0.728,1.0061,67.52,0.916,0.605
2,0.7563894286001329,0.4222,85.28,0.986,0.855,0.9836,65.06,0.944,0.61
3,0.5751843932721254,0.3965,84.9,0.987,0.846,1.0223,65.81,0.942,0.585
4,0.5102241043564227,0.3069,89.68,0.991,0.895,0.8166,72.81,0.951,0.642
5,0.5035635395873365,0.3926,85.71,0.988,0.855,1.1483,62.62,0.929,0.556
6,0.4988516880025109,0.3103,89.54,0.991,0.894,0.7773,72.26,0.964,0.671
7,0.49443597437666476,0.3667,86.99,0.989,0.867,1.586,44.45,0.923,0.44
8,0.492759961661675,0.2954,89.81,0.992,0.897,0.8114,73.19,0.95,0.657
9,0.526512766484734,0.4002,85.85,0.987,0.855,1.0453,66.45,0.933,0.6
10,0.5590869093970429,0.3188,89.16,0.99,0.891,0.6238,78.02,0.954,0.712
11,0.5634266800588841,0.3359,88.41,0.99,0.88,0.9435,67.5,0.925,0.622
12,0.5694211828622887,0.3689,87.63,0.987,0.875,1.1862,62.04,0.923,0.576
13,0.5789272980295497,0.3841,86.71,0.987,0.865,0.9687,68.14,0.948,0.609
14,0.6107856907861696,0.5441,80.37,0.979,0.806,1.6059,46.01,0.941,0.415
15,0.5979783625053845,0.3672,87.29,0.988,0.869,0.8609,71.31,0.96,0.642
16,0.6202022379679646,0.4285,84.52,0.986,0.84,0.9047,68.5,0.946,0.611
17,0.5483741335731616,0.4431,84.36,0.986,0.839,1.3363,54.24,0.941,0.512
18,0.7204980245597071,0.5608,80.29,0.974,0.789,1.0314,63.56,0.921,0.572
19,1.0749049045199113,1.1594,57.03,0.893,0.538,1.5814,39.32,0.822,0.333
20,1.1710392918518122,0.9077,64.82,0.933,0.634,1.2756,49.93,0.891,0.433
21,0.8982444718587312,0.5888,79.07,0.971,0.782,1.2826,56.06,0.906,0.525
22,0.7835186749911137,0.6189,77.28,0.966,0.767,0.9124,67.46,0.937,0.587
23,0.6731700314034661,0.3614,87.34,0.989,0.87,0.8452,73.12,0.952,0.661
24,0.5334663989303781,0.4191,85.1,0.985,0.845,1.5564,55.74,0.923,0.489
25,0.5082036608414684,0.2879,89.94,0.992,0.898,0.9044,69.3,0.953,0.615
26,0.4548209234536123,0.281,90.42,0.992,0.903,0.7319,74.47,0.976,0.673
27,0.42737347402160974,0.3197,88.78,0.99,0.884,0.7943,70.79,0.959,0.647
28,0.5053627836189681,0.2885,89.97,0.992,0.898,0.8363,73.03,0.967,0.676
29,0.4252451403106717,0.2422,91.62,0.994,0.915,0.7727,75.15,0.972,0.692
30,0.4017112092148486,0.2433,91.81,0.994,0.917,0.8342,72.07,0.961,0.652
31,0.370161904491109,0.2379,92.09,0.994,0.92,0.8386,72.92,0.964,0.674
32,0.3440147173061645,0.2121,92.74,0.995,0.926,0.7148,78.15,0.963,0.709
33,0.34374931154491234,0.2137,92.74,0.995,0.926,0.8567,73.47,0.963,0.68
34,0.343761032862629,0.2122,92.81,0.996,0.926,0.7632,76.61,0.971,0.705
35,0.2976773537749009,0.1887,93.83,0.996,0.938,0.9584,71.04,0.961,0.653
36,0.29302513063382757,0.18,93.96,0.996,0.939,1.0832,67.84,0.965,0.646
37,0.2735262692189045,0.1661,94.49,0.997,0.944,0.7689,79.0,0.971,0.727
38,0.26193780296569247,0.1733,94.18,0.997,0.941,0.8165,77.85,0.968,0.714
39,0.25034445792222193,0.1681,94.39,0.997,0.943,0.8888,76.35,0.97,0.709
40,0.2384538815604697,0.1557,94.8,0.997,0.947,0.9182,75.6,0.963,0.697
41,0.22872817988018337,0.1506,95.05,0.997,0.95,0.9167,73.42,0.967,0.683
42,0.2238322320601923,0.156,94.69,0.997,0.946,0.9412,74.1,0.964,0.684
43,0.2181776963549552,0.1471,94.99,0.998,0.949,0.96,75.18,0.966,0.694
44,0.21358666542193872,0.1422,95.31,0.998,0.952,0.8869,76.54,0.971,0.711
45,0.20759670275578396,0.1416,95.27,0.998,0.952,0.9443,74.4,0.969,0.697
46,0.20417018910106138,0.1365,95.43,0.998,0.954,0.9123,76.03,0.971,0.709
47,0.20242077766133726,0.1379,95.49,0.998,0.954,0.9182,76.17,0.97,0.71
48,0.19922626597418203,0.1372,95.43,0.998,0.954,0.9308,76.22,0.97,0.71
49,0.20086887564590508,0.1372,95.43,0.998,0.954,0.9406,75.76,0.97,0.707
