epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9758503689133566,1.6468,34.95,0.758,0.239,1.5777,43.87,0.781,0.294
1,2.2151914997340105,2.0195,22.3,0.564,0.117,2.0416,20.24,0.536,0.108
2,2.0086220895944957,1.8557,27.43,0.688,0.213,1.8154,40.23,0.701,0.291
3,2.02097596404373,1.9844,24.47,0.606,0.124,2.2125,17.67,0.55,0.103
4,2.0381818808962366,1.8964,25.16,0.679,0.136,1.9853,18.43,0.655,0.1
5,2.0440351014496176,1.8936,31.19,0.693,0.191,1.933,30.6,0.684,0.163
6,2.0331562821583082,1.895,32.86,0.66,0.213,2.0862,21.0,0.478,0.071
7,2.0480262011182777,1.8801,28.27,0.669,0.211,2.085,19.31,0.514,0.08
8,2.0445708852515,1.8837,23.7,0.658,0.114,2.0942,20.43,0.546,0.088
9,2.0130723112372944,1.8236,30.79,0.692,0.221,2.0106,18.35,0.611,0.139
10,2.0159986215680306,1.842,26.0,0.693,0.157,1.8479,32.97,0.662,0.188
11,1.9610990161964115,1.9486,22.7,0.657,0.16,1.8236,30.84,0.659,0.184
12,1.9497353517881004,1.869,23.87,0.682,0.187,1.8147,29.07,0.648,0.212
13,1.947887820582236,1.8814,30.8,0.697,0.205,1.7191,34.94,0.706,0.211
14,1.9114036780104415,1.9161,19.09,0.661,0.138,1.8697,22.79,0.672,0.175
15,1.8751466729307686,1.8485,24.92,0.692,0.213,1.8549,24.33,0.683,0.196
16,1.7762935868728118,1.6382,33.84,0.767,0.291,1.5505,38.72,0.739,0.282
17,1.6872067957796075,1.5065,39.1,0.798,0.31,1.441,44.97,0.805,0.272
18,1.6326912060433392,1.6023,34.2,0.776,0.298,1.5631,38.91,0.758,0.274
19,1.5902304232761424,1.543,41.05,0.787,0.401,1.5593,40.75,0.751,0.311
20,1.567104154803847,1.5309,39.48,0.792,0.344,1.5112,45.29,0.777,0.337
21,1.5490673462122573,1.5457,39.99,0.792,0.376,1.5056,45.82,0.789,0.345
22,1.5234108635601604,1.4052,46.06,0.829,0.443,1.4589,45.78,0.805,0.349
23,1.500042270161345,1.2834,51.75,0.863,0.502,1.2917,51.76,0.847,0.437
24,1.4639664726018051,1.3317,50.51,0.85,0.473,1.2886,51.03,0.862,0.44
25,1.4328784974672462,1.3024,51.37,0.873,0.49,1.2264,50.99,0.865,0.43
26,1.3944972828297633,1.2103,54.61,0.88,0.519,1.1668,53.01,0.872,0.462
27,1.3474590799714503,1.1311,56.67,0.902,0.53,1.1364,57.89,0.878,0.512
28,1.3194154938916578,1.0984,58.43,0.906,0.546,1.1162,57.97,0.888,0.498
29,1.2785895124985753,1.1242,57.83,0.902,0.564,1.2274,55.5,0.876,0.501
30,1.2362301269526124,1.1321,58.46,0.9,0.577,1.1633,56.94,0.881,0.503
31,1.218803777489611,1.0444,61.12,0.915,0.599,1.14,57.4,0.895,0.519
32,1.1886966128075849,0.998,62.14,0.924,0.608,1.0997,57.56,0.902,0.518
33,1.1752611264105766,0.9244,65.1,0.934,0.642,1.0236,61.96,0.915,0.575
34,1.1586223781963403,0.9691,63.32,0.93,0.622,0.9775,62.45,0.917,0.583
35,1.1342367745642166,0.9335,65.24,0.934,0.643,0.9877,61.52,0.913,0.565
36,1.1188876015738347,0.8989,66.17,0.936,0.655,0.9827,62.29,0.915,0.576
37,1.1138089025746964,0.914,65.9,0.937,0.65,0.9805,62.59,0.922,0.578
38,1.0935818359629654,0.8755,66.68,0.942,0.658,0.9331,64.28,0.928,0.601
39,1.0822263200864142,0.8658,67.75,0.941,0.67,0.9811,64.17,0.916,0.597
40,1.0701092380135717,0.8231,68.95,0.947,0.683,0.9293,65.77,0.926,0.622
41,1.0607775811867048,0.8454,67.98,0.944,0.674,0.9299,65.83,0.924,0.616
42,1.057803848311038,0.8352,68.12,0.945,0.674,0.9683,64.76,0.924,0.609
43,1.0452478630568391,0.8201,68.87,0.948,0.68,0.9171,66.27,0.928,0.616
44,1.0401074240070944,0.831,68.37,0.945,0.676,0.9444,65.66,0.925,0.613
45,1.028574894406035,0.8248,68.43,0.947,0.677,0.9497,65.09,0.928,0.608
46,1.0296759260384412,0.8167,69.06,0.947,0.684,0.9082,66.73,0.929,0.626
47,1.0231175228259042,0.8342,68.62,0.947,0.68,0.9445,65.02,0.927,0.608
48,1.0194888918203264,0.8101,69.45,0.948,0.688,0.9252,66.45,0.927,0.621
49,1.0200194711112633,0.8113,69.42,0.949,0.687,0.9182,66.45,0.928,0.623
