epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.2527542680287533,0.9839,58.62,0.924,0.513,2.9157,14.53,0.657,0.079
1,1.0425102011762934,0.4778,84.33,0.98,0.839,1.4661,51.05,0.844,0.465
2,0.6824660693570007,0.4449,84.03,0.987,0.836,1.03,70.55,0.925,0.607
3,0.47131300958798084,0.3597,86.87,0.99,0.861,1.6403,54.19,0.858,0.468
4,0.4167735625942834,0.2793,90.34,0.993,0.903,1.756,55.01,0.884,0.453
5,0.3717404931998081,0.2891,90.27,0.993,0.9,1.8799,52.99,0.898,0.464
6,0.3735115002813957,0.2574,91.08,0.994,0.909,2.0633,52.01,0.856,0.445
7,0.3746419428921432,0.3088,89.62,0.992,0.893,2.6037,44.81,0.877,0.381
8,0.45441438161211906,0.3211,89.05,0.991,0.888,1.2201,62.25,0.919,0.547
9,0.45316728049044985,0.2739,89.93,0.993,0.897,1.8962,56.32,0.89,0.473
10,0.42958257588551196,0.3463,88.51,0.99,0.885,1.3489,59.91,0.886,0.549
11,0.5604967839426274,0.4201,85.42,0.987,0.849,2.2573,46.01,0.89,0.389
12,0.42480222312666527,0.2741,90.9,0.993,0.907,1.3295,61.77,0.888,0.527
13,0.3914184784717697,0.3463,87.54,0.988,0.875,1.9702,51.3,0.844,0.406
14,0.566942674864968,0.3102,89.44,0.991,0.895,1.6938,56.31,0.881,0.477
15,0.4776615172410183,0.3294,88.53,0.991,0.883,1.7483,45.9,0.874,0.409
16,0.4940268592439967,0.321,89.04,0.99,0.888,2.3427,49.23,0.855,0.408
17,0.6153573477439743,0.417,84.86,0.985,0.848,1.9456,44.42,0.843,0.384
18,0.4789089423289402,0.3196,88.76,0.991,0.885,1.8191,54.0,0.87,0.422
19,0.4857616111528959,0.3066,89.54,0.991,0.894,1.4041,61.09,0.908,0.529
20,0.48911864380184694,0.4026,86.63,0.987,0.865,2.5526,37.27,0.813,0.34
21,0.48714326568644684,0.2794,89.78,0.993,0.895,1.3635,58.83,0.893,0.515
22,0.43162681644769024,0.2857,90.04,0.992,0.899,1.6465,57.93,0.864,0.47
23,0.41396072292499403,0.3004,89.75,0.992,0.898,2.1826,44.99,0.84,0.382
24,0.484424411392898,0.3714,87.14,0.989,0.867,1.8148,51.4,0.865,0.442
25,0.4111012670633604,0.2517,91.37,0.994,0.913,1.8272,53.66,0.878,0.459
26,0.40596094813278255,0.3311,88.52,0.99,0.881,1.57,49.83,0.87,0.478
27,0.4050214155543622,0.3131,89.42,0.991,0.894,1.7108,51.87,0.886,0.444
28,0.41927275790585034,0.2805,90.33,0.992,0.901,1.7683,54.1,0.886,0.475
29,0.4418041873321259,0.2623,91.28,0.993,0.911,2.0241,48.73,0.852,0.423
30,0.34968466510018,0.2283,92.26,0.995,0.921,1.4065,59.73,0.886,0.529
31,0.33725571632385254,0.2075,92.99,0.995,0.929,1.6983,56.83,0.903,0.466
32,0.30568562276500594,0.2121,92.63,0.996,0.925,1.3657,60.63,0.911,0.533
33,0.28975012973486947,0.1754,94.11,0.997,0.94,1.6312,57.24,0.9,0.482
34,0.25631575318549177,0.1747,94.08,0.997,0.94,1.7384,54.02,0.909,0.472
35,0.25176371526803903,0.1594,94.62,0.997,0.946,1.5946,60.7,0.91,0.504
36,0.23325478012184445,0.1458,95.13,0.998,0.951,1.7873,57.32,0.891,0.495
37,0.22128496581701923,0.156,94.76,0.997,0.947,1.7301,52.01,0.917,0.455
38,0.21117639616667797,0.1392,95.19,0.998,0.951,1.8065,56.15,0.902,0.465
39,0.20064531802702293,0.1337,95.5,0.998,0.954,1.8221,57.86,0.909,0.499
40,0.19414961380924253,0.1244,95.75,0.998,0.957,1.6431,59.59,0.9,0.525
41,0.1890898123919535,0.1232,95.92,0.998,0.959,1.8516,58.22,0.89,0.484
42,0.17878820409448884,0.1198,95.95,0.998,0.959,1.7532,59.29,0.894,0.51
43,0.17149880833977418,0.118,96.09,0.998,0.96,1.6247,61.36,0.907,0.534
44,0.17118514007587227,0.1116,96.19,0.999,0.961,1.6287,62.17,0.911,0.534
45,0.16426292646059887,0.1098,96.37,0.999,0.963,1.635,61.66,0.909,0.538
46,0.16075191566412397,0.1095,96.47,0.999,0.964,1.6921,60.43,0.907,0.529
47,0.16060811286564353,0.1078,96.46,0.999,0.964,1.7023,60.27,0.908,0.528
48,0.15785592864100023,0.1077,96.45,0.999,0.964,1.7204,60.1,0.905,0.525
49,0.15797360161011167,0.1078,96.42,0.999,0.964,1.7343,59.91,0.904,0.524
