epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.316012456262712,1.0437,58.37,0.918,0.511,2.7618,13.37,0.684,0.067
1,1.0924668354953793,0.6686,74.54,0.971,0.739,1.5069,40.88,0.843,0.389
2,0.7023095239838251,0.3356,88.45,0.991,0.882,0.6489,76.03,0.943,0.677
3,0.5572638794672575,0.3467,88.1,0.992,0.877,1.3257,59.85,0.915,0.517
4,0.4548593489386195,0.2599,91.3,0.994,0.912,1.0744,67.84,0.934,0.583
5,0.4246649568458255,0.2992,89.48,0.993,0.895,1.2695,61.33,0.905,0.527
6,0.4223104994074046,0.272,90.79,0.994,0.906,1.1049,67.35,0.909,0.576
7,0.42832400022650796,0.2643,90.7,0.994,0.903,0.8755,70.3,0.928,0.617
8,0.46089100944910116,0.2761,90.76,0.993,0.906,1.1943,60.05,0.938,0.552
9,0.4731296253718918,0.2753,90.49,0.993,0.902,0.6396,77.5,0.957,0.698
10,0.47325726636022114,0.2928,90.36,0.993,0.904,0.9786,66.76,0.93,0.602
11,0.5747989718433765,0.3351,88.68,0.99,0.884,1.1462,59.61,0.923,0.553
12,0.609323349144819,0.3933,86.26,0.986,0.859,1.2422,60.24,0.925,0.514
13,0.5373277458355581,0.4394,85.09,0.985,0.848,1.5548,45.38,0.894,0.424
14,0.519331650125037,0.3479,88.02,0.989,0.879,1.1447,63.86,0.936,0.573
15,0.514579571837144,0.3264,88.86,0.99,0.885,1.4733,52.23,0.888,0.451
16,0.47510430216789246,0.3759,87.15,0.989,0.869,1.7518,44.83,0.905,0.394
17,0.782976043524502,0.3881,86.19,0.987,0.859,1.0839,65.64,0.931,0.559
18,0.5791213358048912,0.3323,88.53,0.991,0.883,1.3037,58.96,0.934,0.564
19,0.4541317483932852,0.576,80.79,0.978,0.803,2.1308,43.33,0.864,0.422
20,0.4404851699904572,0.2699,90.73,0.993,0.906,0.9921,65.99,0.942,0.598
21,0.42151008085381214,0.241,91.76,0.994,0.917,0.7989,73.11,0.95,0.672
22,0.43713736212510856,0.2714,90.74,0.993,0.905,1.0463,68.04,0.945,0.622
23,0.45776105055706107,0.2409,92.02,0.995,0.919,1.0587,64.74,0.934,0.578
24,0.424923491134918,0.3067,89.02,0.992,0.888,0.9751,70.39,0.938,0.646
25,0.5756758702315873,0.2406,91.76,0.995,0.916,1.0394,67.16,0.925,0.598
26,0.3974632213441588,0.2814,90.1,0.993,0.897,1.8072,52.88,0.915,0.481
27,0.387902328221918,0.2522,91.15,0.994,0.909,1.0321,67.27,0.94,0.622
28,0.36410740468141845,0.2769,91.15,0.993,0.908,1.3889,55.49,0.919,0.533
29,0.39283603118906774,0.2588,91.19,0.994,0.909,0.9859,67.57,0.927,0.6
30,0.3302172740800775,0.199,93.06,0.996,0.93,0.8031,75.6,0.954,0.685
31,0.3419246928726169,0.2123,92.68,0.995,0.925,1.1972,59.86,0.926,0.567
32,0.311459291324341,0.2152,92.59,0.996,0.923,1.1257,67.6,0.919,0.61
33,0.2946790996000921,0.166,94.61,0.997,0.945,0.8076,74.09,0.944,0.674
34,0.28995372108418305,0.1697,94.31,0.997,0.942,0.9623,70.33,0.937,0.642
35,0.26627399155990683,0.1578,94.73,0.997,0.947,1.1862,66.94,0.925,0.626
36,0.24064847194462372,0.1518,94.93,0.998,0.949,1.0973,69.81,0.942,0.641
37,0.23512726861367123,0.1559,94.68,0.998,0.946,1.1822,67.57,0.926,0.626
38,0.2280228994518733,0.1549,94.82,0.997,0.947,1.1407,66.71,0.938,0.622
39,0.21502719883867305,0.1312,95.57,0.998,0.955,0.9934,69.84,0.949,0.649
40,0.20622092689112795,0.1302,95.78,0.998,0.957,1.1098,68.7,0.942,0.645
41,0.19379436787512663,0.1288,95.78,0.998,0.957,1.0369,67.79,0.941,0.636
42,0.1900191177352727,0.1199,96.08,0.998,0.96,1.0977,68.15,0.941,0.636
43,0.18277621762358026,0.1161,96.19,0.999,0.961,0.8674,75.04,0.954,0.681
44,0.18291469781304434,0.1213,95.97,0.998,0.959,1.0776,68.1,0.944,0.638
45,0.17648439393412296,0.1143,96.27,0.999,0.962,1.0203,69.92,0.948,0.65
46,0.1731266194431902,0.1159,96.19,0.999,0.961,1.0386,69.43,0.945,0.641
47,0.17070807961465642,0.1123,96.36,0.999,0.963,1.0429,69.26,0.945,0.642
48,0.169371574366693,0.1118,96.33,0.999,0.963,1.0413,69.48,0.946,0.646
49,0.16985616634646766,0.1126,96.36,0.999,0.963,1.0362,69.6,0.946,0.647
