epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8137554213297453,1.4504,43.05,0.866,0.352,1.572,43.58,0.815,0.3
1,1.3398527202846335,0.5816,79.18,0.975,0.778,0.7227,76.87,0.944,0.66
2,0.7767972579534105,0.5789,77.95,0.982,0.749,0.7995,71.53,0.957,0.613
3,0.582198478120694,0.3416,88.55,0.99,0.882,0.5667,84.1,0.951,0.767
4,0.43576918188616526,0.2764,90.49,0.993,0.903,0.4736,86.15,0.969,0.789
5,0.36968514730604435,0.2663,90.52,0.994,0.901,0.4923,83.07,0.97,0.756
6,0.3564724049551024,0.3217,88.79,0.993,0.888,0.5856,83.55,0.957,0.776
7,0.3694005319111639,0.294,89.76,0.992,0.896,0.4474,84.86,0.972,0.783
8,0.3836635239690328,0.2584,91.19,0.994,0.91,0.5594,83.12,0.953,0.755
9,0.4088890211616489,0.2831,90.18,0.993,0.901,0.4627,82.8,0.975,0.767
10,0.4134154356212067,0.3096,89.24,0.993,0.891,0.6829,77.85,0.949,0.704
11,0.40094236632902847,0.2736,91.04,0.993,0.91,0.393,85.92,0.982,0.808
12,0.42825511505277897,0.2755,90.56,0.993,0.904,0.5468,83.66,0.962,0.764
13,0.46749356174640516,0.3282,88.34,0.991,0.886,0.4884,82.57,0.971,0.759
14,0.4546360249141995,0.3624,87.64,0.99,0.877,0.5493,82.33,0.969,0.753
15,0.45565593757217737,0.3289,88.88,0.991,0.886,0.7655,72.79,0.964,0.659
16,0.5602940134436106,0.3985,86.02,0.988,0.854,0.721,77.58,0.94,0.685
17,0.5024027065407458,0.3206,88.76,0.991,0.887,0.497,83.56,0.969,0.769
18,0.451958667031295,0.2766,90.59,0.993,0.905,0.5408,83.97,0.954,0.761
19,0.40324238114219774,0.2906,90.14,0.993,0.901,0.5511,81.73,0.967,0.754
20,0.4064957109286631,0.2897,89.84,0.993,0.897,0.6059,80.81,0.957,0.731
21,0.37022540273426247,0.2756,90.75,0.993,0.906,0.4689,83.48,0.977,0.787
22,0.3960608574126264,0.3073,89.15,0.991,0.891,0.4349,85.39,0.98,0.788
23,0.38296289109497617,0.2483,91.36,0.994,0.912,0.5319,84.73,0.964,0.775
24,0.36457583565506146,0.2657,90.86,0.993,0.909,0.4069,85.63,0.981,0.801
25,0.3754825441957378,0.3488,87.7,0.989,0.872,0.6627,78.81,0.959,0.713
26,0.4398020595955334,0.3011,89.19,0.992,0.889,0.5969,80.4,0.961,0.719
27,0.37042985588526556,0.2346,91.91,0.995,0.918,0.5741,82.33,0.959,0.745
28,0.34254602594770117,0.2586,91.14,0.994,0.909,0.5945,80.33,0.967,0.745
29,0.342026933170051,0.2871,89.91,0.993,0.898,0.4926,83.06,0.974,0.772
30,0.3243937652102477,0.211,92.92,0.996,0.928,0.5233,83.34,0.969,0.768
31,0.27890338078677224,0.1933,93.36,0.996,0.932,0.417,85.93,0.979,0.804
32,0.2565627106659704,0.2017,93.07,0.996,0.93,0.4175,85.52,0.981,0.801
33,0.24760842719952836,0.1864,93.78,0.997,0.937,0.5134,84.92,0.97,0.782
34,0.2348082233890355,0.1545,94.83,0.997,0.947,0.3721,87.95,0.982,0.828
35,0.2148838164351827,0.1501,95.0,0.998,0.949,0.4236,86.82,0.979,0.814
36,0.206261443684427,0.1569,94.64,0.997,0.945,0.4409,87.02,0.973,0.811
37,0.19744805348434036,0.1539,94.96,0.998,0.949,0.4096,87.23,0.978,0.816
38,0.18431394740188722,0.1338,95.72,0.998,0.957,0.4374,86.97,0.975,0.812
39,0.17564642354309987,0.1346,95.66,0.998,0.956,0.4636,86.07,0.975,0.802
40,0.17216439089543528,0.1387,95.43,0.998,0.954,0.4466,85.99,0.977,0.801
41,0.1683553013977387,0.1257,95.9,0.998,0.958,0.4738,86.06,0.974,0.799
42,0.15990921581606213,0.1259,95.98,0.998,0.959,0.4704,85.79,0.976,0.798
43,0.15330195394780138,0.1185,96.15,0.998,0.961,0.4979,86.01,0.97,0.799
44,0.15204529834093808,0.114,96.34,0.998,0.963,0.4774,86.63,0.972,0.807
45,0.14844602132015092,0.1125,96.32,0.998,0.963,0.4599,87.16,0.973,0.811
46,0.14423317092356921,0.11,96.47,0.999,0.964,0.4501,87.12,0.974,0.812
47,0.14395626184108445,0.1119,96.39,0.999,0.963,0.4514,87.24,0.974,0.814
48,0.14123455451118003,0.1109,96.45,0.999,0.964,0.4544,87.18,0.974,0.814
49,0.1413791915602821,0.1105,96.45,0.999,0.964,0.4577,87.16,0.973,0.814
