epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8350131528840647,1.205,57.01,0.918,0.464,1.7667,32.54,0.775,0.268
1,1.4871408364755645,0.7496,73.39,0.963,0.717,0.8822,66.45,0.942,0.587
2,1.0561590709274622,0.4598,84.32,0.983,0.842,0.6183,77.33,0.965,0.711
3,0.8112966388249568,0.4818,83.66,0.983,0.831,0.7366,76.44,0.962,0.674
4,0.6740691164414659,0.3596,87.81,0.989,0.875,0.528,79.95,0.976,0.761
5,0.6292063443780803,0.349,87.2,0.99,0.866,0.4564,82.47,0.982,0.771
6,0.6230093060637549,0.3135,89.14,0.991,0.888,0.5239,80.2,0.976,0.761
7,0.6070838853609648,0.2973,89.97,0.992,0.897,0.3282,88.3,0.989,0.847
8,0.635104630705264,0.3281,88.78,0.99,0.885,0.4326,84.68,0.982,0.805
9,0.6284511567448541,0.3548,87.62,0.989,0.874,0.5045,80.75,0.977,0.755
10,0.6283117944388081,0.2835,90.18,0.993,0.899,0.5019,81.27,0.976,0.757
11,0.6248767444555708,0.2832,90.33,0.992,0.9,0.4005,85.49,0.982,0.805
12,0.5851316126130468,0.2973,89.97,0.992,0.899,0.426,83.85,0.983,0.791
13,0.6064408569456005,0.354,87.85,0.99,0.872,0.5019,79.99,0.977,0.746
14,0.6142529596527704,0.2559,91.58,0.994,0.914,0.3849,85.92,0.986,0.805
15,0.6130225077378664,0.2876,90.46,0.993,0.904,0.4412,84.84,0.98,0.795
16,0.6412102965999851,0.3512,87.08,0.991,0.861,0.4733,82.09,0.981,0.767
17,0.6025688736130008,0.2384,92.04,0.995,0.92,0.3994,85.28,0.984,0.803
18,0.5744380078298582,0.2698,90.61,0.993,0.905,0.367,86.23,0.986,0.82
19,0.5512947324368593,0.2335,91.96,0.994,0.919,0.3681,86.63,0.987,0.825
20,0.5239794222142199,0.216,92.94,0.995,0.928,0.3148,88.39,0.988,0.836
21,0.5006488450139547,0.2458,91.6,0.995,0.916,0.4384,82.9,0.98,0.78
22,0.49099147126829024,0.2331,92.09,0.995,0.919,0.3625,86.59,0.986,0.827
23,0.4696469577096349,0.2064,93.08,0.996,0.93,0.3316,87.48,0.988,0.829
24,0.46175998921017,0.2023,93.3,0.996,0.931,0.407,84.64,0.989,0.819
25,0.4438908580395815,0.2003,93.4,0.996,0.933,0.3713,86.06,0.986,0.818
26,0.42443366788274095,0.2106,92.8,0.996,0.926,0.3437,87.27,0.99,0.842
27,0.4021932947978699,0.1753,94.06,0.997,0.939,0.2837,89.36,0.992,0.861
28,0.3952292356130888,0.165,94.62,0.997,0.945,0.3353,87.76,0.989,0.837
29,0.3664561741643672,0.1642,94.63,0.997,0.946,0.3226,87.72,0.989,0.837
30,0.3666815894970791,0.1477,95.23,0.998,0.951,0.2947,89.4,0.991,0.863
31,0.34831939433976045,0.1469,95.21,0.998,0.951,0.3192,88.73,0.99,0.848
32,0.3388512686645384,0.1338,95.64,0.998,0.955,0.3063,88.77,0.991,0.861
33,0.3207439164892375,0.1298,95.79,0.998,0.957,0.251,90.92,0.993,0.882
34,0.30409984011873065,0.1257,95.91,0.998,0.958,0.3393,87.29,0.989,0.841
35,0.2903533687265657,0.1185,96.24,0.998,0.962,0.3055,89.61,0.992,0.86
36,0.2807936514024254,0.1129,96.34,0.999,0.963,0.2298,91.5,0.994,0.888
37,0.2720287988940589,0.1081,96.47,0.999,0.964,0.2689,90.59,0.992,0.881
38,0.25746528225408183,0.1033,96.58,0.999,0.965,0.2687,90.65,0.992,0.876
39,0.2531591928262505,0.0985,96.77,0.999,0.967,0.3225,89.28,0.99,0.864
40,0.24391808623461414,0.0989,96.78,0.999,0.967,0.3039,89.82,0.992,0.863
41,0.23811169526131032,0.096,96.83,0.999,0.968,0.3004,89.75,0.992,0.869
42,0.2312708459526515,0.0942,96.9,0.999,0.968,0.2987,90.45,0.992,0.876
43,0.22377970267971642,0.0902,96.98,0.999,0.969,0.2946,90.46,0.991,0.874
44,0.2251769564777827,0.0911,97.07,0.999,0.97,0.2757,90.94,0.992,0.879
45,0.21588151006818676,0.0898,97.19,0.999,0.971,0.2752,90.84,0.993,0.879
46,0.21618734289416305,0.0887,97.16,0.999,0.971,0.2876,90.05,0.992,0.87
47,0.2118323037950255,0.0878,97.22,0.999,0.972,0.2799,90.38,0.992,0.874
48,0.2124272233290638,0.087,97.22,0.999,0.972,0.2752,90.64,0.993,0.877
49,0.21364935149820588,0.087,97.19,0.999,0.971,0.2801,90.6,0.992,0.876
