epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9730495942963495,1.6392,35.92,0.805,0.294,1.6751,36.97,0.744,0.24
1,2.06879887059598,1.872,28.91,0.745,0.212,1.5808,42.98,0.772,0.287
2,1.6641433194119444,1.1723,55.96,0.887,0.54,1.0784,58.85,0.891,0.523
3,1.3731362415898232,1.0251,61.08,0.913,0.584,1.1143,56.92,0.894,0.473
4,1.1655552209919071,0.7875,70.93,0.957,0.695,0.7816,72.26,0.95,0.617
5,0.9966199508063682,0.6293,76.9,0.966,0.756,0.5639,80.78,0.969,0.759
6,0.853489012487473,0.4785,82.47,0.98,0.815,0.4806,82.6,0.978,0.774
7,0.7508996528536616,0.5101,81.45,0.979,0.802,0.4111,85.38,0.984,0.8
8,0.6790386514744878,0.3779,87.12,0.987,0.867,0.4351,83.61,0.983,0.798
9,0.6215893718610955,0.372,86.26,0.988,0.86,0.374,86.39,0.986,0.829
10,0.585779421164998,0.3797,86.88,0.99,0.867,0.3827,85.06,0.985,0.819
11,0.5509234325539681,0.3016,89.75,0.992,0.895,0.3542,87.12,0.988,0.842
12,0.524241719248047,0.2763,90.57,0.993,0.904,0.3568,88.14,0.987,0.844
13,0.49522381337312815,0.2792,90.61,0.993,0.905,0.393,85.73,0.985,0.822
14,0.47846433685885537,0.3293,88.96,0.991,0.889,0.3966,85.77,0.983,0.823
15,0.45694422267884766,0.2974,89.64,0.993,0.897,0.3683,86.06,0.99,0.816
16,0.4376595403505055,0.2595,91.28,0.994,0.912,0.3367,88.02,0.988,0.85
17,0.4255362096973645,0.2342,92.25,0.994,0.921,0.3258,88.82,0.99,0.863
18,0.4214523350786565,0.2369,92.07,0.995,0.921,0.3296,87.9,0.991,0.844
19,0.4031199424871407,0.2149,92.88,0.996,0.928,0.3169,89.18,0.99,0.863
20,0.39300793337245143,0.2321,92.0,0.995,0.921,0.3802,86.8,0.988,0.824
21,0.37844014536308984,0.195,93.82,0.996,0.937,0.3151,89.37,0.99,0.86
22,0.3702701376650923,0.221,92.69,0.995,0.925,0.3368,88.58,0.99,0.853
23,0.3558356702915229,0.1925,93.7,0.996,0.936,0.2769,90.81,0.991,0.877
24,0.35409152387611326,0.1873,93.96,0.996,0.939,0.3059,90.0,0.99,0.875
25,0.33762536582446867,0.2256,92.24,0.996,0.923,0.4629,86.36,0.986,0.817
26,0.3356897662457172,0.1987,93.28,0.996,0.933,0.3578,88.68,0.989,0.848
27,0.3240957286836426,0.2291,92.01,0.996,0.917,0.2596,90.64,0.993,0.875
28,0.3181793313193065,0.1692,94.44,0.997,0.944,0.2851,90.23,0.991,0.88
29,0.30591092485680804,0.1667,94.48,0.997,0.944,0.3408,89.37,0.991,0.868
30,0.2988319121648334,0.1697,94.36,0.997,0.944,0.3112,90.05,0.99,0.875
31,0.2929630291023989,0.1672,94.3,0.997,0.943,0.3009,89.47,0.991,0.87
32,0.2824488944210459,0.1747,94.3,0.997,0.942,0.337,87.9,0.99,0.86
33,0.27637337255007904,0.1369,95.56,0.998,0.955,0.2714,90.98,0.993,0.885
34,0.2678993532574305,0.1666,94.62,0.997,0.945,0.3573,89.44,0.99,0.866
35,0.2567554343371622,0.1417,95.26,0.998,0.953,0.3655,89.25,0.989,0.861
36,0.25270231373901864,0.135,95.47,0.998,0.955,0.3363,90.49,0.989,0.877
37,0.246023510986652,0.1559,94.73,0.997,0.948,0.2666,90.83,0.991,0.883
38,0.23437551505142643,0.1398,95.44,0.998,0.955,0.3069,91.13,0.991,0.886
39,0.2302005884361096,0.1271,96.13,0.998,0.961,0.36,89.67,0.988,0.873
40,0.2215189270568364,0.1256,95.92,0.998,0.959,0.2797,91.17,0.991,0.889
41,0.21648922195411072,0.129,95.76,0.998,0.958,0.3329,90.81,0.99,0.887
42,0.21027633075111657,0.1207,96.04,0.998,0.96,0.3266,90.65,0.99,0.882
43,0.2059706951955527,0.1238,95.88,0.998,0.959,0.345,90.7,0.99,0.881
44,0.20276443700316132,0.1229,95.95,0.998,0.96,0.327,90.38,0.99,0.882
45,0.19707914044593183,0.1187,96.1,0.998,0.961,0.3123,91.28,0.991,0.89
46,0.19127622608589442,0.1167,96.16,0.998,0.962,0.3217,91.13,0.99,0.889
47,0.19453018190719748,0.1165,96.23,0.998,0.962,0.3156,91.14,0.991,0.889
48,0.1882182396748053,0.1173,96.15,0.998,0.962,0.3154,91.16,0.991,0.889
49,0.19139508338224503,0.1165,96.24,0.998,0.962,0.3178,91.14,0.991,0.889
