epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7893806057164319,1.0849,63.26,0.929,0.584,1.5093,47.29,0.799,0.39
1,1.979939164653901,1.2783,51.49,0.885,0.469,1.3684,51.3,0.849,0.378
2,1.4265721807770404,0.8556,66.72,0.95,0.651,1.1018,58.38,0.893,0.473
3,1.0918390030929264,0.5882,79.47,0.974,0.785,0.6844,74.12,0.952,0.677
4,0.8867603299011039,0.4683,82.73,0.986,0.815,0.5219,81.6,0.975,0.745
5,0.7444726666669265,0.3443,88.5,0.99,0.881,0.4652,82.71,0.978,0.767
6,0.6391906894770147,0.3426,88.1,0.991,0.876,0.5076,81.75,0.978,0.757
7,0.5699107853635665,0.3238,88.19,0.992,0.877,0.4145,84.46,0.987,0.802
8,0.5181957381280092,0.2749,90.41,0.995,0.904,0.5713,79.76,0.98,0.751
9,0.47123927620363065,0.2255,92.49,0.996,0.924,0.4257,85.24,0.986,0.808
10,0.4464882838683316,0.201,93.35,0.997,0.932,0.321,88.38,0.99,0.849
11,0.4196592121515223,0.194,93.75,0.996,0.937,0.3225,88.82,0.991,0.853
12,0.4023185931546714,0.1956,93.63,0.997,0.937,0.4751,84.62,0.985,0.802
13,0.38984513098514206,0.1699,94.65,0.997,0.945,0.3785,86.55,0.989,0.817
14,0.37463977361451767,0.181,93.98,0.997,0.939,0.3547,87.07,0.989,0.837
15,0.37005193072194265,0.1659,94.62,0.997,0.945,0.3108,90.13,0.992,0.866
16,0.34576945749234983,0.1405,95.49,0.998,0.954,0.3875,88.9,0.987,0.846
17,0.34090099676001456,0.1394,95.4,0.998,0.953,0.3273,89.09,0.99,0.854
18,0.32501289323239346,0.1367,95.47,0.998,0.954,0.2998,89.88,0.992,0.863
19,0.3100369961992387,0.129,95.81,0.998,0.957,0.3587,88.9,0.99,0.857
20,0.3074472030911822,0.1352,95.79,0.998,0.958,0.5075,83.53,0.988,0.782
21,0.3002464821608904,0.1286,95.81,0.998,0.958,0.3847,88.85,0.99,0.861
22,0.2934582128479917,0.1624,94.59,0.998,0.945,0.3934,85.17,0.989,0.803
23,0.28170868240323543,0.1084,96.58,0.999,0.965,0.2845,90.26,0.992,0.871
24,0.2806384107732217,0.1098,96.62,0.999,0.965,0.3151,91.16,0.991,0.885
25,0.2651011741396347,0.1306,95.66,0.998,0.957,0.4357,87.43,0.986,0.826
26,0.2634242431504325,0.1122,96.44,0.999,0.964,0.282,91.69,0.992,0.891
27,0.2537456647389465,0.1082,96.61,0.999,0.966,0.2668,91.9,0.993,0.892
28,0.24540740662791824,0.1068,96.66,0.999,0.966,0.355,90.65,0.989,0.882
29,0.24222367152731905,0.0975,97.01,0.999,0.97,0.3012,91.38,0.991,0.89
30,0.22854083532127,0.102,96.87,0.999,0.968,0.3868,88.57,0.986,0.848
31,0.22798171403106823,0.1062,96.62,0.999,0.966,0.2753,92.09,0.991,0.897
32,0.2189279571976713,0.0912,97.05,0.999,0.97,0.2486,92.17,0.993,0.896
33,0.21571944603249163,0.1014,96.81,0.999,0.967,0.3258,90.23,0.991,0.868
34,0.20790568976846646,0.0931,97.19,0.999,0.971,0.3665,88.03,0.991,0.84
35,0.2013102967999742,0.0927,97.17,0.999,0.971,0.3756,90.89,0.988,0.887
36,0.19656446698959584,0.0853,97.38,0.999,0.973,0.3444,90.62,0.991,0.881
37,0.19120367733247604,0.0852,97.28,0.999,0.972,0.2549,92.7,0.992,0.9
38,0.18715911457401876,0.0835,97.26,0.999,0.972,0.2947,92.75,0.992,0.907
39,0.1828257055505843,0.0772,97.63,0.999,0.976,0.3381,90.48,0.989,0.872
40,0.17283095034860796,0.076,97.62,0.999,0.976,0.3078,90.68,0.991,0.877
41,0.16992808748904523,0.0715,97.76,0.999,0.977,0.3168,92.04,0.99,0.899
42,0.16467267176049585,0.0703,97.83,0.999,0.978,0.3701,89.8,0.989,0.868
43,0.15893652043088363,0.0703,97.75,0.999,0.977,0.3025,91.63,0.991,0.89
44,0.1615120725218861,0.0709,97.76,0.999,0.977,0.3083,91.71,0.991,0.895
45,0.15639589821058575,0.0693,97.78,0.999,0.977,0.3504,90.6,0.988,0.882
46,0.1514951061110236,0.0671,97.93,0.999,0.979,0.3493,91.19,0.989,0.887
47,0.14805127899946918,0.0664,97.88,0.999,0.978,0.3271,91.65,0.989,0.892
48,0.1498573580189311,0.0663,97.88,0.999,0.979,0.3327,91.46,0.989,0.891
49,0.1466806363447913,0.0664,97.9,0.999,0.979,0.3338,91.5,0.989,0.891
