epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.022334923847116,1.8546,34.69,0.721,0.225,1.7955,46.27,0.758,0.302
1,1.9137243581332748,1.6053,38.31,0.804,0.356,1.4278,43.2,0.822,0.366
2,1.4443336107748017,1.0033,63.1,0.924,0.625,1.0272,60.38,0.923,0.564
3,1.1927058958321166,1.01,60.03,0.934,0.541,1.1404,56.06,0.919,0.523
4,0.9889782688600554,0.7614,72.24,0.957,0.711,0.7329,72.27,0.956,0.672
5,0.9279043511521045,0.6055,78.6,0.97,0.778,0.565,78.21,0.97,0.735
6,0.9189286909515052,0.7859,69.93,0.955,0.694,0.6951,72.0,0.96,0.679
7,0.9302543929154924,0.7124,73.03,0.959,0.703,0.726,72.45,0.96,0.673
8,0.9242451250981941,0.6232,77.76,0.97,0.767,0.6938,73.06,0.96,0.679
9,0.9445327113000609,0.7032,74.11,0.961,0.739,0.6058,76.84,0.968,0.723
10,0.9675304315073027,0.6315,77.94,0.969,0.773,0.7207,70.95,0.953,0.656
11,0.9749595261306214,0.6228,77.23,0.968,0.767,0.5536,78.24,0.969,0.738
12,0.9434091971932556,0.7092,74.87,0.961,0.741,0.627,76.99,0.966,0.729
13,0.9904068048051793,0.6547,76.44,0.967,0.757,0.7372,72.26,0.959,0.686
14,0.997384739865502,0.6196,77.95,0.969,0.775,0.6365,75.41,0.964,0.707
15,0.9210957202979987,0.7382,73.32,0.957,0.721,0.6814,74.42,0.953,0.689
16,0.9209866296473167,0.6276,77.08,0.966,0.769,0.6198,75.94,0.965,0.719
17,0.9078306439969179,0.5635,80.14,0.974,0.799,0.666,73.8,0.964,0.688
18,0.8867844308880594,0.59,78.82,0.972,0.783,0.6496,74.28,0.96,0.7
19,0.8365009945931194,0.5106,81.45,0.978,0.813,0.5391,78.65,0.972,0.742
20,0.8047566821249269,0.4805,83.25,0.98,0.833,0.6073,75.54,0.962,0.717
21,0.7741625733512769,0.5001,82.42,0.979,0.824,0.5693,77.12,0.968,0.735
22,0.7548744768547497,0.4614,83.67,0.981,0.835,0.4846,81.07,0.976,0.767
23,0.754947618186045,0.4817,82.95,0.98,0.825,0.4902,81.43,0.974,0.773
24,0.713093664577539,0.4282,84.63,0.984,0.845,0.5496,77.99,0.971,0.743
25,0.6828253672277327,0.4153,84.8,0.985,0.848,0.5379,78.46,0.973,0.752
26,0.6656857034285292,0.3616,87.06,0.988,0.869,0.4534,82.88,0.979,0.791
27,0.6531040273981986,0.3671,87.02,0.987,0.871,0.5325,79.22,0.971,0.756
28,0.622152439553103,0.3715,86.95,0.987,0.87,0.5076,79.31,0.976,0.749
29,0.601731729164398,0.3793,86.49,0.988,0.863,0.5632,77.28,0.974,0.735
30,0.5741498530339851,0.3094,89.16,0.991,0.892,0.4345,82.82,0.98,0.787
31,0.562798726258518,0.3147,88.85,0.99,0.887,0.3794,85.77,0.982,0.809
32,0.5449586122584857,0.3031,89.3,0.991,0.895,0.4731,81.68,0.979,0.779
33,0.5300011654123128,0.303,89.05,0.991,0.889,0.4711,81.89,0.979,0.786
34,0.5000439867270079,0.2723,90.14,0.993,0.903,0.3895,85.16,0.985,0.818
35,0.48433125233478685,0.264,90.72,0.993,0.907,0.3578,86.29,0.986,0.827
36,0.46773873258837695,0.2724,90.23,0.992,0.903,0.4263,84.32,0.983,0.818
37,0.45534078315865223,0.2551,90.7,0.993,0.908,0.4812,81.81,0.979,0.786
38,0.43994287192392695,0.2431,91.3,0.994,0.913,0.3554,87.02,0.986,0.839
39,0.43428066201347243,0.2354,91.61,0.994,0.915,0.4491,84.08,0.98,0.814
40,0.4219764074404463,0.2369,91.48,0.994,0.916,0.3962,85.58,0.985,0.825
41,0.4130525067984629,0.2246,91.88,0.995,0.919,0.3906,85.43,0.984,0.824
42,0.40257544997784733,0.2284,91.89,0.995,0.92,0.404,85.63,0.984,0.824
43,0.39751643542763143,0.2108,92.38,0.995,0.925,0.3818,86.42,0.986,0.831
44,0.39282307221735124,0.2122,92.47,0.995,0.925,0.3704,86.64,0.986,0.837
45,0.38664335677092027,0.2153,92.4,0.995,0.925,0.3843,86.29,0.986,0.83
46,0.3817850844465571,0.207,92.6,0.995,0.927,0.377,86.23,0.986,0.831
47,0.38119777308093555,0.206,92.63,0.995,0.927,0.3788,86.36,0.986,0.834
48,0.3793565452956467,0.206,92.57,0.995,0.926,0.3759,86.23,0.986,0.833
49,0.3799746889862225,0.2071,92.5,0.995,0.926,0.3777,86.29,0.986,0.834
