epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8140034958613005,1.2102,57.66,0.914,0.483,1.7364,32.99,0.787,0.277
1,1.467266578039677,0.7379,71.07,0.963,0.695,0.9799,65.89,0.922,0.564
2,0.9084889502834073,0.4386,83.53,0.985,0.831,0.5497,80.37,0.962,0.729
3,0.7519086972415019,0.3719,87.35,0.988,0.868,0.5966,79.0,0.971,0.728
4,0.6203840263455892,0.4177,84.61,0.988,0.842,0.4313,85.05,0.983,0.805
5,0.5708388729061155,0.3058,89.77,0.991,0.892,0.6246,77.58,0.967,0.7
6,0.565006890957304,0.2923,90.08,0.993,0.895,0.596,77.99,0.971,0.72
7,0.5667247268364584,0.3054,89.59,0.992,0.893,0.5911,78.16,0.978,0.733
8,0.5465053407837162,0.2769,90.3,0.994,0.901,0.4001,85.44,0.985,0.8
9,0.5538735947162985,0.2992,89.89,0.992,0.895,0.4664,83.23,0.979,0.766
10,0.5780052210358407,0.264,91.47,0.994,0.912,0.453,83.58,0.983,0.78
11,0.5479374322102224,0.2785,91.03,0.993,0.908,0.4664,83.8,0.979,0.778
12,0.5576534367722573,0.2762,90.45,0.993,0.902,0.4414,82.96,0.982,0.776
13,0.5451221185193645,0.2735,90.86,0.993,0.906,0.5109,81.43,0.978,0.772
14,0.551400528966094,0.2807,90.71,0.993,0.903,0.3761,86.17,0.986,0.815
15,0.5406819041684378,0.2891,90.31,0.993,0.9,0.4628,83.55,0.978,0.764
16,0.5577257882348068,0.2866,90.48,0.993,0.901,0.4459,83.39,0.981,0.767
17,0.5271127687083731,0.2994,89.63,0.992,0.897,0.4323,83.99,0.984,0.772
18,0.5239467050531785,0.3047,89.44,0.991,0.891,0.4259,83.39,0.982,0.778
19,0.5088798832550323,0.2506,91.5,0.994,0.912,0.4467,83.39,0.981,0.773
20,0.45549908173170023,0.2317,92.44,0.995,0.923,0.4829,81.84,0.976,0.767
21,0.45023354587795067,0.2476,91.61,0.994,0.914,0.4965,80.86,0.976,0.758
22,0.4413967713606443,0.2125,92.99,0.996,0.927,0.3442,87.64,0.988,0.837
23,0.4279055528932338,0.2004,93.29,0.996,0.931,0.3317,87.3,0.988,0.827
24,0.39655275610711077,0.1935,93.6,0.996,0.935,0.5272,82.14,0.98,0.758
25,0.3816415268740208,0.1861,93.8,0.996,0.937,0.3642,86.59,0.986,0.82
26,0.3886566751723667,0.1995,93.36,0.996,0.932,0.3651,86.42,0.988,0.812
27,0.35865151024550845,0.1729,94.16,0.997,0.94,0.3274,87.92,0.989,0.84
28,0.3467136992396211,0.1606,94.75,0.997,0.946,0.3255,87.59,0.988,0.83
29,0.3382158307291621,0.1502,95.28,0.997,0.952,0.3964,85.99,0.985,0.809
30,0.31234759703385745,0.1414,95.3,0.998,0.952,0.4168,84.51,0.985,0.801
31,0.29919334152619614,0.1349,95.65,0.998,0.956,0.402,85.95,0.986,0.807
32,0.2859167600278374,0.1338,95.7,0.998,0.956,0.3881,85.73,0.986,0.808
33,0.26696191192102087,0.12,96.13,0.998,0.96,0.3285,88.3,0.99,0.837
34,0.2518693657873346,0.1204,96.15,0.998,0.961,0.319,87.7,0.99,0.833
35,0.25054775232033766,0.1104,96.43,0.999,0.964,0.3494,88.58,0.991,0.85
36,0.23731357556024044,0.1111,96.22,0.999,0.961,0.3288,87.46,0.99,0.83
37,0.23009550174792037,0.1037,96.61,0.999,0.965,0.3935,86.75,0.987,0.824
38,0.22167808010423784,0.0968,96.83,0.999,0.968,0.3384,87.29,0.989,0.821
39,0.21394843838626532,0.0958,97.1,0.999,0.97,0.3473,88.77,0.99,0.846
40,0.20286349845018317,0.0933,96.97,0.999,0.969,0.3058,89.48,0.992,0.858
41,0.20031381580683824,0.0885,97.26,0.999,0.972,0.3305,88.66,0.99,0.842
42,0.19551283592800442,0.0861,97.32,0.999,0.973,0.3211,88.43,0.991,0.84
43,0.18568987635185394,0.085,97.28,0.999,0.972,0.3424,88.24,0.99,0.834
44,0.18406605463233783,0.0847,97.4,0.999,0.974,0.3332,88.71,0.991,0.842
45,0.18082279267070964,0.0809,97.52,0.999,0.975,0.3247,88.8,0.991,0.845
46,0.174212985973564,0.0801,97.56,0.999,0.975,0.3259,88.49,0.991,0.836
47,0.17589011740127056,0.0785,97.58,0.999,0.976,0.3244,88.82,0.991,0.843
48,0.17317411035513705,0.0791,97.55,0.999,0.975,0.3141,89.09,0.991,0.847
49,0.17400978827219216,0.0794,97.53,0.999,0.975,0.3211,88.93,0.991,0.844
