epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7612258607535054,1.1783,54.76,0.913,0.48,1.8982,28.56,0.735,0.246
1,1.183177540199362,0.5603,79.51,0.977,0.787,0.8135,70.69,0.952,0.653
2,0.7251547306990452,0.3953,87.03,0.988,0.867,0.5482,79.09,0.969,0.735
3,0.5803127297394567,0.3564,87.26,0.99,0.87,0.3826,85.99,0.986,0.81
4,0.4740199526008084,0.2836,90.54,0.993,0.904,0.3593,87.4,0.986,0.828
5,0.4488712189008864,0.3067,89.24,0.992,0.892,0.4222,84.86,0.985,0.787
6,0.4424755794110058,0.2855,89.91,0.993,0.895,0.5667,80.47,0.976,0.738
7,0.4618125161249861,0.2666,90.85,0.994,0.908,0.4647,82.66,0.981,0.786
8,0.4695436958786395,0.3018,89.52,0.992,0.892,0.5689,80.2,0.976,0.754
9,0.4855319267983059,0.3115,89.15,0.992,0.888,0.4789,83.93,0.981,0.771
10,0.4736619782533577,0.3255,88.91,0.991,0.887,0.4578,83.85,0.979,0.787
11,0.4994985926494324,0.3191,88.85,0.991,0.887,0.5177,81.29,0.978,0.764
12,0.5179476195530925,0.2983,89.68,0.991,0.897,0.5465,79.63,0.977,0.741
13,0.5055116539378818,0.3323,88.4,0.99,0.882,0.6373,77.39,0.966,0.72
14,0.5567945582832364,0.2982,90.0,0.993,0.899,0.7142,72.37,0.963,0.676
15,0.4903722838532153,0.4054,85.66,0.987,0.853,0.8289,73.03,0.939,0.672
16,0.5475535362744502,0.2579,91.07,0.993,0.909,0.406,86.85,0.981,0.813
17,0.49133165084200797,0.3707,87.2,0.99,0.87,0.6322,79.57,0.96,0.741
18,0.4725840171035245,0.2567,91.46,0.994,0.911,0.402,85.2,0.984,0.807
19,0.47191713225069665,0.22,92.8,0.996,0.928,0.5244,81.18,0.976,0.771
20,0.4307102127898511,0.2455,91.41,0.995,0.911,0.5168,81.37,0.982,0.761
21,0.40428561658310375,0.2364,91.96,0.995,0.917,0.443,83.88,0.98,0.797
22,0.41915200832936406,0.2272,92.41,0.995,0.921,0.5084,82.2,0.978,0.767
23,0.41887079361531376,0.1992,93.39,0.996,0.932,0.44,84.15,0.982,0.8
24,0.3710914442865111,0.1923,93.75,0.996,0.936,0.3724,86.36,0.987,0.824
25,0.37588814822889915,0.3109,89.67,0.992,0.891,0.5773,79.57,0.978,0.759
26,0.3591641466394603,0.2008,93.47,0.996,0.933,0.3487,89.26,0.988,0.845
27,0.34213233251365827,0.1768,94.17,0.997,0.94,0.4136,85.92,0.985,0.822
28,0.3384542511307078,0.1883,93.49,0.997,0.933,0.4984,82.55,0.979,0.781
29,0.2942673995983686,0.1629,94.41,0.997,0.943,0.3427,87.42,0.988,0.844
30,0.29578111808505847,0.174,94.13,0.997,0.94,0.5214,82.19,0.981,0.768
31,0.2900861512413985,0.1574,94.92,0.997,0.949,0.382,86.34,0.986,0.818
32,0.27679353298471987,0.1533,94.86,0.998,0.948,0.4126,85.57,0.985,0.808
33,0.26710872652290535,0.1472,95.19,0.998,0.95,0.4007,86.2,0.985,0.814
34,0.2445328930299059,0.1482,95.0,0.998,0.949,0.4585,84.3,0.982,0.799
35,0.23839479352501655,0.1178,96.28,0.998,0.962,0.269,90.49,0.992,0.869
36,0.2235240347737031,0.1223,95.81,0.998,0.958,0.26,90.79,0.993,0.869
37,0.2142699371567733,0.1178,96.23,0.998,0.962,0.3496,88.27,0.988,0.838
38,0.20702090752210547,0.1085,96.46,0.999,0.964,0.2975,89.77,0.99,0.854
39,0.19274503571524038,0.1064,96.48,0.999,0.964,0.3256,89.03,0.989,0.851
40,0.18945588332285984,0.0949,96.97,0.999,0.969,0.2823,90.29,0.991,0.868
41,0.18091846219927288,0.0942,96.87,0.999,0.968,0.2676,91.25,0.992,0.882
42,0.17450167549599846,0.09,97.09,0.999,0.971,0.2711,90.53,0.992,0.872
43,0.17097244309864457,0.09,97.08,0.999,0.97,0.2858,90.15,0.99,0.863
44,0.16732366999490655,0.0871,97.17,0.999,0.971,0.2907,90.02,0.991,0.864
45,0.16332698147073924,0.0849,97.3,0.999,0.972,0.2714,90.75,0.992,0.874
46,0.1619209425805284,0.0852,97.37,0.999,0.973,0.2699,90.6,0.992,0.87
47,0.15883129518881117,0.0842,97.34,0.999,0.973,0.2657,90.87,0.992,0.874
48,0.15912992442897755,0.0834,97.37,0.999,0.973,0.2582,91.2,0.992,0.877
49,0.15464529395103455,0.0839,97.39,0.999,0.973,0.2633,91.13,0.992,0.877
