epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0450415098538963,1.9811,27.55,0.692,0.148,2.0588,29.23,0.717,0.159
1,2.234464696658555,2.0183,19.22,0.66,0.136,2.044,21.51,0.631,0.093
2,1.9065410249122154,1.359,46.43,0.845,0.431,1.2979,47.54,0.861,0.388
3,1.3876467993396158,0.987,63.05,0.928,0.606,1.0682,61.16,0.916,0.533
4,1.042227428766989,0.6217,76.72,0.97,0.751,0.5472,80.47,0.972,0.745
5,0.8556127926354767,0.5741,79.09,0.974,0.788,0.5768,77.4,0.974,0.75
6,0.7267941523303267,0.5605,79.25,0.978,0.776,0.5518,80.7,0.974,0.765
7,0.6501301431420884,0.4498,84.56,0.984,0.842,0.4383,84.34,0.984,0.806
8,0.5914707733952443,0.3418,87.72,0.99,0.873,0.3276,88.58,0.989,0.854
9,0.5409697455530953,0.4087,84.48,0.988,0.837,0.4048,84.26,0.987,0.806
10,0.4993748936708683,0.4621,83.3,0.986,0.826,0.5552,79.79,0.978,0.786
11,0.4692210241564713,0.4338,83.96,0.989,0.834,0.4012,84.62,0.987,0.832
12,0.4516335994966568,0.2817,90.57,0.994,0.906,0.3356,86.99,0.989,0.843
13,0.4230874949084815,0.264,90.67,0.994,0.906,0.3168,87.56,0.991,0.847
14,0.40130910624526306,0.2652,90.81,0.994,0.904,0.406,84.27,0.988,0.821
15,0.3928604360442862,0.3527,88.07,0.991,0.876,0.5078,81.97,0.983,0.798
16,0.37530155044623176,0.2281,92.21,0.995,0.922,0.2326,91.46,0.994,0.89
17,0.36714207605328614,0.2657,90.44,0.995,0.903,0.2719,89.88,0.992,0.864
18,0.3488283637764206,0.2025,93.37,0.996,0.933,0.2333,91.47,0.994,0.882
19,0.3365629037114454,0.2129,92.71,0.996,0.927,0.2214,91.77,0.993,0.889
20,0.32980255918797624,0.1933,93.7,0.997,0.937,0.2906,89.23,0.992,0.863
21,0.31737892206851726,0.1941,93.46,0.996,0.934,0.2452,91.2,0.992,0.886
22,0.30756869986920377,0.2016,93.25,0.996,0.931,0.2191,92.15,0.995,0.903
23,0.2968634074039784,0.2096,93.17,0.996,0.93,0.2555,91.32,0.994,0.895
24,0.291788754737719,0.1824,94.03,0.997,0.939,0.201,92.93,0.995,0.911
25,0.27827021116424205,0.1859,94.07,0.997,0.939,0.2783,90.34,0.993,0.886
26,0.2762940946605898,0.1772,94.16,0.997,0.941,0.1794,93.37,0.996,0.916
27,0.2686577754422328,0.2051,93.03,0.997,0.93,0.2719,89.94,0.992,0.87
28,0.25812728465351154,0.1951,93.52,0.997,0.934,0.2401,91.52,0.994,0.886
29,0.2539927377949692,0.164,94.72,0.997,0.947,0.248,90.72,0.994,0.886
30,0.24373847036539012,0.1721,94.4,0.997,0.944,0.2668,90.76,0.992,0.885
31,0.23383620376014366,0.1539,95.11,0.997,0.95,0.1809,93.43,0.996,0.92
32,0.23272751132860833,0.1381,95.5,0.998,0.954,0.1994,92.48,0.996,0.907
33,0.22348419986798773,0.1475,95.12,0.998,0.951,0.2203,92.1,0.994,0.899
34,0.2179420847432374,0.1351,95.68,0.998,0.957,0.2142,92.01,0.995,0.897
35,0.20621740219840867,0.1279,95.88,0.998,0.958,0.2724,89.26,0.994,0.869
36,0.2035873428280849,0.1576,94.95,0.998,0.948,0.2298,91.82,0.994,0.898
37,0.19451943728872526,0.1181,96.08,0.998,0.961,0.1577,94.52,0.996,0.925
38,0.19331421692418368,0.1452,95.2,0.998,0.95,0.204,92.96,0.996,0.913
39,0.18556744814933843,0.1268,95.97,0.998,0.959,0.1963,93.05,0.995,0.913
40,0.17912883979124836,0.1404,95.42,0.998,0.953,0.2383,91.68,0.994,0.897
41,0.17357200255290367,0.1094,96.42,0.999,0.964,0.1777,93.75,0.996,0.918
42,0.16939844227125567,0.1183,96.21,0.999,0.961,0.188,93.23,0.996,0.916
43,0.16705679519629393,0.1051,96.59,0.999,0.965,0.1861,93.15,0.995,0.912
44,0.15945972440143427,0.1061,96.56,0.999,0.965,0.1776,93.86,0.996,0.92
45,0.1595565640170621,0.1014,96.81,0.999,0.968,0.1856,93.29,0.995,0.911
46,0.1584368162524743,0.1075,96.46,0.999,0.964,0.1946,93.07,0.995,0.914
47,0.15461468916907106,0.1046,96.63,0.999,0.966,0.1871,93.42,0.995,0.916
48,0.1539697393401122,0.1053,96.57,0.999,0.965,0.1943,93.24,0.995,0.914
49,0.15416954419705817,0.1032,96.62,0.999,0.966,0.1914,93.37,0.995,0.915
