epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7865747422727634,1.0608,62.97,0.927,0.583,1.6281,39.02,0.775,0.351
1,2.2711881762337085,1.5441,45.49,0.844,0.359,1.6617,45.89,0.823,0.302
2,1.8206283531308602,1.9434,33.58,0.666,0.252,2.0636,14.64,0.587,0.085
3,1.9753230122255168,1.7803,27.84,0.688,0.193,2.0514,14.01,0.611,0.087
4,1.9242891662864274,1.7037,36.84,0.757,0.28,1.7918,37.61,0.71,0.264
5,1.90175547864702,1.7357,35.16,0.728,0.275,1.7476,35.09,0.715,0.25
6,1.8930953841482867,1.8823,34.07,0.687,0.233,1.9676,24.44,0.651,0.186
7,1.8868769449999683,1.6502,37.45,0.759,0.294,1.6569,40.53,0.76,0.325
8,1.8515305433649316,1.6728,37.56,0.749,0.304,1.6145,39.3,0.739,0.296
9,1.816037002643804,1.6157,37.92,0.769,0.299,1.6246,40.82,0.763,0.266
10,1.7738082861814874,1.564,37.88,0.804,0.349,1.7009,37.68,0.769,0.321
11,1.7576819038732931,1.5579,39.91,0.794,0.351,1.5854,42.95,0.801,0.367
12,1.7533131968163247,1.5332,36.57,0.796,0.332,1.6696,36.98,0.769,0.328
13,1.7140203329824633,1.5068,41.08,0.797,0.373,1.6779,35.84,0.792,0.292
14,1.5964924250879595,1.2631,51.53,0.873,0.507,1.5663,43.33,0.862,0.368
15,1.4332143542587117,0.9489,65.49,0.931,0.646,1.0997,60.19,0.9,0.551
16,1.3252165612354074,0.9045,67.43,0.936,0.667,1.2057,57.22,0.89,0.521
17,1.2503897420608014,0.8599,70.72,0.945,0.703,1.0097,62.13,0.912,0.554
18,1.1975109540860713,0.7843,71.45,0.954,0.716,1.0726,59.99,0.914,0.531
19,1.1398663525085724,0.7059,74.24,0.959,0.744,0.9606,64.08,0.925,0.59
20,1.0837466105765339,0.6987,75.31,0.962,0.752,0.9685,64.46,0.925,0.591
21,1.0362388326062097,0.7465,72.59,0.954,0.724,0.8315,68.29,0.939,0.645
22,0.9785668917240635,0.6301,77.27,0.969,0.774,1.0338,64.9,0.925,0.586
23,0.8972998297769964,0.5563,79.63,0.977,0.787,0.827,71.62,0.952,0.657
24,0.8289348740517879,0.4778,83.77,0.981,0.835,0.6191,76.54,0.966,0.708
25,0.7375797127844185,0.3635,87.63,0.988,0.875,0.5082,82.68,0.976,0.78
26,0.677445007962138,0.3348,88.05,0.99,0.878,0.4213,84.26,0.982,0.801
27,0.639950195681237,0.3447,87.78,0.99,0.875,0.5809,80.48,0.968,0.743
28,0.599249256180606,0.3337,88.49,0.99,0.881,0.4723,83.04,0.982,0.789
29,0.5635501614715036,0.3136,89.33,0.992,0.893,0.5598,80.67,0.976,0.764
30,0.5375275522150019,0.2498,91.73,0.994,0.916,0.4106,84.48,0.984,0.804
31,0.512801640883996,0.2516,91.65,0.994,0.916,0.3973,85.79,0.985,0.823
32,0.4915744088136167,0.2225,92.56,0.995,0.925,0.3317,88.13,0.989,0.841
33,0.4692277383847049,0.2158,92.92,0.995,0.928,0.3381,88.19,0.989,0.851
34,0.4520401105711964,0.2225,92.67,0.995,0.925,0.3981,85.93,0.987,0.824
35,0.43345514519347084,0.2116,93.1,0.996,0.93,0.2925,89.33,0.991,0.864
36,0.424944701374218,0.2002,93.51,0.996,0.934,0.3864,85.14,0.987,0.82
37,0.4133116169215103,0.2292,92.19,0.996,0.921,0.3753,86.66,0.987,0.824
38,0.3985608663663642,0.1825,93.99,0.997,0.939,0.2714,90.4,0.992,0.875
39,0.3838211988836634,0.1745,94.19,0.997,0.941,0.3009,88.85,0.99,0.856
40,0.3671357438609164,0.1677,94.57,0.997,0.945,0.2769,89.4,0.991,0.862
41,0.3587533127663383,0.1678,94.59,0.997,0.945,0.2744,90.1,0.991,0.871
42,0.3518676201822937,0.165,94.74,0.997,0.947,0.2964,88.93,0.99,0.859
43,0.34622774577589444,0.1582,94.82,0.997,0.947,0.2461,91.05,0.993,0.882
44,0.3426612007254768,0.1549,94.95,0.997,0.949,0.2452,91.41,0.993,0.886
45,0.3375058104167275,0.1525,95.12,0.997,0.95,0.2665,90.23,0.992,0.87
46,0.3290158865913268,0.1554,94.97,0.997,0.949,0.2654,90.42,0.992,0.873
47,0.32746631299616186,0.1504,95.13,0.997,0.95,0.2557,90.7,0.992,0.876
48,0.3246524672568058,0.1506,95.23,0.997,0.951,0.2621,90.54,0.992,0.874
49,0.324539913685732,0.1495,95.2,0.997,0.951,0.2607,90.59,0.992,0.874
