epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0582741545947223,1.8646,29.22,0.759,0.186,1.9648,19.71,0.776,0.16
1,2.2397026584139863,2.083,16.75,0.474,0.049,2.1382,19.47,0.558,0.041
2,2.0369178454081216,2.0108,21.16,0.59,0.18,2.0416,21.16,0.574,0.126
3,1.9828804624550658,1.9756,23.93,0.637,0.17,1.8607,30.71,0.688,0.221
4,1.9309032800804329,1.8515,28.74,0.72,0.234,1.6134,39.59,0.756,0.284
5,1.8417432321015226,1.9049,29.14,0.692,0.228,1.5898,39.24,0.77,0.26
6,1.7171899417822507,1.5692,40.16,0.789,0.393,1.4112,42.41,0.812,0.355
7,1.5337141290787728,1.1935,53.04,0.88,0.524,1.1361,57.9,0.894,0.513
8,1.3626698326039057,1.0547,61.48,0.906,0.612,0.9765,65.66,0.919,0.623
9,1.2019142240392693,0.7979,69.72,0.946,0.697,0.7549,72.54,0.949,0.687
10,1.0423440468567673,0.7616,72.27,0.954,0.715,0.8135,71.02,0.949,0.691
11,0.9254375373590804,0.613,77.09,0.968,0.765,0.6362,76.99,0.963,0.735
12,0.8087167179071775,0.5585,80.29,0.975,0.802,0.6188,77.26,0.968,0.744
13,0.7367020512139926,0.555,79.33,0.976,0.792,0.5875,76.52,0.974,0.734
14,0.6697315258044069,0.4627,82.67,0.983,0.817,0.4368,84.29,0.982,0.798
15,0.6331271209276705,0.408,85.5,0.985,0.852,0.4474,82.66,0.981,0.8
16,0.6037645992625998,0.4382,83.9,0.986,0.837,0.4265,83.97,0.983,0.816
17,0.5698972950058598,0.3919,85.66,0.987,0.855,0.4283,85.02,0.981,0.822
18,0.5443641244831051,0.372,86.35,0.989,0.867,0.3751,85.38,0.985,0.813
19,0.5273444329431834,0.328,88.9,0.991,0.888,0.3709,85.71,0.985,0.829
20,0.5040913340118196,0.3159,89.25,0.991,0.892,0.3679,85.52,0.989,0.822
21,0.47360200870207986,0.2889,90.18,0.992,0.9,0.3614,86.5,0.984,0.836
22,0.46181909627811885,0.3053,89.49,0.992,0.891,0.3554,86.5,0.988,0.843
23,0.4448117406297756,0.2974,89.67,0.992,0.894,0.3354,87.59,0.987,0.856
24,0.42709238912683234,0.2738,90.02,0.994,0.898,0.3184,88.14,0.989,0.848
25,0.41600910211015346,0.2301,92.19,0.995,0.921,0.2619,90.1,0.993,0.871
26,0.3976563097488496,0.2276,92.16,0.994,0.921,0.2409,90.4,0.991,0.877
27,0.3943404019893711,0.2852,89.65,0.993,0.894,0.2777,89.12,0.991,0.857
28,0.37533136342375084,0.2747,90.16,0.994,0.898,0.3254,87.84,0.988,0.837
29,0.36814640854956,0.2227,92.46,0.995,0.925,0.3324,87.16,0.99,0.842
30,0.3534375535704756,0.2059,93.09,0.996,0.931,0.2807,88.99,0.991,0.855
31,0.3396301788668479,0.2184,92.85,0.995,0.928,0.2608,90.3,0.991,0.878
32,0.33529681934037087,0.1983,93.31,0.996,0.932,0.3096,87.97,0.991,0.845
33,0.3286676490178672,0.1782,94.07,0.997,0.94,0.2395,90.95,0.993,0.883
34,0.3125491313716417,0.2079,92.68,0.996,0.924,0.3116,87.87,0.991,0.85
35,0.3034732250169614,0.1809,93.88,0.997,0.937,0.2406,90.59,0.993,0.879
36,0.30124176325657037,0.2014,93.31,0.996,0.932,0.3087,88.13,0.991,0.85
37,0.29342763304817204,0.1921,93.74,0.996,0.936,0.2403,90.81,0.993,0.887
38,0.2856591460044666,0.1667,94.57,0.997,0.945,0.2247,91.46,0.994,0.889
39,0.2725943600805643,0.1732,94.5,0.997,0.944,0.2616,90.05,0.991,0.873
40,0.2661598172292487,0.1743,94.41,0.997,0.943,0.2421,91.38,0.993,0.893
41,0.2560415032009284,0.1873,93.78,0.997,0.935,0.2511,90.56,0.993,0.883
42,0.2545073190870892,0.1541,94.95,0.997,0.948,0.2635,89.89,0.992,0.874
43,0.251371683452719,0.15,95.03,0.998,0.949,0.2164,92.06,0.993,0.899
44,0.24311312247988998,0.1479,95.18,0.998,0.951,0.2125,91.71,0.994,0.894
45,0.2429800907877611,0.1498,95.09,0.998,0.95,0.2345,91.3,0.993,0.889
46,0.23529889536053478,0.1437,95.29,0.998,0.952,0.2274,91.58,0.994,0.892
47,0.23404746799058812,0.1492,95.19,0.998,0.951,0.2212,91.73,0.994,0.894
48,0.2313897119147376,0.1454,95.28,0.998,0.952,0.2275,91.71,0.993,0.893
49,0.22744940851537984,0.1452,95.31,0.998,0.952,0.2247,91.8,0.994,0.895
