epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7965305537628613,1.1586,55.54,0.916,0.468,1.8044,31.09,0.747,0.256
1,1.2873414699122203,0.4987,83.0,0.982,0.823,0.5749,78.83,0.972,0.737
2,0.8190298277697117,0.3873,86.04,0.987,0.862,0.5249,79.76,0.975,0.721
3,0.6486634389102031,0.346,88.53,0.989,0.883,0.4618,83.39,0.98,0.77
4,0.5336829254524313,0.3549,87.58,0.989,0.871,0.6413,76.54,0.966,0.719
5,0.5186808625999972,0.3166,89.06,0.991,0.889,0.4177,84.26,0.984,0.801
6,0.4868381132753633,0.3069,89.55,0.992,0.892,0.4389,83.75,0.982,0.787
7,0.518676597866223,0.3122,89.37,0.991,0.891,0.3718,87.26,0.987,0.828
8,0.5743875685784456,0.3151,89.3,0.991,0.891,0.5534,79.58,0.972,0.752
9,0.5919560790061951,0.2995,90.04,0.992,0.898,0.4284,84.78,0.982,0.808
10,0.5525338411759987,0.3587,87.25,0.99,0.872,0.6504,75.34,0.971,0.716
11,0.5865784208122775,0.3793,86.44,0.988,0.863,0.4678,82.2,0.981,0.792
12,0.5905911485068231,0.3355,88.39,0.991,0.882,0.4949,81.94,0.978,0.768
13,0.604625981703079,0.3419,88.83,0.99,0.884,0.5053,81.97,0.978,0.781
14,0.5972772049818108,0.2774,90.79,0.993,0.907,0.4723,82.0,0.978,0.777
15,0.5750905680570672,0.3422,88.02,0.99,0.879,0.4012,84.98,0.985,0.817
16,0.6302530735516719,0.3316,88.57,0.99,0.884,0.4054,85.43,0.984,0.815
17,0.6254156607089283,0.2978,89.89,0.991,0.899,0.4465,83.18,0.981,0.788
18,0.569089960065677,0.338,88.0,0.991,0.877,0.4632,82.65,0.982,0.787
19,0.5710014662296652,0.4427,84.75,0.984,0.841,0.5124,79.9,0.98,0.765
20,0.618951797914162,0.3122,89.1,0.991,0.889,0.4325,83.36,0.981,0.78
21,0.5670989078583477,0.3169,89.0,0.991,0.887,0.5165,81.46,0.977,0.776
22,0.5685079991817474,0.3337,88.6,0.99,0.881,0.5043,81.32,0.978,0.77
23,0.5169781568667872,0.2607,91.08,0.993,0.909,0.4813,82.36,0.976,0.771
24,0.4969475271461679,0.272,90.68,0.993,0.905,0.4363,84.16,0.982,0.807
25,0.4832339314676875,0.2646,90.6,0.994,0.905,0.451,83.99,0.982,0.793
26,0.4373981963387496,0.2411,91.61,0.995,0.914,0.3947,85.68,0.985,0.81
27,0.41532020131461056,0.2298,92.29,0.995,0.922,0.4124,84.07,0.982,0.785
28,0.4076603067864617,0.194,93.63,0.996,0.936,0.3698,85.99,0.986,0.826
29,0.42042351240734405,0.1934,93.61,0.996,0.935,0.3691,86.72,0.986,0.818
30,0.3702956686774604,0.1912,93.59,0.996,0.935,0.385,85.95,0.986,0.826
31,0.3658086771158863,0.1761,94.38,0.997,0.943,0.375,85.5,0.985,0.816
32,0.33767776394919524,0.1726,94.3,0.997,0.942,0.3599,87.07,0.986,0.833
33,0.32760829976994355,0.1848,93.83,0.997,0.936,0.3452,87.6,0.987,0.822
34,0.3141735241138678,0.1526,94.98,0.998,0.949,0.2581,90.86,0.993,0.872
35,0.28737251739278974,0.1378,95.68,0.998,0.956,0.2701,90.45,0.992,0.871
36,0.27765463249717687,0.1327,95.77,0.998,0.957,0.2396,91.41,0.993,0.884
37,0.2718779223857166,0.1244,96.02,0.998,0.96,0.2644,90.89,0.992,0.877
38,0.25550923684089305,0.13,95.86,0.998,0.958,0.2765,90.59,0.992,0.86
39,0.25254967422794095,0.1197,96.14,0.998,0.961,0.301,89.66,0.99,0.846
40,0.2367271017685211,0.1108,96.62,0.999,0.966,0.2456,91.63,0.993,0.882
41,0.23585138250169135,0.1069,96.69,0.999,0.967,0.2297,91.65,0.994,0.881
42,0.22209471968009317,0.1092,96.47,0.999,0.964,0.2473,91.57,0.992,0.881
43,0.21816363040920642,0.1022,96.81,0.999,0.968,0.2269,91.8,0.994,0.886
44,0.215286248343454,0.1019,96.85,0.999,0.968,0.2406,91.52,0.993,0.881
45,0.20832120482441333,0.0977,96.91,0.999,0.969,0.2273,91.9,0.994,0.888
46,0.20688640535306588,0.0989,97.02,0.999,0.97,0.2359,91.77,0.994,0.885
47,0.2052212731658126,0.0981,97.02,0.999,0.97,0.2317,91.93,0.994,0.887
48,0.2059257213803504,0.0973,97.12,0.999,0.971,0.2227,92.28,0.994,0.892
49,0.20269964613931643,0.0969,97.11,0.999,0.971,0.2253,92.23,0.994,0.891
