epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8317948073791943,1.2365,58.09,0.913,0.477,1.8646,33.52,0.719,0.271
1,1.553516065902847,0.6878,75.11,0.967,0.74,0.9714,67.69,0.911,0.575
2,0.8859525447269138,0.4814,83.38,0.981,0.824,0.8717,73.55,0.92,0.668
3,0.6492566080402127,0.365,86.7,0.991,0.859,0.5965,79.55,0.968,0.719
4,0.5361358167456208,0.4177,84.78,0.987,0.835,0.8894,72.48,0.943,0.629
5,0.4892212152481079,0.2801,90.63,0.993,0.905,0.4727,82.65,0.975,0.761
6,0.48832578453228626,0.4047,85.83,0.99,0.858,0.7468,75.51,0.962,0.697
7,0.4787332434877217,0.2613,91.15,0.994,0.908,0.5067,81.71,0.975,0.746
8,0.502159902303339,0.2437,92.06,0.995,0.921,0.4089,85.41,0.981,0.808
9,0.5165611235357874,0.2948,90.2,0.992,0.898,0.6077,78.19,0.959,0.725
10,0.5131038056431915,0.3186,88.61,0.992,0.88,0.5885,79.01,0.973,0.723
11,0.5350619991906256,0.2534,91.31,0.994,0.911,0.4677,82.76,0.977,0.769
12,0.5155636522409727,0.3081,89.83,0.992,0.895,0.3809,86.8,0.982,0.814
13,0.5348056646988546,0.2785,90.76,0.993,0.905,0.5601,79.79,0.966,0.73
14,0.5152885289929754,0.2865,89.8,0.993,0.893,0.4327,85.09,0.98,0.782
15,0.5111388823540091,0.2643,91.19,0.994,0.909,0.4848,83.88,0.969,0.775
16,0.5032464287263884,0.2486,91.47,0.995,0.914,0.4512,84.0,0.979,0.777
17,0.48261417159073644,0.2484,91.48,0.994,0.915,0.5105,81.83,0.975,0.759
18,0.5507549062478456,0.2736,90.88,0.993,0.908,0.4675,83.17,0.978,0.776
19,0.49864986688970664,0.2569,91.36,0.994,0.912,0.4925,83.53,0.969,0.767
20,0.49787930726147384,0.334,88.6,0.991,0.881,0.7608,73.35,0.954,0.664
21,0.47848875209581937,0.2643,91.07,0.994,0.908,0.5272,79.88,0.974,0.751
22,0.5353731131382126,0.3371,87.81,0.992,0.87,0.6765,75.65,0.966,0.677
23,0.45520928223356066,0.2364,91.76,0.995,0.916,0.3915,85.88,0.981,0.786
24,0.428627380578638,0.2186,92.88,0.995,0.928,0.4622,83.61,0.974,0.763
25,0.40605901342501743,0.1903,93.52,0.996,0.935,0.3417,87.81,0.986,0.832
26,0.3870438450960804,0.1955,93.45,0.996,0.934,0.4151,85.35,0.982,0.793
27,0.3786475868533841,0.169,94.55,0.997,0.945,0.3742,86.96,0.983,0.796
28,0.41569310641117235,0.2312,92.32,0.995,0.922,0.4698,83.99,0.975,0.777
29,0.3520773308311435,0.1612,94.62,0.997,0.945,0.3557,87.35,0.986,0.824
30,0.3347663177217511,0.1745,94.24,0.997,0.941,0.3837,86.18,0.986,0.818
31,0.32334652189299357,0.1735,94.15,0.997,0.94,0.3834,85.69,0.986,0.801
32,0.30745887102411806,0.1534,95.04,0.998,0.95,0.3299,88.77,0.989,0.847
33,0.28580901476976683,0.1493,94.99,0.998,0.949,0.3087,88.54,0.99,0.838
34,0.2721727997493401,0.1312,95.86,0.998,0.958,0.3461,88.03,0.988,0.831
35,0.25786387470128724,0.128,95.95,0.998,0.959,0.3324,87.98,0.988,0.828
36,0.24730920877388055,0.1231,96.09,0.998,0.96,0.2911,89.58,0.99,0.855
37,0.2315207744459454,0.1217,96.04,0.998,0.96,0.314,88.95,0.989,0.848
38,0.2231622261109112,0.1154,96.35,0.999,0.963,0.2837,89.94,0.99,0.858
39,0.21585123884163315,0.1155,96.25,0.999,0.962,0.3228,89.12,0.989,0.841
40,0.21073392494548138,0.1058,96.76,0.999,0.967,0.3293,88.69,0.989,0.845
41,0.20198142056842502,0.1021,96.81,0.999,0.968,0.3164,88.68,0.989,0.842
42,0.20110578491962214,0.1039,96.82,0.999,0.968,0.2954,89.55,0.991,0.853
43,0.19171463783910805,0.0973,96.96,0.999,0.969,0.2871,89.94,0.991,0.856
44,0.1895270478382385,0.0983,96.98,0.999,0.969,0.3043,89.66,0.99,0.854
45,0.18603400516209842,0.0953,97.05,0.999,0.97,0.2982,89.58,0.99,0.852
46,0.18170998352680276,0.0947,97.08,0.999,0.97,0.3017,89.58,0.99,0.852
47,0.17797777249658708,0.0944,97.12,0.999,0.971,0.3009,89.86,0.99,0.857
48,0.1751348161868912,0.094,97.15,0.999,0.971,0.3074,89.4,0.99,0.851
49,0.17876031174719761,0.0939,97.12,0.999,0.971,0.3019,89.69,0.99,0.854
