epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0412135192816208,1.8368,37.47,0.747,0.276,1.8927,39.54,0.689,0.291
1,1.6980738356816683,0.9354,68.01,0.931,0.677,1.0804,61.98,0.889,0.542
2,1.0933777243970968,0.5965,78.51,0.974,0.783,0.602,76.47,0.971,0.707
3,0.8315617930974891,0.6286,76.18,0.975,0.742,0.7719,73.46,0.948,0.662
4,0.699422526273796,0.6265,76.72,0.973,0.746,0.6223,77.8,0.966,0.722
5,0.6494424171584974,0.5296,81.3,0.98,0.807,0.7059,73.74,0.962,0.686
6,0.6302394864799308,0.5806,78.86,0.975,0.785,0.652,75.9,0.968,0.713
7,0.6488848135625715,0.4593,83.38,0.982,0.828,0.5441,81.05,0.975,0.77
8,0.6894907098022296,0.4177,85.4,0.985,0.85,0.4544,84.32,0.974,0.79
9,0.6804488772968594,0.4019,86.33,0.987,0.857,0.4658,82.99,0.979,0.777
10,0.6512454692408335,0.5623,79.98,0.978,0.788,0.7549,73.61,0.961,0.681
11,0.6524260588687101,0.4377,84.9,0.984,0.846,0.4675,83.42,0.978,0.78
12,0.677058215621564,0.3965,85.9,0.985,0.858,0.5252,81.45,0.967,0.761
13,0.6947583899223547,0.4928,82.33,0.981,0.811,0.6436,77.88,0.963,0.715
14,0.6933407620560351,0.5748,80.19,0.977,0.797,0.6773,73.09,0.959,0.688
15,0.7059864697696494,0.4965,82.28,0.979,0.819,0.5783,79.17,0.966,0.752
16,0.7421610106667169,0.438,84.81,0.984,0.844,0.582,79.0,0.972,0.742
17,0.7799803224398936,0.3952,85.85,0.985,0.858,0.4209,84.24,0.982,0.802
18,0.7183147647397982,0.5366,80.42,0.978,0.806,0.6247,77.17,0.965,0.725
19,0.649672601720412,0.4331,85.14,0.983,0.853,0.4411,83.74,0.98,0.802
20,0.6392587937897057,0.4711,83.29,0.985,0.829,0.4852,81.43,0.975,0.765
21,0.6502481568202698,0.4852,82.52,0.981,0.82,0.6389,76.41,0.965,0.708
22,0.6117105406822918,0.3935,86.77,0.987,0.867,0.4347,83.67,0.981,0.798
23,0.600278081653787,0.3954,86.04,0.987,0.856,0.453,83.03,0.978,0.78
24,0.5451188308300732,0.433,85.35,0.987,0.852,0.4608,83.72,0.974,0.78
25,0.5495848494896786,0.305,89.29,0.991,0.892,0.4642,83.83,0.974,0.784
26,0.5226635814999505,0.2951,89.66,0.992,0.897,0.3792,86.2,0.985,0.812
27,0.4940130380417803,0.3473,87.63,0.989,0.874,0.4054,84.89,0.984,0.81
28,0.48865834178684425,0.2918,90.05,0.992,0.899,0.3665,86.36,0.985,0.821
29,0.4578718206436514,0.3125,89.52,0.991,0.894,0.5291,79.11,0.977,0.754
30,0.4456669808291703,0.2766,90.58,0.992,0.906,0.3877,84.92,0.985,0.801
31,0.4203685858695627,0.2777,90.39,0.993,0.903,0.3957,85.28,0.983,0.816
32,0.4012607263146544,0.2308,92.27,0.995,0.922,0.3576,87.05,0.987,0.831
33,0.3866304369281522,0.2517,91.34,0.994,0.912,0.3882,85.66,0.984,0.807
34,0.366263691684325,0.2233,92.57,0.995,0.925,0.3584,86.5,0.987,0.824
35,0.3513349965750742,0.2032,93.34,0.996,0.933,0.3095,87.86,0.99,0.838
36,0.344724651720884,0.194,93.43,0.996,0.934,0.262,90.37,0.992,0.875
37,0.32768117609641534,0.1936,93.43,0.996,0.934,0.3275,87.72,0.988,0.84
38,0.31564183061500245,0.1757,94.07,0.997,0.94,0.2514,90.76,0.992,0.877
39,0.30873095185207805,0.1787,94.08,0.997,0.94,0.2819,89.34,0.991,0.857
40,0.2967968340829122,0.1686,94.5,0.997,0.945,0.284,89.03,0.991,0.853
41,0.2919044659720908,0.1686,94.27,0.997,0.942,0.2918,88.95,0.99,0.848
42,0.28298602891054087,0.1689,94.44,0.997,0.944,0.3117,88.76,0.99,0.849
43,0.2728876777046876,0.1615,94.68,0.997,0.946,0.3067,88.47,0.989,0.844
44,0.2708024253948129,0.1583,94.82,0.997,0.948,0.3069,88.3,0.989,0.844
45,0.26333611764067366,0.1563,94.97,0.997,0.949,0.2822,89.25,0.991,0.854
46,0.2600386818107083,0.1535,94.95,0.997,0.949,0.2796,89.37,0.991,0.857
47,0.2552852713161235,0.1507,95.06,0.998,0.95,0.277,89.55,0.991,0.86
48,0.2567260769202555,0.1505,95.07,0.998,0.95,0.2808,89.36,0.991,0.858
49,0.2577051534283933,0.1507,95.05,0.998,0.95,0.2785,89.45,0.991,0.859
