epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8322882355327674,1.1988,59.46,0.924,0.522,1.7612,41.62,0.733,0.338
1,2.0894897714737923,1.3952,50.39,0.856,0.47,1.4623,44.47,0.835,0.369
2,1.5141280498555911,0.8966,63.91,0.944,0.576,0.998,63.59,0.91,0.512
3,1.1034948993541007,0.5941,78.24,0.976,0.754,0.7718,73.57,0.935,0.621
4,0.8066940402685527,0.3934,86.82,0.988,0.862,0.6586,76.98,0.957,0.682
5,0.6587657494250164,0.3832,86.47,0.989,0.863,0.5599,79.84,0.962,0.726
6,0.5797925181820401,0.3073,89.53,0.993,0.891,0.4777,83.12,0.981,0.758
7,0.5194566468290958,0.2358,92.13,0.995,0.919,0.4251,84.37,0.981,0.789
8,0.4757756670956971,0.2275,92.45,0.995,0.924,0.4001,85.74,0.981,0.8
9,0.44666205245106877,0.2679,90.25,0.995,0.896,0.4776,83.2,0.979,0.764
10,0.4265731862048522,0.2418,92.02,0.995,0.918,0.4519,83.96,0.983,0.789
11,0.39548367101659054,0.1985,93.67,0.996,0.935,0.3825,86.59,0.986,0.795
12,0.3778675144611721,0.1836,93.96,0.997,0.938,0.3292,87.79,0.987,0.817
13,0.36503942484389923,0.1858,93.94,0.997,0.939,0.4078,85.44,0.982,0.798
14,0.34632439596251346,0.1769,94.02,0.997,0.94,0.4214,86.7,0.986,0.812
15,0.33761748895850235,0.2026,93.41,0.996,0.933,0.4782,81.83,0.983,0.783
16,0.3211436479963282,0.1561,95.06,0.998,0.949,0.3052,89.34,0.991,0.845
17,0.31137450127511895,0.1927,93.42,0.997,0.933,0.3938,86.2,0.987,0.818
18,0.30306298624871025,0.1412,95.4,0.998,0.953,0.2673,90.23,0.992,0.866
19,0.28831832217700165,0.1316,95.84,0.998,0.958,0.3208,88.65,0.989,0.843
20,0.2833641673635197,0.1603,94.71,0.998,0.947,0.4001,85.77,0.986,0.812
21,0.27164812821320733,0.1255,95.96,0.998,0.959,0.2907,89.77,0.989,0.849
22,0.2608601593789661,0.124,96.14,0.998,0.96,0.2762,90.05,0.992,0.861
23,0.25519764203057493,0.1371,95.59,0.998,0.955,0.3333,88.14,0.99,0.836
24,0.2490890802394959,0.1253,95.95,0.998,0.959,0.3182,89.67,0.99,0.858
25,0.2403006689976834,0.1278,95.73,0.998,0.957,0.3421,88.69,0.989,0.849
26,0.23216546408324687,0.1209,96.09,0.999,0.96,0.2949,89.06,0.993,0.863
27,0.2334750604725653,0.1139,96.4,0.999,0.963,0.2478,91.17,0.993,0.876
28,0.22299164078301853,0.1131,96.34,0.999,0.963,0.2858,90.3,0.993,0.865
29,0.21267106234493222,0.0969,97.01,0.999,0.969,0.2755,90.43,0.992,0.862
30,0.20901105506178727,0.1031,96.72,0.999,0.967,0.333,88.69,0.991,0.849
31,0.20202291105276368,0.1142,96.24,0.999,0.962,0.2619,91.2,0.993,0.88
32,0.19756341809039688,0.1001,96.92,0.999,0.969,0.2622,90.72,0.994,0.878
33,0.19427185235912228,0.0996,96.88,0.999,0.969,0.2647,90.27,0.992,0.863
34,0.18207979001986083,0.0883,97.2,0.999,0.972,0.2753,90.29,0.992,0.869
35,0.1788344385776682,0.0837,97.44,0.999,0.974,0.267,90.75,0.993,0.879
36,0.1712887387148582,0.0818,97.46,0.999,0.974,0.2153,92.25,0.995,0.896
37,0.16656463485090964,0.086,97.27,0.999,0.973,0.2618,90.98,0.993,0.876
38,0.15957216871067828,0.0854,97.31,0.999,0.973,0.2412,91.71,0.995,0.894
39,0.15807083078182727,0.0858,97.3,0.999,0.973,0.2692,91.02,0.993,0.877
40,0.15363685022305204,0.0781,97.65,0.999,0.976,0.2575,91.19,0.994,0.887
41,0.14592635003001994,0.0724,97.68,0.999,0.977,0.2241,92.15,0.995,0.896
42,0.1439663001726712,0.072,97.76,0.999,0.977,0.2583,91.33,0.994,0.883
43,0.13974329249058787,0.0693,97.86,0.999,0.978,0.2326,92.06,0.994,0.895
44,0.1384435119808361,0.0711,97.79,0.999,0.978,0.227,92.1,0.995,0.895
45,0.1353936802702672,0.0676,97.91,0.999,0.979,0.2412,91.69,0.994,0.891
46,0.13062317988511482,0.069,97.9,0.999,0.979,0.2556,91.38,0.994,0.889
47,0.1297902488299916,0.0679,97.95,0.999,0.979,0.2335,92.03,0.994,0.896
48,0.12996688560586037,0.0687,97.92,0.999,0.979,0.2406,91.93,0.994,0.895
49,0.13019734098305624,0.0675,97.95,0.999,0.979,0.2423,91.84,0.994,0.894
