epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.071637146764522,1.9831,26.85,0.548,0.175,2.0933,7.94,0.459,0.028
1,1.9616855237123778,1.524,39.37,0.828,0.355,1.3551,45.37,0.835,0.342
2,1.5241514770247095,1.0444,58.41,0.919,0.573,1.1012,58.39,0.911,0.544
3,1.2887260639410225,0.8748,66.66,0.942,0.645,0.8495,68.66,0.932,0.614
4,1.1692244406226728,0.7954,70.73,0.948,0.7,0.8319,70.87,0.94,0.673
5,1.1832019150685922,0.7705,71.05,0.952,0.701,0.8234,70.09,0.943,0.659
6,1.2189431722215611,0.9094,65.93,0.936,0.652,1.1178,64.28,0.919,0.6
7,1.2980755627584115,1.1638,56.83,0.9,0.559,1.0691,62.4,0.907,0.559
8,1.3983078303096963,1.0068,60.04,0.928,0.55,1.0376,64.99,0.914,0.563
9,1.650221736311055,1.4689,44.53,0.839,0.391,1.2209,54.11,0.879,0.45
10,1.6905824194709174,1.4176,45.6,0.852,0.372,1.3492,49.9,0.838,0.361
11,1.765471452431713,1.8869,26.14,0.712,0.228,1.8653,34.8,0.696,0.229
12,1.8877028527019692,1.5744,41.04,0.797,0.36,1.4794,45.82,0.79,0.355
13,1.9478566981048036,1.9514,22.27,0.637,0.177,1.9603,23.67,0.649,0.158
14,1.9688371377025577,1.978,20.94,0.617,0.16,1.9268,32.56,0.636,0.199
15,2.049411890318068,1.9457,24.5,0.659,0.154,1.7994,40.42,0.742,0.23
16,2.007724214800828,1.9421,26.37,0.661,0.19,2.0082,23.31,0.611,0.144
17,2.017060389621652,2.0679,18.06,0.578,0.132,1.8675,31.38,0.695,0.197
18,1.998676746011638,2.0164,20.56,0.634,0.13,1.7661,33.78,0.714,0.191
19,2.006439565754623,1.9329,28.77,0.682,0.194,1.7605,40.03,0.727,0.235
20,1.9771573286262347,1.8429,26.85,0.688,0.208,1.6578,40.08,0.788,0.298
21,1.9548176981562333,1.8898,23.71,0.656,0.163,1.7896,35.64,0.736,0.225
22,1.9639329601534836,1.8105,28.73,0.726,0.216,1.8086,31.64,0.733,0.251
23,1.9637983145473672,1.829,25.88,0.67,0.22,1.8393,29.91,0.71,0.224
24,1.971552407141212,1.8571,26.77,0.678,0.202,1.7549,36.35,0.751,0.268
25,1.9558789764376854,1.8269,27.56,0.692,0.238,1.6996,36.95,0.756,0.269
26,1.9538682570560373,1.8289,26.72,0.688,0.208,1.7046,40.14,0.759,0.282
27,1.9533907758246223,1.8657,25.61,0.658,0.199,1.7606,32.12,0.746,0.229
28,1.9518829721341031,1.8671,24.94,0.67,0.235,1.7163,34.52,0.743,0.262
29,1.9384611682068529,1.8364,27.22,0.695,0.239,1.7373,35.89,0.752,0.28
30,1.9372915003797133,1.854,27.14,0.68,0.248,1.8037,30.27,0.734,0.225
31,1.9381954910086214,1.8354,26.85,0.694,0.194,1.7739,32.51,0.75,0.236
32,1.9350010079445599,1.7857,28.54,0.7,0.243,1.7648,33.0,0.737,0.239
33,1.938655668883015,1.8582,24.67,0.658,0.202,1.873,27.38,0.675,0.179
34,1.9324457268063113,1.8322,26.4,0.683,0.201,1.8345,30.22,0.701,0.206
35,1.928044036137972,1.7924,29.52,0.706,0.233,1.7381,35.43,0.725,0.269
36,1.9172301661196371,1.7899,27.1,0.706,0.231,1.698,36.33,0.751,0.291
37,1.9181783233615135,1.7999,29.25,0.707,0.233,1.7717,34.71,0.722,0.262
38,1.9112328085110342,1.775,28.3,0.716,0.254,1.7358,33.95,0.741,0.276
39,1.9060775667643375,1.7519,30.67,0.731,0.235,1.6928,38.45,0.75,0.285
40,1.898142156841086,1.7482,29.58,0.729,0.264,1.6576,39.25,0.769,0.324
41,1.8959987669539966,1.7334,30.98,0.734,0.251,1.6161,41.91,0.771,0.33
42,1.8893720563367116,1.7365,31.7,0.734,0.28,1.6716,39.24,0.773,0.325
43,1.885253282759687,1.7134,32.6,0.739,0.283,1.6396,39.84,0.762,0.31
44,1.886472804083241,1.728,31.65,0.739,0.281,1.6432,39.32,0.777,0.33
45,1.8819315896617423,1.6966,32.79,0.751,0.282,1.6394,39.87,0.78,0.326
46,1.8781060623608048,1.7152,32.47,0.743,0.287,1.6195,40.64,0.78,0.333
47,1.879258572626457,1.6932,33.31,0.751,0.29,1.6381,39.81,0.774,0.322
48,1.8785223403422953,1.7034,32.97,0.749,0.283,1.6371,39.9,0.774,0.323
49,1.87937079830993,1.7026,32.98,0.748,0.287,1.6389,39.84,0.774,0.321
