epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.050801034469331,1.8751,26.59,0.716,0.154,1.9156,28.34,0.736,0.154
1,2.410365102111652,2.0857,16.01,0.653,0.034,2.0913,19.47,0.671,0.041
2,2.071905033562773,2.0684,15.14,0.586,0.033,2.1243,9.35,0.638,0.021
3,2.0673532041597538,2.0699,12.84,0.58,0.069,1.9964,32.05,0.616,0.174
4,2.071428688623572,2.068,16.01,0.501,0.034,2.0992,19.47,0.595,0.041
5,2.0689539482089354,2.0693,16.01,0.47,0.034,2.0742,19.47,0.588,0.041
6,2.068941642733885,2.0675,16.01,0.524,0.034,2.1101,19.47,0.666,0.041
7,2.06835688655949,2.069,16.01,0.504,0.034,2.0926,19.47,0.614,0.041
8,2.062554000526346,2.0246,25.36,0.657,0.135,2.0227,25.15,0.609,0.094
9,2.0205195911468996,2.043,21.81,0.596,0.139,1.994,25.9,0.641,0.157
10,1.8848687711582388,1.7342,33.89,0.708,0.232,1.5561,40.38,0.742,0.231
11,1.5877550577604642,1.4245,42.37,0.803,0.357,1.4293,42.13,0.794,0.305
12,1.4950162618818248,1.3675,45.69,0.818,0.438,1.3245,44.34,0.809,0.369
13,1.4642076787128244,1.3293,45.21,0.835,0.425,1.2962,44.84,0.83,0.364
14,1.4212195621169168,1.2881,47.82,0.847,0.447,1.2775,50.09,0.829,0.405
15,1.389069774031212,1.3114,48.91,0.851,0.474,1.2566,50.59,0.849,0.45
16,1.3488288308129943,1.3209,48.76,0.856,0.496,1.181,50.83,0.875,0.494
17,1.331397262311751,1.3337,49.11,0.85,0.477,1.274,51.63,0.867,0.472
18,1.2845760870150769,1.1308,56.41,0.897,0.563,1.1241,58.35,0.904,0.541
19,1.2529361880381047,1.0318,61.06,0.911,0.612,1.0239,61.63,0.911,0.577
20,1.2064233157369826,1.0239,62.45,0.915,0.623,0.9818,63.45,0.927,0.586
21,1.1822334188286976,0.9899,61.96,0.921,0.612,0.9883,60.81,0.921,0.563
22,1.1341267165103694,0.8759,67.32,0.938,0.665,0.8667,68.36,0.939,0.65
23,1.0915880688202424,0.8969,66.59,0.939,0.666,0.9145,68.26,0.933,0.651
24,1.016608757464262,0.7429,73.01,0.959,0.729,0.7925,71.04,0.95,0.669
25,0.9916311517411236,0.7743,71.93,0.954,0.712,0.9026,67.91,0.942,0.645
26,0.9417443308565352,0.7115,73.89,0.961,0.731,0.7082,75.1,0.958,0.703
27,0.9051103128327264,0.6619,75.59,0.964,0.744,0.7616,73.38,0.951,0.704
28,0.8558127704914326,0.6396,76.66,0.967,0.761,0.7078,74.58,0.953,0.724
29,0.81043462759705,0.5615,79.3,0.973,0.795,0.7613,72.6,0.951,0.7
30,0.7836513847219474,0.5651,79.49,0.976,0.792,0.6144,76.69,0.965,0.752
31,0.7660226742319736,0.4737,83.09,0.981,0.831,0.592,77.53,0.968,0.747
32,0.730538918713515,0.4707,82.47,0.982,0.823,0.5795,77.78,0.972,0.741
33,0.713370135447885,0.4579,83.53,0.983,0.835,0.5821,77.75,0.969,0.752
34,0.6865881381282669,0.4862,81.74,0.982,0.821,0.6265,76.17,0.967,0.741
35,0.6619923884402894,0.4311,84.89,0.984,0.847,0.5679,77.04,0.969,0.745
36,0.6455265499357682,0.401,85.63,0.986,0.855,0.505,79.82,0.974,0.769
37,0.6405773890808919,0.4469,83.44,0.984,0.827,0.6431,76.31,0.968,0.719
38,0.6157184103270158,0.4226,85.15,0.985,0.851,0.5303,79.76,0.976,0.76
39,0.5985328358027243,0.4141,85.47,0.986,0.854,0.4881,80.18,0.978,0.772
40,0.5803475589307833,0.3392,87.92,0.989,0.878,0.4621,81.83,0.98,0.789
41,0.5694935169591698,0.3822,86.54,0.986,0.864,0.5764,77.99,0.973,0.747
42,0.5594389813027502,0.3458,87.7,0.988,0.876,0.5131,80.26,0.975,0.775
43,0.5481494233599701,0.3397,87.91,0.989,0.878,0.4908,80.36,0.979,0.773
44,0.5370528504626298,0.3373,87.93,0.989,0.877,0.4981,80.53,0.978,0.773
45,0.5327045780249394,0.3357,88.5,0.989,0.884,0.5126,80.12,0.976,0.769
46,0.527382148636712,0.3368,88.18,0.989,0.88,0.5006,80.23,0.977,0.773
47,0.52250255542844,0.3371,88.32,0.989,0.882,0.5065,80.18,0.977,0.773
48,0.5153905036842524,0.3305,88.44,0.989,0.883,0.5019,80.34,0.977,0.775
49,0.5164170049958758,0.3297,88.47,0.99,0.884,0.4973,80.44,0.977,0.775
