epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0432682319353987,1.8782,24.92,0.729,0.162,1.9513,29.64,0.718,0.196
1,2.280378184438179,1.9953,19.96,0.615,0.127,1.9146,35.26,0.693,0.205
2,1.9414068663419362,1.8387,21.69,0.698,0.203,1.6685,37.66,0.78,0.286
3,1.8245177875710217,1.5051,42.59,0.813,0.355,1.3127,49.06,0.843,0.341
4,1.4661424247594717,1.1163,58.13,0.904,0.548,1.1815,54.84,0.888,0.455
5,1.2367124657904376,0.8297,68.52,0.945,0.674,0.8131,70.12,0.941,0.646
6,1.0696683579448303,0.8225,69.12,0.95,0.676,0.7481,72.65,0.954,0.669
7,0.9554076173399512,0.6672,74.51,0.963,0.736,0.6786,73.28,0.958,0.697
8,0.8479418258940448,0.6766,76.25,0.967,0.762,0.7347,72.16,0.965,0.687
9,0.7573993564933859,0.5137,81.2,0.98,0.804,0.4768,81.45,0.978,0.756
10,0.6929967849912609,0.4524,83.63,0.986,0.832,0.4356,84.62,0.982,0.812
11,0.6394037128456177,0.3893,85.6,0.988,0.85,0.3594,86.83,0.986,0.822
12,0.5985515829589632,0.3397,88.46,0.99,0.882,0.3262,87.57,0.988,0.84
13,0.5644367050953664,0.298,90.03,0.992,0.901,0.374,85.41,0.986,0.82
14,0.5350314730704899,0.2599,91.31,0.993,0.912,0.3028,88.8,0.99,0.856
15,0.5098462383593282,0.2898,90.12,0.992,0.898,0.4345,81.98,0.985,0.788
16,0.4938343518203305,0.2584,90.91,0.994,0.907,0.2485,91.0,0.993,0.879
17,0.46784269296994774,0.3134,89.01,0.992,0.89,0.3581,86.06,0.986,0.825
18,0.4551135039884984,0.2322,92.15,0.995,0.921,0.2631,89.64,0.991,0.865
19,0.4363676112505697,0.2236,92.58,0.995,0.925,0.3056,88.5,0.989,0.863
20,0.4219509473197349,0.2113,92.89,0.995,0.928,0.2481,90.89,0.992,0.88
21,0.4145550289621917,0.2336,92.33,0.995,0.922,0.32,87.53,0.987,0.846
22,0.4043490776398276,0.2205,92.51,0.996,0.923,0.2954,88.77,0.992,0.857
23,0.3910532293300475,0.2249,92.78,0.995,0.926,0.2746,89.07,0.991,0.863
24,0.38021622750387396,0.2048,93.03,0.996,0.93,0.2738,89.89,0.992,0.874
25,0.3684128672685674,0.2054,92.99,0.996,0.929,0.304,89.2,0.992,0.861
26,0.3607106058454428,0.1732,94.26,0.997,0.942,0.2157,92.47,0.993,0.898
27,0.35773073021976753,0.1928,93.64,0.996,0.936,0.2644,90.05,0.992,0.874
28,0.34528680327331723,0.1744,94.22,0.997,0.942,0.2269,91.24,0.994,0.885
29,0.3377582032140011,0.1902,93.76,0.996,0.937,0.3053,88.35,0.992,0.849
30,0.3247653542079806,0.1727,94.1,0.997,0.94,0.237,91.19,0.994,0.888
31,0.3252975744158564,0.1827,93.78,0.997,0.937,0.1992,92.66,0.995,0.904
32,0.3174984474602993,0.1653,94.35,0.997,0.943,0.2279,91.28,0.993,0.884
33,0.3070487491652957,0.1535,94.96,0.997,0.949,0.2368,90.7,0.993,0.873
34,0.3015437645697466,0.1443,95.3,0.997,0.953,0.2426,91.14,0.993,0.883
35,0.29063703697909166,0.1737,94.05,0.997,0.94,0.2877,89.78,0.992,0.864
36,0.28347653061098094,0.1648,94.67,0.997,0.946,0.2424,90.97,0.993,0.886
37,0.2807179172406487,0.1341,95.71,0.998,0.957,0.1854,93.32,0.995,0.91
38,0.2666980775079847,0.1415,95.42,0.998,0.954,0.2138,91.88,0.994,0.895
39,0.26280380328816755,0.1268,95.88,0.998,0.958,0.2141,92.23,0.994,0.899
40,0.2578829268934906,0.1373,95.5,0.998,0.955,0.2401,91.05,0.994,0.881
41,0.25050538720890186,0.1267,95.88,0.998,0.958,0.1984,92.75,0.995,0.904
42,0.24440343763452277,0.125,96.0,0.998,0.96,0.2047,92.59,0.994,0.902
43,0.24257547166665822,0.1299,95.68,0.998,0.956,0.1842,93.05,0.995,0.908
44,0.23515090774945033,0.1281,95.85,0.998,0.958,0.2001,92.44,0.995,0.899
45,0.23220569560284254,0.1182,96.19,0.998,0.962,0.2089,92.52,0.994,0.901
46,0.2295448648806755,0.1224,95.99,0.998,0.959,0.214,92.15,0.994,0.898
47,0.22696331905795256,0.1199,96.14,0.998,0.961,0.1919,92.85,0.995,0.905
48,0.22520928665675144,0.122,95.99,0.998,0.959,0.202,92.37,0.995,0.899
49,0.22312987908240287,0.1204,96.06,0.998,0.96,0.1984,92.55,0.995,0.901
