epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3111537346473108,1.2335,41.82,0.713,0.371,1.2473,45.14,0.72,0.417
1,1.5631009945502647,1.4573,43.18,0.725,0.359,1.9303,39.14,0.683,0.344
2,1.3256436127882738,1.3298,40.21,0.655,0.362,1.2956,38.29,0.704,0.336
3,1.314803176659804,1.6718,35.96,0.662,0.287,1.6875,35.25,0.685,0.251
4,1.2329416806881244,1.2139,49.79,0.773,0.452,1.3128,44.68,0.74,0.398
5,1.1675524491530198,1.2056,45.07,0.778,0.421,1.2872,43.0,0.762,0.404
6,1.1217543051793024,1.0981,52.39,0.796,0.513,1.1703,52.5,0.79,0.516
7,1.0967251557570237,1.1135,50.82,0.794,0.489,1.1223,51.29,0.791,0.498
8,1.0741620577298678,0.9827,61.04,0.836,0.607,1.0384,58.18,0.819,0.578
9,1.0322519302368165,1.021,56.07,0.824,0.563,1.1143,52.43,0.791,0.518
10,0.985100927719703,1.0535,53.07,0.804,0.526,1.2413,47.07,0.767,0.458
11,0.9679116294934199,1.1001,56.86,0.815,0.561,1.1986,52.14,0.793,0.506
12,0.921840749337123,1.0955,59.64,0.821,0.595,1.1853,54.14,0.803,0.54
13,0.8860840595685519,1.0381,59.75,0.839,0.596,1.1765,56.79,0.813,0.563
14,0.8361206577374385,1.1733,54.21,0.804,0.536,1.0953,56.79,0.826,0.562
15,0.8168190717697144,0.9094,63.71,0.868,0.637,1.085,58.64,0.835,0.585
16,0.7973966350922218,1.3762,53.46,0.782,0.516,1.502,50.57,0.746,0.506
17,0.7561324027868418,1.0159,63.11,0.86,0.617,1.2117,54.21,0.832,0.512
18,0.71635112120555,0.9623,65.5,0.869,0.654,1.0675,58.93,0.856,0.583
19,0.7124805748462677,1.1909,55.5,0.811,0.551,1.1509,55.36,0.828,0.547
20,0.6569178613332601,1.0444,61.57,0.87,0.608,1.1094,57.61,0.837,0.572
21,0.6298934743954585,1.2799,60.21,0.832,0.603,1.2228,58.14,0.843,0.575
22,0.6006741542082566,0.8499,66.11,0.887,0.661,1.2156,55.61,0.815,0.557
23,0.5808735398145822,1.1581,61.21,0.835,0.609,1.3683,56.82,0.809,0.564
24,0.5428168402268336,1.1242,63.0,0.868,0.628,1.3397,57.57,0.853,0.567
25,0.510880497785715,1.073,65.29,0.868,0.654,0.8174,68.07,0.895,0.681
26,0.47434418018047625,1.4527,54.14,0.81,0.54,1.6428,51.75,0.803,0.51
27,0.4623603866650508,1.0498,68.0,0.888,0.68,1.3746,60.64,0.856,0.611
28,0.4396718387420361,1.0025,68.68,0.892,0.69,1.1,65.64,0.874,0.656
29,0.41926600887225224,1.3353,65.79,0.89,0.652,1.4359,59.04,0.864,0.575
30,0.39045983231984654,1.4993,57.82,0.828,0.571,1.5533,58.71,0.825,0.579
31,0.35318067371845246,1.1665,65.89,0.863,0.662,1.3526,56.43,0.837,0.565
32,0.32323291462201337,1.091,69.21,0.899,0.694,1.7525,62.32,0.846,0.625
33,0.34070333540439607,0.8501,73.61,0.917,0.737,0.9288,70.75,0.904,0.707
34,0.2993057736983666,1.042,68.75,0.899,0.69,1.2169,67.75,0.879,0.679
35,0.2786767746393497,1.0957,69.61,0.891,0.694,1.4754,59.14,0.852,0.587
36,0.2530895689359078,1.1518,71.79,0.906,0.716,1.2932,67.86,0.888,0.676
37,0.26582996524297275,1.1019,72.57,0.911,0.726,1.293,68.71,0.897,0.688
38,0.21621295924370104,1.2037,72.32,0.898,0.725,1.1589,66.64,0.895,0.668
39,0.22050428287341045,0.9805,75.75,0.917,0.758,1.2255,66.71,0.893,0.668
40,0.20159984013208976,1.1717,72.96,0.908,0.724,1.3202,66.29,0.889,0.658
41,0.18407896355940745,0.9849,76.36,0.924,0.763,1.0919,69.93,0.906,0.701
42,0.16709728688001632,1.0686,74.46,0.914,0.744,1.3278,66.32,0.889,0.663
43,0.16184554340747687,0.936,76.11,0.925,0.762,1.2174,70.04,0.904,0.7
44,0.14479088622790118,0.9533,75.57,0.925,0.755,1.2247,70.29,0.907,0.701
45,0.14121652256983977,0.9147,75.96,0.93,0.76,1.269,70.64,0.902,0.705
46,0.1395618593463531,0.9168,76.14,0.929,0.761,1.2702,70.46,0.902,0.704
47,0.13566650341336545,0.9532,75.5,0.924,0.755,1.2107,70.29,0.904,0.703
48,0.12958594405880342,0.9447,75.57,0.926,0.756,1.2527,69.93,0.902,0.699
49,0.12723642197939067,0.9435,75.61,0.926,0.756,1.2734,70.39,0.902,0.703
