epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.2950575315035306,1.2532,39.5,0.713,0.345,1.2786,43.39,0.703,0.389
1,1.686314056469844,1.5303,44.07,0.727,0.412,1.715,40.07,0.704,0.374
2,1.3837707042694092,1.1956,42.36,0.755,0.361,1.2721,38.39,0.718,0.332
3,1.2919474436686589,1.1925,46.46,0.751,0.454,1.3092,44.43,0.684,0.418
4,1.2243402627798228,1.143,51.07,0.767,0.474,1.1718,44.21,0.76,0.406
5,1.1703499885705801,1.0799,58.07,0.808,0.58,1.2083,49.86,0.75,0.5
6,1.144898819923401,1.301,40.79,0.74,0.368,1.3095,39.14,0.75,0.358
7,1.1230696953259982,1.311,48.43,0.78,0.47,1.6469,40.36,0.688,0.372
8,1.1122296333312989,1.0452,55.71,0.82,0.558,1.2176,47.32,0.736,0.473
9,1.084898328781128,1.9057,31.82,0.693,0.217,1.9091,32.04,0.657,0.231
10,1.061295096690838,1.2951,44.64,0.766,0.397,1.4184,38.0,0.707,0.348
11,1.0627465697435232,1.0898,52.96,0.811,0.517,1.1551,50.21,0.779,0.477
12,1.0329021252118624,1.6949,37.89,0.746,0.316,1.7049,36.68,0.711,0.332
13,1.017717916231889,1.6198,44.07,0.76,0.393,1.7391,39.71,0.7,0.363
14,0.9873594999313354,1.0089,57.57,0.838,0.571,1.1753,52.57,0.793,0.522
15,0.9684246466710017,1.0974,56.07,0.828,0.554,1.2452,48.32,0.776,0.474
16,0.9634002282069279,1.0118,58.46,0.833,0.58,1.128,51.14,0.782,0.506
17,0.9383960008621216,1.7622,42.0,0.718,0.349,1.7042,43.29,0.725,0.381
18,0.9155771695650541,1.162,56.25,0.819,0.555,1.1958,49.43,0.793,0.479
19,0.9282708681546725,1.042,59.57,0.844,0.586,1.33,54.68,0.761,0.549
20,0.8940337832157429,1.0856,59.18,0.84,0.581,1.39,45.86,0.728,0.459
21,0.8594929108252892,1.1681,58.39,0.841,0.567,1.326,49.43,0.791,0.475
22,0.8505892579372113,1.0677,55.36,0.839,0.552,1.3432,51.11,0.792,0.499
23,0.8150459537139305,1.0245,61.79,0.838,0.617,1.1309,57.57,0.806,0.572
24,0.8006714719992417,0.986,60.79,0.85,0.606,1.0936,57.68,0.831,0.572
25,0.7772030261846689,1.1007,61.25,0.853,0.608,1.2063,56.71,0.815,0.551
26,0.7678533242299006,1.0333,60.93,0.856,0.607,1.18,55.32,0.818,0.551
27,0.7486627725454477,0.9217,66.07,0.882,0.657,1.0826,57.75,0.834,0.566
28,0.725617096057305,1.3388,44.86,0.765,0.437,1.4223,36.82,0.742,0.356
29,0.6886718823359563,0.9493,65.07,0.878,0.652,1.0507,59.54,0.845,0.596
30,0.6630269775023827,0.8187,70.82,0.909,0.71,1.2277,59.79,0.837,0.598
31,0.6271323291155008,0.8593,69.11,0.902,0.691,0.9909,60.93,0.86,0.605
32,0.616296419272056,1.2054,57.25,0.861,0.565,1.205,58.75,0.844,0.581
33,0.5894930555270268,1.3581,57.21,0.861,0.551,1.4031,54.5,0.846,0.51
34,0.5728893825641045,0.9038,72.75,0.909,0.724,1.3343,61.46,0.831,0.613
35,0.5531165402669173,0.9255,68.75,0.905,0.686,1.2631,58.21,0.838,0.582
36,0.5053780519045317,1.5121,61.07,0.866,0.596,1.9329,51.79,0.788,0.513
37,0.5045929780373206,0.9814,67.79,0.913,0.674,1.2001,64.54,0.879,0.639
38,0.4660491365652818,0.7352,73.82,0.926,0.737,0.9856,66.64,0.888,0.666
39,0.4459841508131761,0.8228,74.21,0.93,0.742,1.2303,65.64,0.88,0.655
40,0.43072654880010164,0.8087,74.04,0.925,0.742,1.1097,64.39,0.871,0.643
41,0.3949724364739198,0.8945,71.54,0.918,0.715,1.1872,63.25,0.875,0.632
42,0.3763044877694203,0.693,75.54,0.939,0.751,1.0529,68.25,0.898,0.681
43,0.36152066680101247,0.7362,74.86,0.934,0.747,1.0626,66.93,0.89,0.668
44,0.3443769675034743,0.9099,71.11,0.919,0.707,1.2508,64.68,0.882,0.643
45,0.33487980961799624,0.676,76.82,0.941,0.769,1.1175,66.14,0.889,0.661
46,0.32055580501373,0.709,78.0,0.943,0.779,1.144,67.86,0.895,0.678
47,0.3216873943805695,0.7058,77.43,0.943,0.774,1.1683,67.39,0.892,0.674
48,0.3061692338723403,0.6874,77.82,0.943,0.778,1.061,68.54,0.899,0.685
49,0.3048876487291776,0.6932,77.82,0.944,0.778,1.0761,68.89,0.9,0.688
