epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3602368428156926,1.352,34.29,0.607,0.301,1.3134,39.64,0.675,0.345
1,1.697734653032743,1.3516,37.75,0.64,0.31,1.3434,33.96,0.605,0.284
2,1.4485575987742498,1.392,28.75,0.602,0.183,1.3665,27.93,0.635,0.187
3,1.389880897448613,1.3664,29.75,0.623,0.192,1.3425,31.25,0.681,0.206
4,1.3567163467407226,1.3347,32.39,0.628,0.232,1.2918,35.21,0.684,0.272
5,1.3205393130962666,1.2959,34.96,0.661,0.334,1.2889,40.0,0.667,0.385
6,1.305902987260085,1.3288,32.71,0.661,0.295,1.2776,37.25,0.693,0.356
7,1.2911681028512807,1.3434,36.32,0.66,0.346,1.2746,41.75,0.692,0.402
8,1.2763505165393536,1.2507,39.93,0.69,0.396,1.2618,40.68,0.69,0.41
9,1.2613973030677208,1.457,29.43,0.655,0.207,1.4688,26.07,0.599,0.157
10,1.247283541239225,1.2696,34.93,0.677,0.334,1.2221,37.46,0.712,0.367
11,1.2317957089497493,1.4233,35.25,0.625,0.338,1.3846,32.75,0.631,0.315
12,1.224559710575984,1.266,38.79,0.694,0.374,1.2479,41.04,0.702,0.38
13,1.184240174293518,1.3711,36.39,0.702,0.332,1.3526,44.5,0.737,0.406
14,1.1692001526172344,1.3766,38.21,0.72,0.341,1.3851,38.64,0.736,0.342
15,1.1113184415377104,1.3997,40.39,0.711,0.372,1.3967,40.36,0.712,0.382
16,1.0911982178688049,1.2209,46.64,0.747,0.454,1.26,43.46,0.732,0.41
17,1.0420406552461476,1.3224,46.89,0.776,0.441,1.3502,40.39,0.754,0.36
18,1.0202320493184602,1.287,48.68,0.775,0.474,1.3322,46.11,0.756,0.458
19,0.9743555252368633,1.0346,54.29,0.829,0.538,1.0915,53.5,0.805,0.532
20,0.9311502640063946,1.0489,58.43,0.827,0.582,1.1153,50.46,0.795,0.504
21,0.8980618137579698,1.1593,51.71,0.799,0.51,1.2668,46.57,0.749,0.457
22,0.840940680870643,1.6381,46.18,0.769,0.412,1.7533,40.79,0.724,0.346
23,0.8215378632912269,1.0186,57.46,0.848,0.572,1.1311,53.14,0.815,0.527
24,0.7475335231194129,1.0532,57.57,0.827,0.567,1.3902,47.36,0.734,0.469
25,0.7348455374057477,0.9981,63.75,0.884,0.637,1.2754,56.43,0.832,0.561
26,0.674582825257228,1.0215,63.54,0.875,0.631,1.1675,59.86,0.85,0.591
27,0.6493281822938185,1.1431,61.5,0.874,0.584,1.1726,58.46,0.85,0.552
28,0.6146414257012881,1.7797,55.32,0.793,0.523,2.0019,48.82,0.733,0.46
29,0.5779468467602363,1.1218,64.32,0.874,0.642,1.5038,53.86,0.8,0.526
30,0.5627184863273914,0.9602,65.79,0.908,0.643,1.1839,59.14,0.868,0.571
31,0.5248866778153639,0.8998,67.46,0.912,0.674,1.0943,64.43,0.884,0.643
32,0.4835716132934277,0.9656,67.21,0.913,0.668,1.2931,61.21,0.867,0.607
33,0.48397589325904844,1.2177,59.89,0.857,0.565,1.176,57.89,0.85,0.561
34,0.4402679163676042,1.0943,66.36,0.895,0.665,1.3769,58.96,0.852,0.582
35,0.4263344562970675,1.6783,60.21,0.846,0.58,1.8363,52.18,0.809,0.498
36,0.4056402353140024,0.9739,69.89,0.914,0.7,1.098,65.93,0.888,0.664
37,0.37369816670050987,0.8793,71.96,0.916,0.724,1.0224,66.75,0.889,0.673
38,0.35456233483094435,0.8882,70.29,0.92,0.701,0.9725,67.46,0.902,0.673
39,0.32794158229461084,0.9266,70.75,0.911,0.694,1.0401,65.75,0.892,0.641
40,0.309038549890885,0.7899,72.89,0.924,0.731,0.956,66.68,0.904,0.664
41,0.3046127030482659,0.7763,74.14,0.928,0.742,0.954,69.75,0.902,0.697
42,0.27402685559712925,0.9443,71.5,0.921,0.703,0.9246,70.14,0.913,0.689
43,0.26623174685698286,0.6958,77.07,0.94,0.771,0.8306,71.79,0.915,0.718
44,0.2594852282450749,0.7059,76.07,0.94,0.762,0.9162,70.82,0.913,0.708
45,0.24446253776550292,0.6715,77.29,0.942,0.774,0.8803,71.79,0.917,0.716
46,0.24238691880152777,0.7322,75.71,0.937,0.758,0.8583,71.18,0.918,0.712
47,0.23576446656997388,0.6622,77.86,0.944,0.779,0.8167,72.14,0.921,0.721
48,0.22464853066664475,0.6773,77.5,0.942,0.776,0.8109,71.93,0.921,0.718
49,0.21802266916403404,0.6772,77.14,0.942,0.772,0.8067,72.11,0.922,0.719
