epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3747879028320313,1.3517,34.18,0.597,0.253,1.3576,32.5,0.614,0.234
1,1.7481326543367826,1.3938,24.89,0.493,0.101,1.3895,24.79,0.536,0.101
2,1.3849193572998046,1.4109,27.64,0.603,0.162,1.3791,28.68,0.618,0.165
3,1.3358783868642954,1.3508,37.96,0.619,0.315,1.3058,32.64,0.634,0.268
4,1.2914452185997596,1.3894,38.64,0.639,0.317,1.4045,33.07,0.624,0.264
5,1.2505291865422175,1.6529,27.46,0.597,0.229,1.625,28.14,0.621,0.233
6,1.2184034219154944,1.3376,32.11,0.721,0.247,1.3071,33.89,0.73,0.264
7,1.1935058703789345,1.3258,48.11,0.737,0.466,1.3865,39.43,0.659,0.367
8,1.1558256259331336,1.2289,47.46,0.742,0.457,1.2026,44.61,0.753,0.415
9,1.1387937958423908,1.2388,47.79,0.725,0.448,1.1699,44.86,0.739,0.422
10,1.1023597405507015,1.1571,51.71,0.781,0.482,1.2168,44.18,0.746,0.398
11,1.0450617304215064,1.1094,50.43,0.813,0.481,1.246,43.43,0.753,0.397
12,0.9958418836960425,1.1728,51.25,0.781,0.496,1.0999,51.21,0.803,0.504
13,0.9650382041931153,1.0186,60.5,0.838,0.607,1.0389,57.07,0.812,0.574
14,0.9148471832275391,1.0661,58.43,0.832,0.584,1.2073,50.64,0.773,0.504
15,0.8602586727875929,1.1954,51.46,0.824,0.496,1.2755,50.14,0.79,0.485
16,0.8204552953059857,1.1264,57.43,0.81,0.572,1.2512,51.86,0.765,0.51
17,0.7774076278393085,1.3511,48.43,0.787,0.479,1.5104,44.89,0.732,0.455
18,0.711254474749932,1.3608,49.79,0.814,0.493,1.5695,43.61,0.757,0.43
19,0.6698732376098633,0.8922,64.54,0.878,0.647,1.0004,58.14,0.851,0.581
20,0.6058836991970356,1.0927,60.43,0.846,0.603,1.1079,59.96,0.837,0.599
21,0.5576292514801026,1.0143,64.5,0.894,0.619,1.136,61.57,0.869,0.577
22,0.5474179726380568,0.8545,71.39,0.904,0.712,0.9554,65.89,0.877,0.657
23,0.4793238924099849,0.8129,71.89,0.914,0.717,1.0275,64.64,0.879,0.644
24,0.45299424116428083,1.2562,61.18,0.864,0.612,1.394,56.0,0.845,0.553
25,0.4249711444744697,1.1993,62.21,0.869,0.613,1.1307,61.96,0.875,0.61
26,0.39559256847088153,1.0776,63.43,0.88,0.631,1.1353,62.57,0.861,0.626
27,0.3690535639341061,0.7808,71.86,0.919,0.718,0.9225,67.43,0.901,0.673
28,0.3459246495595345,0.8419,70.61,0.911,0.702,1.0019,67.5,0.89,0.67
29,0.30728361354424405,1.1833,65.18,0.872,0.65,1.3078,64.25,0.858,0.637
30,0.28789110275415275,0.8204,71.14,0.917,0.711,1.1091,67.61,0.884,0.676
31,0.24738839578170044,1.1085,69.43,0.915,0.693,1.5527,63.25,0.889,0.621
32,0.24284820831738985,1.2599,68.0,0.906,0.67,1.6298,63.14,0.874,0.62
33,0.2179399529328713,1.2129,68.11,0.896,0.682,1.416,65.18,0.88,0.651
34,0.19604907689186243,0.9215,72.89,0.93,0.729,1.1114,70.39,0.912,0.706
35,0.17366511626885486,1.0733,71.68,0.923,0.708,1.3147,69.0,0.905,0.68
36,0.16764295892073558,0.9984,72.93,0.928,0.73,1.2628,68.21,0.903,0.68
37,0.16173343646984834,0.9153,75.57,0.932,0.755,0.9461,74.46,0.928,0.745
38,0.1329730895276253,0.8429,76.32,0.939,0.762,1.157,70.75,0.913,0.705
39,0.12051409907065905,0.8945,75.29,0.935,0.753,1.3151,69.39,0.903,0.694
40,0.1138369399194534,0.9421,75.04,0.936,0.75,1.2803,71.0,0.909,0.711
41,0.10099833252338263,0.8739,75.89,0.94,0.759,1.1653,72.93,0.919,0.729
42,0.09182640594931749,0.9621,74.86,0.937,0.749,1.2201,71.07,0.915,0.711
43,0.08958108849250353,0.8747,75.57,0.942,0.756,1.2336,71.86,0.917,0.718
44,0.07374135387631563,0.879,76.46,0.943,0.765,1.2247,72.36,0.92,0.724
45,0.07344558302026528,0.8633,77.11,0.945,0.771,1.2167,71.89,0.919,0.718
46,0.06720710826607851,0.9005,76.39,0.942,0.764,1.2638,71.46,0.917,0.714
47,0.0699208631251867,0.8774,76.64,0.943,0.766,1.2663,71.25,0.917,0.712
48,0.06497762810725433,0.9065,75.82,0.941,0.758,1.2696,71.75,0.917,0.717
49,0.0687692667142703,0.9054,76.0,0.942,0.76,1.2734,71.29,0.916,0.712
