epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3643355296208308,1.2999,36.79,0.649,0.304,1.2972,38.54,0.669,0.32
1,1.7040990389310398,1.4101,32.11,0.629,0.206,1.4165,32.21,0.587,0.214
2,1.3938483036481417,1.2785,36.25,0.677,0.287,1.296,35.04,0.669,0.28
3,1.3580174977962787,1.2302,39.86,0.703,0.282,1.3203,37.11,0.652,0.263
4,1.3231676028325008,1.3108,39.39,0.709,0.301,1.3543,34.29,0.687,0.246
5,1.281002246416532,1.2764,40.32,0.701,0.325,1.2625,38.0,0.729,0.291
6,1.2401805584247296,1.3342,33.11,0.721,0.252,1.3613,28.5,0.724,0.206
7,1.2334361956669735,1.206,44.57,0.75,0.411,1.2414,43.36,0.742,0.383
8,1.2075862701122577,1.0767,53.29,0.796,0.51,1.2197,43.54,0.741,0.419
9,1.1845986439631535,1.073,56.86,0.807,0.545,1.1398,50.89,0.785,0.497
10,1.158282654102032,1.2073,48.57,0.768,0.436,1.3241,43.82,0.756,0.378
11,1.1354557330791766,1.0811,51.11,0.795,0.506,1.1871,45.71,0.758,0.445
12,1.1166714631594143,1.1416,51.32,0.795,0.456,1.2496,41.5,0.738,0.353
13,1.0902595446659968,1.0801,49.07,0.809,0.466,1.1843,44.25,0.78,0.408
14,1.0535344930795523,1.0449,50.86,0.82,0.476,1.1292,48.68,0.792,0.448
15,1.0059228603656476,1.2983,47.25,0.787,0.437,1.2714,44.0,0.778,0.398
16,0.9836831477972178,1.4585,45.46,0.765,0.338,1.374,45.71,0.759,0.342
17,0.9288916560319754,1.0323,52.29,0.828,0.511,1.1541,51.11,0.787,0.501
18,0.8784447807532091,0.9956,55.46,0.821,0.551,1.0673,52.61,0.803,0.517
19,0.8408845332952646,1.4682,52.11,0.821,0.495,1.5536,47.39,0.781,0.46
20,0.7979049187440138,1.1154,58.29,0.855,0.542,1.1358,55.39,0.838,0.53
21,0.7481627125006456,1.1119,57.82,0.845,0.556,1.0758,55.82,0.847,0.545
22,0.7035661376439608,0.9074,64.46,0.884,0.649,1.0964,60.89,0.853,0.611
23,0.6383366653552422,0.7161,72.96,0.925,0.732,0.9696,62.07,0.885,0.614
24,0.6087952095728654,0.8876,63.89,0.903,0.632,1.0116,60.39,0.883,0.587
25,0.5929070665286138,0.909,65.07,0.891,0.626,1.006,60.11,0.869,0.588
26,0.5382085593847128,1.0884,62.61,0.894,0.594,1.21,58.54,0.866,0.566
27,0.5318046501049629,0.7869,73.32,0.932,0.723,1.0227,65.18,0.896,0.641
28,0.47485762926248404,0.9154,69.25,0.912,0.673,1.0931,63.96,0.878,0.617
29,0.44864560411526605,0.8756,70.32,0.917,0.697,1.1088,66.0,0.877,0.656
30,0.41731970952107356,1.8439,52.64,0.864,0.518,1.7545,57.04,0.862,0.568
31,0.3864065761749561,0.8555,71.25,0.936,0.706,1.152,61.68,0.905,0.587
32,0.37163531138346745,0.7401,72.75,0.936,0.721,0.8597,69.68,0.91,0.688
33,0.37212208463595464,1.0093,66.43,0.909,0.646,1.1957,61.0,0.879,0.599
34,0.32002056126411144,1.4337,63.07,0.885,0.626,1.5794,58.36,0.872,0.562
35,0.3103668742454969,0.7847,72.5,0.933,0.717,0.8789,70.04,0.914,0.693
36,0.29114524928423074,0.5347,79.93,0.955,0.8,0.6974,74.36,0.932,0.742
37,0.28143418843929585,0.5837,80.36,0.955,0.804,0.6967,74.11,0.937,0.742
38,0.24078775827701276,0.7555,78.29,0.94,0.78,0.7854,74.39,0.928,0.74
39,0.2410469350906519,0.5286,80.79,0.958,0.808,0.668,74.75,0.939,0.745
40,0.22563997690494245,0.7305,77.89,0.944,0.777,0.8734,73.89,0.924,0.734
41,0.2082115615789707,0.6085,80.5,0.954,0.805,0.795,75.46,0.932,0.753
42,0.19314286032548317,0.7532,74.46,0.942,0.741,0.8896,71.86,0.925,0.714
43,0.18303350175802524,0.5555,81.11,0.96,0.812,0.6853,75.86,0.94,0.758
44,0.17232030767660875,0.5688,81.46,0.96,0.815,0.7179,75.82,0.943,0.756
45,0.16618968557852964,0.5537,81.57,0.961,0.816,0.6877,76.11,0.944,0.761
46,0.16297631768079904,0.5911,80.0,0.957,0.8,0.6937,76.46,0.945,0.763
47,0.17424340202258184,0.561,80.68,0.959,0.807,0.6708,76.89,0.946,0.767
48,0.1508489318765127,0.5684,80.71,0.958,0.808,0.6727,77.0,0.945,0.769
49,0.15548305190526523,0.5656,80.79,0.959,0.808,0.667,77.07,0.946,0.769
