epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3601954680222732,1.2856,37.46,0.669,0.313,1.287,38.93,0.68,0.334
1,1.604405430647043,1.2291,45.43,0.728,0.395,1.2699,42.61,0.672,0.38
2,1.3465921548696664,1.2368,44.5,0.711,0.389,1.2689,38.39,0.684,0.338
3,1.3240148617671086,1.3723,37.0,0.678,0.287,1.3379,36.79,0.704,0.27
4,1.294018899477445,1.2246,46.43,0.763,0.393,1.2311,42.5,0.75,0.359
5,1.2520400267380936,1.2205,47.43,0.734,0.428,1.2165,45.64,0.765,0.417
6,1.2304450915409968,1.2124,42.29,0.728,0.372,1.207,39.18,0.744,0.348
7,1.2205690677349383,1.2859,45.04,0.717,0.402,1.2943,44.04,0.73,0.386
8,1.2002826397235578,1.1474,45.57,0.809,0.416,1.234,40.75,0.778,0.366
9,1.1725272178649901,1.1667,48.07,0.756,0.44,1.2317,43.0,0.734,0.392
10,1.1336527714362512,1.1814,52.46,0.777,0.499,1.2363,48.93,0.766,0.447
11,1.0982439829752995,1.1328,52.71,0.805,0.524,1.1917,44.0,0.78,0.44
12,1.070048571549929,1.1243,53.96,0.808,0.494,1.2416,44.21,0.77,0.385
13,1.0166117613132184,0.9023,66.04,0.877,0.657,0.9669,58.18,0.839,0.582
14,0.9525225822742168,1.2385,47.11,0.834,0.45,1.4007,40.0,0.791,0.36
15,0.9113121922199543,1.1905,55.64,0.833,0.556,1.2358,50.71,0.828,0.494
16,0.8686873179215652,1.1358,54.04,0.814,0.527,1.0745,53.57,0.813,0.525
17,0.8229014020699721,1.0398,60.21,0.857,0.586,1.0823,59.64,0.848,0.592
18,0.7550641133235051,1.3073,46.57,0.806,0.45,1.282,49.57,0.809,0.487
19,0.7022313769047077,1.2105,52.43,0.836,0.512,1.3416,51.54,0.819,0.504
20,0.6691048246163588,0.7429,71.54,0.914,0.713,0.8844,64.96,0.876,0.651
21,0.6355906408566695,0.8617,66.36,0.89,0.664,0.8974,62.96,0.874,0.629
22,0.5870183169841766,0.8337,71.07,0.901,0.706,0.9305,64.14,0.884,0.639
23,0.5486826057617481,1.1584,61.32,0.885,0.614,1.2621,55.75,0.879,0.565
24,0.5213172256946563,0.9032,68.29,0.896,0.662,0.9589,64.36,0.882,0.635
25,0.4816538975788997,0.9032,68.0,0.924,0.684,1.1217,63.96,0.901,0.635
26,0.446678312925192,0.9054,67.64,0.915,0.669,0.9669,65.68,0.901,0.649
27,0.43364740105775684,0.8017,74.32,0.929,0.734,0.8541,70.54,0.922,0.696
28,0.41266404252785904,1.5479,64.71,0.901,0.6,1.7392,62.07,0.871,0.577
29,0.3872005169208233,0.7898,72.29,0.934,0.714,0.886,68.39,0.909,0.674
30,0.3665786021030866,0.7858,72.14,0.92,0.72,0.84,72.93,0.917,0.728
31,0.33379241090554457,0.9446,70.57,0.917,0.709,1.0314,69.64,0.915,0.695
32,0.322132538832151,0.849,71.71,0.919,0.713,0.8504,70.04,0.917,0.699
33,0.3037255417842131,1.0883,67.25,0.899,0.668,1.1,67.29,0.9,0.673
34,0.2683754911789527,1.1735,68.11,0.92,0.674,1.4247,66.43,0.91,0.652
35,0.2610855350127587,0.6549,78.25,0.946,0.782,0.7749,76.54,0.934,0.766
36,0.23690196871757507,0.7942,75.39,0.937,0.756,1.0769,71.5,0.914,0.715
37,0.23972321290236254,0.6379,79.82,0.955,0.798,0.6991,77.46,0.952,0.774
38,0.20834609717130662,0.6297,78.71,0.953,0.788,0.8049,74.54,0.938,0.745
39,0.19687983783391805,0.8241,77.57,0.943,0.776,0.8823,76.32,0.941,0.763
40,0.1859823342699271,0.8729,77.5,0.941,0.772,0.9189,75.68,0.939,0.754
41,0.17465670498517843,0.7082,79.07,0.949,0.792,0.7539,77.79,0.944,0.779
42,0.16144345929989448,0.7187,78.21,0.951,0.783,0.8751,76.89,0.944,0.769
43,0.15474697718253502,0.646,79.25,0.954,0.792,0.74,77.61,0.948,0.776
44,0.14697049409151078,0.6131,79.96,0.957,0.799,0.7434,78.32,0.95,0.783
45,0.14095117484147732,0.5859,81.54,0.961,0.816,0.7,79.14,0.952,0.791
46,0.13986742187004822,0.6135,80.75,0.958,0.808,0.7296,78.71,0.95,0.787
47,0.14024419085337567,0.6115,79.82,0.958,0.798,0.7075,78.79,0.952,0.787
48,0.1276485708470528,0.6226,80.54,0.957,0.806,0.723,79.29,0.951,0.793
49,0.13082175684662967,0.6157,80.64,0.958,0.807,0.715,79.07,0.952,0.791
