epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3657762967623197,1.3083,33.21,0.701,0.257,1.3071,34.71,0.699,0.282
1,1.7969679282261775,1.3131,34.86,0.673,0.235,1.3038,36.71,0.683,0.245
2,1.3477877983680138,1.3355,31.75,0.644,0.249,1.3165,35.93,0.647,0.312
3,1.3110809472891,1.1822,43.29,0.747,0.383,1.2614,40.04,0.701,0.366
4,1.2755768592541035,1.2919,33.5,0.705,0.268,1.3122,35.64,0.69,0.292
5,1.2411190766554612,1.158,51.32,0.765,0.504,1.2133,50.64,0.754,0.494
6,1.2101107634030857,1.295,36.79,0.694,0.351,1.31,42.61,0.705,0.417
7,1.1825642915872427,1.2679,42.86,0.749,0.399,1.3008,39.71,0.768,0.361
8,1.161401286491981,1.229,37.96,0.757,0.352,1.3526,39.61,0.738,0.357
9,1.1049662535007183,1.3172,45.75,0.749,0.426,1.3033,46.71,0.735,0.45
10,1.0530184030532836,1.206,50.46,0.79,0.496,1.3293,41.14,0.727,0.414
11,1.022555438371805,1.0336,56.79,0.833,0.546,1.1086,51.07,0.807,0.484
12,0.9723022699356079,1.0593,54.96,0.837,0.53,1.1158,50.46,0.825,0.465
13,0.9310424951406625,1.0047,59.18,0.847,0.589,1.0913,53.25,0.822,0.529
14,0.8990590251409091,0.9405,59.04,0.857,0.579,1.024,54.64,0.825,0.53
15,0.8330628871917725,1.0821,61.29,0.836,0.605,1.0713,53.71,0.822,0.527
16,0.7945967408326956,0.9068,66.11,0.872,0.662,0.9773,57.14,0.845,0.568
17,0.7411349956805889,0.8854,65.0,0.886,0.652,0.9976,58.07,0.855,0.579
18,0.6918784480828505,0.861,66.68,0.885,0.657,0.8569,65.82,0.878,0.655
19,0.6630735241449797,1.0816,59.18,0.859,0.585,1.1702,54.0,0.83,0.538
20,0.6005712261566749,1.6083,53.32,0.824,0.507,1.5386,49.5,0.804,0.471
21,0.5719331003152407,1.6346,47.86,0.81,0.419,1.4697,53.29,0.83,0.501
22,0.5513497714812939,0.8044,72.39,0.915,0.719,0.9275,65.46,0.886,0.653
23,0.4953904124406668,0.7726,74.29,0.931,0.747,0.9562,66.82,0.911,0.668
24,0.45753465340687677,0.7385,72.57,0.925,0.723,0.915,67.68,0.901,0.674
25,0.4416293378059681,0.8337,70.71,0.916,0.706,0.8695,66.71,0.902,0.668
26,0.3966331055531135,1.2627,57.64,0.866,0.561,1.1628,57.54,0.876,0.577
27,0.39947256514659296,0.6214,76.0,0.942,0.762,0.8005,70.64,0.912,0.708
28,0.35506086670435394,0.717,75.36,0.941,0.753,0.9829,68.89,0.908,0.685
29,0.35296322038540473,0.758,76.0,0.933,0.757,0.8347,69.5,0.906,0.692
30,0.3231598152564122,0.7276,74.43,0.932,0.74,0.8205,72.36,0.916,0.718
31,0.31000380447277653,1.4643,65.86,0.909,0.647,1.5628,65.93,0.901,0.65
32,0.2803738552790422,0.9958,71.14,0.918,0.708,1.105,68.79,0.911,0.683
33,0.289856045291974,0.7628,76.0,0.937,0.761,0.9885,70.54,0.918,0.704
34,0.2441583956663425,0.7538,74.54,0.941,0.747,0.8752,73.21,0.935,0.732
35,0.23372636506190667,0.8795,72.14,0.94,0.704,1.0281,71.18,0.927,0.693
36,0.20683184919449,0.6236,78.36,0.951,0.782,0.7557,75.39,0.938,0.752
37,0.20754545353926146,0.8668,77.29,0.938,0.774,0.7657,75.36,0.942,0.754
38,0.18974517308748684,0.6158,80.57,0.956,0.806,0.6633,78.21,0.949,0.783
39,0.17970256484471836,0.7323,80.39,0.956,0.806,0.8531,76.79,0.944,0.769
40,0.176743715772262,0.7882,77.75,0.947,0.775,0.7793,77.14,0.948,0.769
41,0.15865028924666918,0.6354,80.0,0.954,0.8,0.7021,77.68,0.946,0.777
42,0.14361784561322286,0.712,78.43,0.954,0.784,0.7382,77.25,0.951,0.772
43,0.13313532288257893,0.6785,79.93,0.955,0.798,0.7388,78.54,0.95,0.784
44,0.12870832051222142,0.6475,79.82,0.956,0.798,0.6783,79.54,0.954,0.795
45,0.12597039301808063,0.6182,80.43,0.959,0.805,0.648,80.32,0.957,0.803
46,0.11832424046901556,0.6714,79.82,0.955,0.798,0.683,79.54,0.954,0.795
47,0.12377413539932325,0.6396,80.43,0.957,0.804,0.6445,80.57,0.956,0.806
48,0.11543825102540163,0.6444,80.04,0.956,0.8,0.6586,80.11,0.955,0.801
49,0.11917811362789227,0.6433,80.39,0.957,0.804,0.6575,80.18,0.955,0.802
