epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3816929743840145,1.3863,25.0,0.497,0.1,1.3863,25.0,0.498,0.1
1,1.302958473792443,1.4115,25.0,0.656,0.1,1.4115,25.0,0.563,0.1
2,1.230183482170105,1.4079,26.29,0.603,0.128,1.4107,24.96,0.589,0.105
3,1.2058762752092802,1.4075,25.0,0.646,0.1,1.3999,25.0,0.693,0.1
4,1.1573539367088905,1.252,38.82,0.735,0.328,1.2143,45.25,0.757,0.374
5,1.086527474109943,1.2422,40.75,0.727,0.35,1.2127,45.61,0.738,0.408
6,1.0348000691487238,1.4119,37.14,0.713,0.285,1.4681,41.36,0.677,0.309
7,1.0094500330778269,1.9166,39.43,0.586,0.332,1.7958,38.11,0.606,0.324
8,0.9532697411683889,1.8923,34.71,0.595,0.309,1.7312,33.18,0.612,0.288
9,0.9055112288548396,1.4546,52.46,0.777,0.525,1.4795,47.04,0.742,0.451
10,0.8405747477824871,1.581,50.43,0.811,0.495,1.8019,45.32,0.749,0.424
11,0.8112916753842281,1.5598,54.07,0.775,0.532,1.6139,50.64,0.738,0.49
12,0.7720505155049837,1.7118,50.96,0.796,0.482,1.6816,49.71,0.777,0.493
13,0.7203763044797458,2.1342,46.71,0.732,0.416,2.3868,40.43,0.702,0.346
14,0.6665482828250298,1.1463,60.75,0.852,0.612,1.1719,60.68,0.856,0.606
15,0.609165762937986,1.3667,56.39,0.82,0.559,1.3765,56.36,0.82,0.547
16,0.5481908202171326,1.0872,63.68,0.863,0.638,1.0673,63.39,0.864,0.632
17,0.5391172688740951,1.2128,62.46,0.844,0.621,1.1595,59.61,0.844,0.589
18,0.5272808006176581,1.0466,67.07,0.88,0.672,1.0646,65.5,0.879,0.656
19,0.4747444762633397,1.2504,59.39,0.838,0.589,1.2876,58.93,0.826,0.589
20,0.4356388651407682,1.0732,64.11,0.861,0.643,1.1231,62.57,0.858,0.614
21,0.4193563663042509,1.0834,63.96,0.889,0.632,1.3286,57.89,0.858,0.563
22,0.3736651255534245,0.8365,71.32,0.911,0.71,0.7757,71.54,0.911,0.716
23,0.355195145882093,1.2146,65.71,0.873,0.657,1.3615,61.89,0.864,0.607
24,0.34059846103191377,0.9879,66.5,0.894,0.659,1.0538,63.11,0.872,0.63
25,0.32799294613874874,1.0302,65.61,0.885,0.645,1.2519,62.25,0.851,0.614
26,0.2979794110243137,0.8199,71.0,0.906,0.705,0.9052,69.39,0.888,0.692
27,0.26689377633424904,0.7812,74.79,0.932,0.75,1.0248,68.46,0.899,0.685
28,0.24203597421829517,1.0095,67.43,0.913,0.665,1.0319,69.18,0.906,0.679
29,0.2464578573520367,0.789,72.14,0.923,0.719,0.8212,70.89,0.916,0.708
30,0.22214779899670528,0.9295,70.43,0.913,0.701,1.0349,65.79,0.892,0.651
31,0.21804996236012533,0.9189,71.14,0.91,0.708,1.0252,67.04,0.888,0.669
32,0.19234333244653848,0.7697,76.61,0.939,0.765,0.931,71.18,0.915,0.71
33,0.1909575450878877,0.9106,72.29,0.922,0.719,0.9953,70.36,0.912,0.701
34,0.15768340774453604,0.7085,76.54,0.939,0.767,0.8567,73.32,0.925,0.733
35,0.1443569866510538,0.8109,76.61,0.938,0.766,0.891,73.57,0.92,0.737
36,0.13851440113324384,0.8145,74.86,0.933,0.747,0.9968,70.93,0.908,0.707
37,0.13587586908386304,0.9241,73.39,0.923,0.734,0.9088,72.04,0.918,0.72
38,0.12186299682809756,0.8618,75.61,0.935,0.757,0.8617,73.71,0.931,0.738
39,0.12357648100990515,0.7543,77.61,0.944,0.777,0.8079,75.07,0.931,0.751
40,0.09952297213558968,0.7253,78.68,0.947,0.787,0.7654,77.21,0.939,0.771
41,0.09452764953558261,0.8306,78.21,0.94,0.784,0.8833,74.21,0.929,0.742
42,0.08582851356611802,0.8343,78.14,0.941,0.782,0.861,75.04,0.934,0.75
43,0.08829880712124018,0.7902,78.96,0.947,0.791,0.8382,76.57,0.938,0.766
44,0.08750136752541249,0.7821,79.61,0.949,0.797,0.8291,75.82,0.939,0.759
45,0.08651962773158,0.7813,79.07,0.947,0.792,0.8774,75.5,0.934,0.755
46,0.07825654928500836,0.7914,79.64,0.946,0.797,0.8666,75.36,0.935,0.753
47,0.07430982778851802,0.7967,79.21,0.946,0.793,0.8459,76.39,0.938,0.764
48,0.07340787417040422,0.7946,79.29,0.947,0.794,0.846,76.43,0.939,0.764
49,0.07464149267627643,0.8002,79.18,0.947,0.793,0.8517,76.25,0.939,0.763
