epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3836688701923077,1.3863,25.0,0.538,0.1,1.3863,25.0,0.528,0.1
1,1.3514417648315429,1.3996,25.0,0.569,0.1,1.3996,25.0,0.494,0.1
2,1.3404715171227088,1.3889,25.0,0.607,0.1,1.3888,25.0,0.664,0.1
3,1.3396794245793269,1.3942,25.36,0.541,0.107,1.3945,25.0,0.559,0.1
4,1.3154892407930814,1.4516,27.71,0.585,0.229,1.3969,29.07,0.615,0.22
5,1.2841208824744592,1.5691,31.46,0.564,0.211,1.5507,33.18,0.596,0.224
6,1.2425001437847432,1.3565,32.29,0.626,0.265,1.3348,34.89,0.644,0.294
7,1.2038093713613658,1.3479,35.71,0.655,0.327,1.2734,40.54,0.699,0.383
8,1.1553658852210411,1.4697,36.54,0.654,0.31,1.4501,38.46,0.64,0.336
9,1.1098187336554894,1.3536,42.75,0.719,0.412,1.3037,45.25,0.742,0.43
10,1.0400613197913537,1.5078,37.39,0.704,0.355,1.3542,41.46,0.721,0.403
11,0.9769286779256967,1.8832,35.71,0.634,0.303,1.8277,38.61,0.675,0.322
12,0.9442336238347567,1.4671,43.46,0.715,0.431,1.308,50.0,0.772,0.498
13,0.8913056126007667,1.5424,41.68,0.72,0.416,1.5913,40.82,0.691,0.407
14,0.8446967455056997,1.446,43.71,0.716,0.442,1.3723,44.32,0.732,0.442
15,0.8106899481553298,1.2556,53.21,0.792,0.52,1.288,51.43,0.773,0.505
16,0.7747212052345276,1.1833,54.29,0.805,0.53,1.009,58.93,0.844,0.586
17,0.7278771189542917,1.1406,55.79,0.805,0.528,0.9776,61.93,0.848,0.604
18,0.7227138638496399,1.3911,56.71,0.806,0.547,1.3647,54.21,0.806,0.522
19,0.6678623951398409,2.1641,42.5,0.721,0.404,2.4027,37.04,0.691,0.332
20,0.6458015171381143,1.7645,39.64,0.746,0.37,1.7305,42.21,0.761,0.393
21,0.614127862911958,1.3612,53.89,0.786,0.541,1.2355,57.39,0.807,0.578
22,0.5835710534682641,1.1304,58.07,0.834,0.575,0.9965,58.61,0.857,0.583
23,0.5635909282244169,1.1488,58.89,0.816,0.588,1.0743,61.21,0.832,0.615
24,0.5554924396368174,1.2344,57.64,0.825,0.574,1.046,60.86,0.865,0.602
25,0.5079788120893332,1.1483,62.14,0.86,0.613,1.272,56.07,0.833,0.558
26,0.4808515177323268,1.3517,55.18,0.82,0.524,1.1342,60.14,0.845,0.584
27,0.4565508328951322,1.0567,64.46,0.869,0.634,0.968,66.25,0.876,0.656
28,0.43840332535596993,1.1712,61.54,0.856,0.6,1.1449,60.14,0.842,0.585
29,0.4207300956432636,1.0231,65.21,0.874,0.649,1.0005,66.14,0.877,0.657
30,0.4073831599492293,1.3968,59.11,0.842,0.585,1.3972,55.25,0.825,0.546
31,0.3853042772183051,1.2052,63.54,0.875,0.63,1.2175,61.54,0.866,0.62
32,0.3788013577461243,0.8922,69.89,0.905,0.697,0.8986,67.29,0.894,0.677
33,0.3471487148449971,1.0127,66.93,0.904,0.653,0.9942,66.54,0.907,0.649
34,0.3428132348335706,0.8798,71.71,0.911,0.715,0.8567,71.64,0.912,0.715
35,0.326302511875446,0.9123,69.36,0.906,0.694,0.9156,68.61,0.903,0.688
36,0.3035684062884404,0.9531,69.61,0.894,0.692,0.9956,68.43,0.882,0.677
37,0.3076374773795788,1.1449,64.32,0.88,0.639,1.1651,63.61,0.875,0.636
38,0.2830070468095633,0.9749,68.11,0.908,0.663,0.8562,71.75,0.917,0.709
39,0.27174746898504404,0.9674,69.79,0.907,0.694,0.8659,72.57,0.914,0.723
40,0.25750079132043396,0.9396,71.32,0.907,0.711,0.9486,70.07,0.902,0.7
41,0.24741274485221276,0.8575,72.86,0.916,0.729,0.9119,71.89,0.908,0.72
42,0.23689741973693554,0.8767,72.25,0.919,0.722,0.8637,72.39,0.916,0.726
43,0.23512650384352757,0.9284,71.25,0.917,0.712,0.9689,70.21,0.908,0.706
44,0.22054152740881994,0.8222,74.11,0.925,0.74,0.8153,73.86,0.923,0.739
45,0.21440544128417968,0.8037,75.11,0.928,0.751,0.8334,74.18,0.922,0.742
46,0.2089459520119887,0.8063,75.71,0.93,0.757,0.8292,74.93,0.926,0.75
47,0.20632563416774458,0.8348,74.18,0.927,0.741,0.8498,74.29,0.923,0.744
48,0.21068578855349468,0.8401,74.21,0.927,0.742,0.8607,74.18,0.922,0.743
49,0.20655459188497982,0.8466,74.25,0.927,0.742,0.8635,73.93,0.922,0.74
