epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3832866962139423,1.3863,25.0,0.517,0.1,1.3863,25.0,0.515,0.1
1,1.352576916034405,1.3982,25.0,0.609,0.1,1.3982,25.0,0.637,0.1
2,1.32583374610314,1.3909,25.0,0.586,0.1,1.3908,25.0,0.605,0.1
3,1.3159644713768592,1.384,26.25,0.654,0.125,1.385,25.71,0.647,0.115
4,1.2739946585435133,1.3635,33.46,0.666,0.227,1.3557,37.71,0.689,0.253
5,1.2216727275114794,1.323,36.71,0.704,0.284,1.2967,40.68,0.743,0.319
6,1.1868829066936786,1.4286,37.75,0.655,0.35,1.3321,41.82,0.706,0.395
7,1.1173492266581608,1.3013,42.18,0.717,0.411,1.2107,43.68,0.748,0.423
8,1.0463514364682711,1.5058,40.25,0.718,0.342,1.5435,40.82,0.709,0.337
9,0.9583071231842041,2.6362,43.32,0.691,0.36,2.5965,41.68,0.696,0.334
10,0.8881701872898982,1.538,49.32,0.778,0.449,1.7397,43.39,0.737,0.388
11,0.8349728391720699,1.8612,44.96,0.762,0.388,1.8501,47.82,0.777,0.426
12,0.7954289821478037,1.4133,52.29,0.813,0.474,1.4426,52.11,0.82,0.476
13,0.7155822937305157,1.0472,62.39,0.86,0.622,1.0702,62.57,0.858,0.622
14,0.6652217576136956,1.3228,57.18,0.837,0.564,1.1529,63.29,0.868,0.629
15,0.6413599050962008,1.6082,48.68,0.835,0.431,1.628,50.89,0.822,0.475
16,0.5855666774969834,1.2035,59.64,0.849,0.597,1.2514,59.68,0.858,0.589
17,0.5400873991159293,1.3107,59.96,0.857,0.598,1.5046,57.36,0.839,0.563
18,0.5136230808037978,1.2535,58.39,0.835,0.582,1.2363,55.64,0.839,0.549
19,0.4625488996505737,1.0543,61.43,0.86,0.614,1.133,59.29,0.851,0.581
20,0.44789908757576574,0.8819,68.93,0.898,0.684,1.0343,66.18,0.868,0.659
21,0.4224802218950712,1.5782,56.0,0.839,0.554,1.7559,50.39,0.818,0.481
22,0.40156934490570656,0.8789,71.11,0.9,0.712,1.0623,63.79,0.869,0.638
23,0.3706715716765477,0.849,69.79,0.906,0.7,0.9328,67.89,0.898,0.68
24,0.3491146972546211,1.1676,64.11,0.886,0.634,1.2456,63.61,0.875,0.627
25,0.32354244658580195,1.2655,64.25,0.878,0.628,1.2731,63.29,0.871,0.617
26,0.30948389218403743,1.2109,64.82,0.88,0.655,1.2534,60.0,0.871,0.606
27,0.28126673721350154,0.9102,68.57,0.91,0.684,1.0497,67.04,0.898,0.668
28,0.2668857757861798,0.9291,69.39,0.915,0.693,1.0341,66.54,0.895,0.671
29,0.24457963280952894,1.1757,66.29,0.897,0.657,1.1346,68.57,0.912,0.682
30,0.2359581240094625,0.8421,70.89,0.919,0.708,0.9674,68.5,0.905,0.681
31,0.2284873584142098,0.8459,71.75,0.918,0.716,1.0806,66.71,0.895,0.658
32,0.21246859752214872,0.9104,70.93,0.913,0.709,0.9531,72.46,0.905,0.725
33,0.1925412756892351,0.9085,70.54,0.916,0.696,0.886,72.57,0.921,0.72
34,0.17045017033815385,0.9629,71.64,0.919,0.716,1.1044,67.5,0.897,0.676
35,0.1692286158983524,1.1431,67.04,0.9,0.67,1.263,65.39,0.888,0.651
36,0.15382016736727494,0.953,72.57,0.915,0.724,0.9372,72.96,0.918,0.727
37,0.15005178222289453,0.9062,71.5,0.916,0.714,0.9466,71.39,0.913,0.711
38,0.14352917797290363,0.9872,71.75,0.92,0.714,0.9569,73.18,0.919,0.731
39,0.13037070299570377,0.8072,75.75,0.934,0.756,0.7928,75.79,0.934,0.758
40,0.11700880527496338,0.837,75.64,0.934,0.757,0.8729,74.04,0.927,0.741
41,0.11809277502963177,0.8858,74.46,0.933,0.746,0.9807,73.5,0.924,0.735
42,0.10179126658118688,0.8394,75.46,0.934,0.754,0.8518,75.5,0.93,0.755
43,0.10440868574839372,0.825,75.21,0.935,0.753,0.8529,75.32,0.931,0.754
44,0.09665231647399755,0.8771,75.04,0.935,0.751,0.8993,74.25,0.929,0.744
45,0.09753262801812246,0.8075,75.68,0.939,0.757,0.8576,75.82,0.934,0.759
46,0.0858593422632951,0.888,74.46,0.933,0.744,0.8625,75.86,0.933,0.759
47,0.09298063419186152,0.8838,75.04,0.934,0.75,0.8731,75.86,0.933,0.759
48,0.08622514181412183,0.8931,75.29,0.934,0.752,0.8883,75.36,0.932,0.754
49,0.0883874760224269,0.8991,75.39,0.934,0.753,0.895,75.5,0.932,0.756
