epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3839072007399338,1.3863,25.0,0.476,0.1,1.3863,25.0,0.478,0.1
1,1.329744346325214,1.4077,25.0,0.462,0.1,1.4077,25.0,0.514,0.1
2,1.2525785831304697,1.413,25.0,0.599,0.1,1.4132,25.0,0.491,0.1
3,1.2112122462346004,1.4284,27.43,0.514,0.194,1.413,26.75,0.562,0.186
4,1.1452463113344633,1.345,37.25,0.65,0.358,1.331,36.89,0.665,0.361
5,1.0853741453244137,1.2359,45.29,0.736,0.442,1.5116,39.46,0.687,0.374
6,1.0094013021542476,2.398,37.57,0.631,0.355,2.2908,32.82,0.593,0.281
7,0.9303403524252084,1.9637,42.93,0.742,0.385,2.4358,37.75,0.672,0.316
8,0.8501977049387418,1.6599,45.68,0.719,0.432,2.1494,36.82,0.639,0.336
9,0.7636223591290987,1.451,53.68,0.81,0.524,2.063,38.86,0.673,0.381
10,0.7056384242497957,1.5921,43.54,0.745,0.425,2.059,34.54,0.627,0.324
11,0.6329202509843386,1.8017,49.39,0.78,0.472,2.0503,43.46,0.725,0.404
12,0.5676461247297434,1.7568,47.5,0.736,0.465,2.0893,41.75,0.694,0.413
13,0.5255407007840963,1.7782,63.29,0.871,0.623,2.8621,55.32,0.801,0.53
14,0.4763400797660534,1.1753,63.14,0.873,0.623,1.4801,58.04,0.812,0.577
15,0.42803387137559745,1.3608,60.68,0.879,0.611,1.5524,54.86,0.83,0.547
16,0.39384493988293867,1.3459,63.21,0.879,0.637,1.4683,54.96,0.824,0.549
17,0.36238755927636074,1.313,65.79,0.877,0.66,1.7186,58.43,0.821,0.577
18,0.34279539310015167,1.3552,58.93,0.856,0.594,1.8855,51.82,0.788,0.515
19,0.3119299267347042,1.431,60.36,0.868,0.592,2.3131,53.11,0.771,0.51
20,0.2665447670679826,0.9734,68.29,0.901,0.683,1.5748,56.96,0.824,0.555
21,0.27203052571186653,1.2713,64.43,0.882,0.641,1.8561,50.14,0.783,0.498
22,0.24403105974197387,1.4482,63.0,0.886,0.625,2.6257,44.71,0.776,0.429
23,0.23265667672340687,0.8633,71.5,0.914,0.714,1.3785,56.75,0.817,0.567
24,0.21819292192275708,1.0188,71.82,0.906,0.72,1.6072,58.89,0.825,0.592
25,0.19642298095501387,1.2011,64.11,0.869,0.641,1.7924,53.57,0.778,0.535
26,0.17586409793450283,0.7942,75.93,0.933,0.758,1.5302,59.75,0.835,0.595
27,0.16894151327701715,0.9891,73.04,0.924,0.731,1.5307,63.25,0.85,0.633
28,0.15473415702581406,0.9658,74.57,0.928,0.744,1.7304,57.96,0.816,0.581
29,0.1460348741366313,1.0248,75.5,0.932,0.75,1.6548,61.86,0.859,0.608
30,0.13656417773320126,0.8669,76.29,0.935,0.763,1.5042,65.54,0.858,0.654
31,0.12499844735631575,1.0623,72.36,0.912,0.722,1.3378,63.39,0.864,0.628
32,0.1161022057900062,0.7743,76.64,0.939,0.767,1.3872,61.54,0.858,0.61
33,0.10199536354495929,1.0287,72.11,0.921,0.712,1.5776,63.0,0.862,0.615
34,0.10201344449932759,0.8816,75.39,0.939,0.758,1.0751,69.64,0.908,0.696
35,0.08668402516498015,0.727,80.46,0.952,0.805,1.3253,66.57,0.891,0.662
36,0.08344170628831937,0.8435,79.46,0.944,0.795,1.3542,67.18,0.887,0.67
37,0.07447054440585467,0.8524,78.89,0.946,0.791,1.4585,66.21,0.88,0.661
38,0.06627658596978737,0.7388,80.71,0.952,0.807,1.3598,67.82,0.883,0.678
39,0.0804407579681048,0.896,77.46,0.942,0.773,1.3056,67.46,0.888,0.673
40,0.06537979061786946,0.8367,80.07,0.946,0.802,1.197,71.21,0.907,0.711
41,0.05551737188719786,0.8577,78.96,0.945,0.791,1.281,68.82,0.898,0.687
42,0.05038988401110356,0.8368,79.25,0.948,0.793,1.3332,69.04,0.894,0.688
43,0.04707445310285458,0.8697,79.29,0.948,0.793,1.3843,68.21,0.891,0.681
44,0.04958289675414562,0.838,79.64,0.95,0.796,1.3558,69.21,0.895,0.691
45,0.04791805947629305,0.8357,80.0,0.95,0.801,1.3708,69.46,0.895,0.693
46,0.0394687263868176,0.861,79.79,0.95,0.798,1.3804,69.75,0.897,0.696
47,0.04693144287627477,0.8731,79.54,0.949,0.796,1.3897,69.46,0.897,0.693
48,0.04298652098155939,0.8806,79.54,0.949,0.796,1.4007,69.39,0.896,0.692
49,0.04384573948784516,0.8823,79.61,0.949,0.796,1.4042,69.25,0.896,0.69
