epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3833950336162861,1.3863,25.0,0.457,0.1,1.3863,25.0,0.46,0.1
1,1.3616390521709736,1.3978,25.0,0.52,0.1,1.3978,25.0,0.583,0.1
2,1.3188360801109902,1.3951,25.0,0.691,0.1,1.3951,25.0,0.669,0.1
3,1.2799461107987624,1.4759,27.11,0.559,0.185,1.4514,28.82,0.55,0.198
4,1.2310075631508461,1.3274,34.46,0.67,0.283,1.2621,41.79,0.738,0.365
5,1.168802730853741,1.4257,28.82,0.584,0.229,1.4056,29.86,0.603,0.258
6,1.0958064840390132,1.4439,31.14,0.68,0.224,1.4706,28.07,0.654,0.185
7,1.0149007632182194,1.419,42.14,0.716,0.397,1.3772,39.43,0.706,0.375
8,0.9244231994335468,1.3906,46.25,0.763,0.427,1.3457,46.82,0.771,0.438
9,0.8802635403779837,3.9226,38.11,0.651,0.273,3.6845,39.18,0.674,0.271
10,0.7929732882059537,3.5389,41.89,0.639,0.395,3.7446,39.96,0.602,0.366
11,0.7409423562196585,1.6161,46.79,0.788,0.399,1.5195,52.54,0.812,0.461
12,0.6654390976979182,1.8733,50.39,0.783,0.478,2.1366,44.54,0.748,0.414
13,0.6278242574288295,1.7505,50.29,0.798,0.487,1.9612,46.71,0.751,0.453
14,0.609245040325018,3.3186,34.5,0.727,0.288,3.4483,35.32,0.694,0.297
15,0.5625733458078824,1.1908,60.0,0.862,0.59,1.3013,56.18,0.839,0.544
16,0.4984359654096457,0.8899,66.04,0.889,0.66,0.8865,66.61,0.89,0.667
17,0.4829843791631552,0.8834,68.39,0.892,0.688,0.8153,70.71,0.904,0.707
18,0.4569718443430387,1.026,63.93,0.873,0.623,1.0664,61.64,0.855,0.606
19,0.425198671909479,1.2365,60.82,0.856,0.593,1.3408,57.25,0.827,0.563
20,0.4002248158821693,0.8607,70.79,0.906,0.7,1.1015,68.0,0.876,0.669
21,0.359131497832445,1.11,66.68,0.896,0.664,1.2244,63.75,0.881,0.627
22,0.3496419977683287,0.8481,70.61,0.905,0.705,0.8237,70.93,0.903,0.708
23,0.343577506679755,1.1264,63.39,0.882,0.632,1.0123,65.96,0.903,0.661
24,0.3086587362564527,0.8029,71.82,0.926,0.718,0.9697,67.96,0.893,0.681
25,0.3016862289263652,0.8837,70.82,0.912,0.708,0.9191,71.18,0.9,0.714
26,0.29833539449251617,1.2461,63.04,0.886,0.634,1.1456,61.21,0.881,0.615
27,0.25575301074064694,1.0144,69.04,0.917,0.692,1.174,64.57,0.889,0.647
28,0.24954983122073687,0.9608,69.21,0.904,0.692,0.8435,71.82,0.909,0.72
29,0.23074158579111098,0.7195,75.64,0.938,0.756,0.774,73.71,0.928,0.738
30,0.22624573833667316,0.9894,68.29,0.901,0.669,1.0513,69.04,0.902,0.678
31,0.20005814066300026,0.9106,67.07,0.902,0.67,0.9289,68.61,0.903,0.684
32,0.19766175620830975,0.8143,73.89,0.927,0.741,0.9678,70.07,0.91,0.704
33,0.1949104906274722,0.7951,73.93,0.929,0.74,0.8965,71.64,0.911,0.718
34,0.1659705706513845,0.785,74.04,0.928,0.742,0.788,75.86,0.93,0.758
35,0.16076527478603217,0.741,77.11,0.939,0.773,0.7529,76.93,0.933,0.771
36,0.14458111467269752,0.7095,77.79,0.943,0.777,0.7661,77.79,0.935,0.777
37,0.14016605661465573,0.7501,76.79,0.934,0.767,0.7698,76.93,0.934,0.767
38,0.13949728436194933,0.8659,74.29,0.934,0.744,0.8334,76.21,0.93,0.765
39,0.12368699002724427,0.8939,72.29,0.916,0.721,0.8763,73.82,0.92,0.736
40,0.11800379655682124,0.7867,75.64,0.935,0.757,0.7684,76.89,0.937,0.768
41,0.10346170509090791,0.8103,76.0,0.938,0.761,0.8319,78.46,0.938,0.784
42,0.09921973963769583,0.7411,77.57,0.945,0.776,0.771,78.46,0.942,0.785
43,0.09934275024212323,0.8148,75.71,0.942,0.758,0.8059,77.07,0.941,0.771
44,0.09651857070051707,0.8143,76.39,0.94,0.765,0.8281,78.0,0.938,0.78
45,0.09137859244186144,0.8175,76.39,0.94,0.765,0.8044,78.18,0.94,0.783
46,0.08542825419169206,0.8347,75.43,0.938,0.755,0.8062,78.18,0.94,0.782
47,0.08716836399756946,0.8494,75.46,0.938,0.755,0.8016,78.57,0.941,0.786
48,0.08078358743626338,0.8446,75.89,0.939,0.759,0.7959,78.75,0.942,0.788
49,0.08780370383308483,0.8382,75.93,0.94,0.759,0.7951,78.93,0.943,0.789
