epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3838516235351563,1.3863,25.0,0.522,0.1,1.3863,25.0,0.513,0.1
1,1.3672506919273963,1.3947,25.0,0.481,0.1,1.3947,25.0,0.459,0.1
2,1.3204037006084735,1.3947,25.0,0.615,0.1,1.3947,25.0,0.583,0.1
3,1.308144290630634,1.3738,30.04,0.645,0.194,1.3762,34.29,0.662,0.226
4,1.2636828385866605,1.3319,34.54,0.668,0.289,1.2876,38.18,0.716,0.329
5,1.2175394021547759,1.3293,36.96,0.641,0.36,1.3033,39.71,0.676,0.381
6,1.1578885115109958,1.2305,40.82,0.718,0.386,1.187,46.07,0.753,0.445
7,1.0837630849618178,1.7937,23.68,0.573,0.175,1.7231,26.29,0.619,0.213
8,0.9969058476961576,2.1551,29.11,0.649,0.204,2.215,31.89,0.644,0.239
9,0.9232774303509639,1.4619,41.93,0.711,0.408,1.5775,38.75,0.708,0.346
10,0.8099829453688402,1.5156,46.68,0.78,0.446,1.5739,43.57,0.752,0.411
11,0.7608119111794692,1.3306,52.36,0.808,0.515,1.4226,49.25,0.769,0.482
12,0.6694874662619371,1.1658,61.54,0.833,0.602,1.2036,58.46,0.835,0.566
13,0.6419662315111894,1.4528,52.82,0.788,0.521,1.4386,54.68,0.787,0.546
14,0.5832406227405255,2.6639,42.14,0.745,0.387,2.8228,42.18,0.725,0.403
15,0.5477302936407236,1.1655,58.29,0.824,0.579,1.2363,57.46,0.815,0.572
16,0.48284852779828585,0.976,65.93,0.884,0.659,1.0006,67.29,0.888,0.676
17,0.4600554755100837,1.0312,61.93,0.857,0.617,1.1731,59.39,0.83,0.594
18,0.44405556687941916,1.0408,66.32,0.889,0.666,1.2651,61.79,0.863,0.617
19,0.3943810987931031,1.0738,66.14,0.881,0.663,1.1868,64.14,0.862,0.644
20,0.36746471111591045,1.4547,55.39,0.841,0.541,1.5454,53.61,0.832,0.523
21,0.3327270853977937,1.0642,66.18,0.888,0.662,1.2169,62.82,0.866,0.63
22,0.32099052988565885,1.7009,57.25,0.838,0.521,1.5597,56.64,0.841,0.53
23,0.31738153122938595,0.9488,70.18,0.907,0.697,0.8589,70.86,0.913,0.708
24,0.2841458641565763,0.9833,68.46,0.897,0.681,0.9654,70.5,0.9,0.703
25,0.28302139800328474,1.1536,64.89,0.887,0.638,1.1392,66.14,0.881,0.658
26,0.2576065675570415,1.1941,58.61,0.862,0.579,1.2471,59.46,0.855,0.588
27,0.22120350289803284,1.2603,64.04,0.865,0.641,1.3089,62.32,0.852,0.626
28,0.22513638322169965,1.0695,68.18,0.901,0.684,1.0483,68.5,0.897,0.687
29,0.19460712969303132,1.023,69.11,0.903,0.691,1.0824,69.43,0.904,0.696
30,0.18680680107611877,1.0656,68.07,0.903,0.674,1.1445,67.18,0.892,0.668
31,0.16879290903990085,0.8657,70.79,0.918,0.706,0.8639,72.64,0.923,0.725
32,0.15477988857489366,0.8291,74.11,0.935,0.742,1.0253,70.82,0.915,0.712
33,0.14748155554899803,0.8289,73.82,0.923,0.738,0.9502,71.93,0.911,0.718
34,0.13894316221659,0.9051,73.21,0.924,0.734,1.1908,66.71,0.891,0.669
35,0.12780748915213805,1.1153,69.93,0.906,0.703,1.1583,69.11,0.903,0.692
36,0.10571545305160376,0.8658,75.39,0.932,0.756,1.0273,72.96,0.917,0.73
37,0.10762364743993832,0.8085,75.75,0.933,0.755,0.9225,73.93,0.926,0.736
38,0.10415504511732321,0.8301,76.07,0.938,0.762,0.9686,74.36,0.925,0.743
39,0.09578573474517235,0.8126,74.71,0.934,0.745,0.8917,75.25,0.929,0.752
40,0.09137358974951965,0.8576,74.46,0.934,0.745,0.9772,74.96,0.925,0.749
41,0.08294024719641759,0.9165,74.18,0.93,0.744,1.0105,74.11,0.924,0.742
42,0.07207545076425259,0.8687,74.75,0.934,0.749,0.9659,75.04,0.929,0.752
43,0.07001094843905706,0.8546,75.68,0.937,0.758,0.9877,74.5,0.927,0.746
44,0.06630032529624609,0.9148,74.14,0.932,0.742,0.9775,75.32,0.93,0.754
45,0.06581313888040873,0.8821,75.39,0.937,0.755,0.9468,75.89,0.932,0.76
46,0.053887850218094314,0.9168,75.0,0.935,0.752,0.9944,75.14,0.929,0.753
47,0.05928108944342687,0.9298,74.82,0.933,0.75,1.001,75.18,0.93,0.753
48,0.05511206942968644,0.9313,74.93,0.934,0.751,1.0058,75.21,0.93,0.753
49,0.0589294985223275,0.9361,74.96,0.934,0.751,1.0109,75.32,0.93,0.754
