epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3940906479794493,1.2166,50.04,0.892,0.46,1.6662,51.98,0.736,0.368
1,1.3479059216796712,2.1816,37.41,0.826,0.325,3.3947,13.22,0.758,0.108
2,0.8499836690430146,0.552,78.28,0.976,0.781,0.7538,71.5,0.952,0.646
3,0.5454359024656289,0.4413,83.84,0.987,0.84,0.7093,71.55,0.97,0.683
4,0.47156823704212797,0.3967,85.48,0.987,0.847,0.5471,80.28,0.975,0.761
5,0.35797940485686813,0.2698,90.77,0.993,0.905,0.8821,71.96,0.969,0.666
6,0.3194330265765549,0.2689,91.07,0.995,0.912,0.8874,77.23,0.977,0.703
7,0.28255632786767887,0.202,93.08,0.996,0.929,0.4702,84.15,0.983,0.796
8,0.2660714989948657,0.2099,92.89,0.996,0.928,0.8445,76.95,0.976,0.725
9,0.25101543424857986,0.1821,93.87,0.997,0.938,0.6,78.59,0.973,0.768
10,0.23367731138316106,0.3121,90.61,0.993,0.898,0.6252,80.17,0.981,0.79
11,0.21946153365155702,0.1652,94.36,0.997,0.943,0.6976,76.76,0.972,0.724
12,0.21454941928653734,0.1522,94.82,0.997,0.948,0.3604,86.67,0.986,0.838
13,0.20418051403269546,0.1814,93.96,0.998,0.937,0.5315,80.4,0.987,0.761
14,0.19625725603819322,0.1337,95.64,0.998,0.956,0.4392,85.82,0.98,0.834
15,0.19272108823328035,0.1458,94.99,0.998,0.95,0.5285,83.45,0.975,0.794
16,0.18359534404370734,0.1285,95.82,0.998,0.958,0.4083,87.19,0.985,0.832
17,0.17785675862410164,0.1243,95.87,0.999,0.958,0.5204,83.58,0.983,0.784
18,0.17037346713431847,0.1108,96.54,0.999,0.965,0.5987,84.3,0.982,0.795
19,0.1688937112809189,0.1426,95.34,0.998,0.953,0.4085,88.06,0.989,0.857
20,0.16044713765062313,0.1695,94.23,0.998,0.94,0.4736,84.86,0.986,0.82
21,0.1525779434790214,0.1016,96.63,0.999,0.967,0.4466,86.4,0.987,0.814
22,0.14756469334405597,0.0996,96.8,0.999,0.967,0.3435,88.71,0.99,0.845
23,0.1419815830018465,0.1106,96.3,0.999,0.962,0.5719,82.79,0.98,0.785
24,0.13682333599629154,0.1004,96.62,0.999,0.966,0.3883,88.82,0.988,0.845
25,0.1300070333731858,0.1132,96.27,0.999,0.962,0.4304,88.19,0.987,0.84
26,0.12838000501088773,0.0859,97.19,0.999,0.971,0.3615,89.58,0.991,0.848
27,0.12135707850878437,0.0887,97.25,0.999,0.972,0.4366,87.48,0.985,0.827
28,0.11817477545684277,0.0761,97.54,0.999,0.975,0.3646,89.67,0.99,0.853
29,0.11345940165381918,0.0896,97.04,0.999,0.97,0.3789,87.9,0.987,0.842
30,0.10793528519570827,0.083,97.16,0.999,0.972,0.5787,86.77,0.984,0.818
31,0.1052710063334915,0.0677,97.74,0.999,0.977,0.357,89.01,0.991,0.843
32,0.09960257930607672,0.0728,97.71,0.999,0.977,0.3528,91.8,0.989,0.881
33,0.09443364908591607,0.0694,97.76,0.999,0.977,0.3308,91.63,0.989,0.886
34,0.09171203607659933,0.0647,97.74,1.0,0.977,0.3293,89.78,0.99,0.859
35,0.0870596718503743,0.0735,97.52,0.999,0.974,0.4322,87.97,0.987,0.84
36,0.08349529269575325,0.0735,97.77,0.999,0.977,0.3894,89.96,0.989,0.854
37,0.07702550484121219,0.0551,98.25,1.0,0.982,0.3377,91.13,0.99,0.87
38,0.07344115709578852,0.0527,98.27,1.0,0.982,0.3957,90.05,0.989,0.858
39,0.07164884674760069,0.0528,98.35,1.0,0.983,0.3936,89.69,0.99,0.853
40,0.06589667059274183,0.0495,98.41,1.0,0.984,0.3142,91.03,0.993,0.868
41,0.06275293251873398,0.0483,98.38,1.0,0.984,0.3366,90.7,0.991,0.863
42,0.06145167971650759,0.0438,98.64,1.0,0.986,0.3784,91.49,0.989,0.875
43,0.05814789429533973,0.0519,98.31,1.0,0.983,0.3936,90.6,0.99,0.86
44,0.05445362120285951,0.0434,98.58,1.0,0.986,0.3963,90.13,0.988,0.856
45,0.05455950304104756,0.0449,98.52,1.0,0.985,0.3712,90.45,0.99,0.86
46,0.05155837479444708,0.0438,98.56,1.0,0.985,0.3958,90.15,0.99,0.855
47,0.0508875994021774,0.0435,98.55,1.0,0.985,0.3879,90.13,0.99,0.856
48,0.04992785958379614,0.0409,98.66,1.0,0.987,0.3882,90.18,0.99,0.856
49,0.05044386838980046,0.0417,98.58,1.0,0.986,0.4026,89.88,0.99,0.851
