epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.0626531838302544,1.4378,49.56,0.897,0.418,3.4702,29.91,0.672,0.291
1,0.9538666376289928,0.6371,78.03,0.97,0.777,1.9457,36.65,0.812,0.387
2,0.9492496259537222,0.5555,79.69,0.972,0.795,1.7533,49.16,0.845,0.463
3,0.5440427205628819,0.3912,85.58,0.99,0.845,1.3668,60.38,0.908,0.539
4,0.33996669523498063,0.2249,92.75,0.995,0.928,0.705,74.77,0.963,0.665
5,0.2574073477751679,0.3531,87.9,0.994,0.874,1.3189,66.65,0.942,0.55
6,0.20961918664501986,0.1489,95.4,0.998,0.952,0.4067,87.49,0.982,0.814
7,0.18166950561346545,0.1278,95.88,0.998,0.959,0.4586,85.73,0.985,0.806
8,0.15871181287619163,0.3082,89.85,0.995,0.896,0.9598,77.5,0.949,0.703
9,0.14565490595462288,0.0918,97.28,0.999,0.972,0.3603,88.82,0.985,0.831
10,0.13008861692028126,0.1601,93.82,0.998,0.938,0.5163,84.15,0.981,0.789
11,0.12372645537459082,0.1931,93.83,0.998,0.937,1.2037,64.41,0.978,0.614
12,0.11594247331969627,0.0982,96.95,0.999,0.969,0.5804,86.14,0.984,0.806
13,0.10855447615106259,0.113,96.09,0.999,0.961,0.5768,83.45,0.977,0.763
14,0.10466217599795817,0.0696,97.7,0.999,0.977,0.3819,87.89,0.986,0.828
15,0.09957779291683413,0.1149,96.32,0.999,0.964,0.5574,83.96,0.982,0.776
16,0.10085043952696854,0.0614,98.02,1.0,0.98,0.4312,87.32,0.986,0.825
17,0.0895632039672131,0.079,97.42,0.999,0.974,0.6252,82.57,0.971,0.773
18,0.08564295423614349,0.0686,97.91,0.999,0.979,0.3654,87.92,0.986,0.836
19,0.08195526450939183,0.0798,97.63,0.999,0.975,0.3931,88.35,0.989,0.84
20,0.08111385425626164,0.0749,97.69,0.999,0.977,0.5787,84.7,0.98,0.782
21,0.07647759868766725,0.0727,97.47,1.0,0.975,0.6656,83.59,0.973,0.777
22,0.07415620630480162,0.0804,97.39,0.999,0.974,0.362,88.5,0.989,0.826
23,0.06956535129971456,0.0558,98.34,1.0,0.983,0.2979,91.24,0.992,0.884
24,0.06554611110525693,0.1455,95.03,0.999,0.948,0.8682,72.97,0.975,0.701
25,0.061973379258947664,0.0604,98.13,1.0,0.981,0.3679,89.2,0.989,0.85
26,0.06158297171308843,0.0593,98.21,1.0,0.982,0.8283,78.87,0.968,0.737
27,0.05712500813427151,0.0448,98.68,1.0,0.987,0.4125,87.73,0.985,0.826
28,0.055776861366084826,0.0587,98.15,1.0,0.982,0.4893,88.93,0.97,0.838
29,0.050324974059190695,0.0558,98.31,1.0,0.983,0.4528,88.39,0.983,0.845
30,0.048336527592379025,0.0485,98.47,1.0,0.984,0.7384,78.94,0.978,0.752
31,0.046419924478911155,0.0427,98.56,1.0,0.985,0.5567,85.69,0.981,0.809
32,0.043742066369422024,0.0389,98.77,1.0,0.988,0.371,88.11,0.987,0.838
33,0.03821240984050283,0.0469,98.55,1.0,0.985,0.4551,89.59,0.989,0.85
34,0.036681153285767765,0.0387,98.9,1.0,0.989,0.6393,80.51,0.98,0.77
35,0.03444387617364098,0.035,98.95,1.0,0.989,0.6432,85.3,0.974,0.797
36,0.03174065513115737,0.0296,99.11,1.0,0.991,0.3656,87.79,0.991,0.841
37,0.027574294916016973,0.0306,99.18,1.0,0.992,0.5645,84.1,0.984,0.792
38,0.026168782639527512,0.0314,99.09,1.0,0.991,0.7137,79.63,0.965,0.767
39,0.02398475961205566,0.0263,99.19,1.0,0.992,0.4722,87.81,0.983,0.82
40,0.02137700659406495,0.027,99.21,1.0,0.992,0.6551,81.0,0.979,0.78
41,0.020435406130448145,0.0254,99.17,1.0,0.991,0.4565,87.87,0.983,0.826
42,0.019411073944207588,0.0227,99.26,1.0,0.992,0.4742,86.8,0.984,0.815
43,0.018044540121163306,0.0224,99.36,1.0,0.994,0.4138,88.2,0.985,0.831
44,0.01698619778031036,0.0233,99.32,1.0,0.993,0.4315,88.38,0.986,0.836
45,0.015715660672554727,0.0216,99.37,1.0,0.994,0.4546,88.79,0.983,0.836
46,0.015064842590067443,0.0207,99.38,1.0,0.994,0.4694,86.44,0.984,0.817
47,0.015091119417553521,0.0208,99.42,1.0,0.994,0.4816,86.42,0.983,0.814
48,0.014398200265515769,0.0203,99.46,1.0,0.994,0.4523,87.67,0.983,0.825
49,0.014172605958209777,0.0203,99.44,1.0,0.994,0.4731,87.43,0.982,0.822
