epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7796207484805884,1.4936,41.86,0.792,0.316,1.8101,32.16,0.714,0.226
1,1.772118228738026,1.6113,36.28,0.781,0.328,1.9092,37.45,0.724,0.272
2,1.5131931849705276,1.1004,58.41,0.904,0.573,1.2721,54.57,0.86,0.482
3,1.1716848685536334,0.8816,67.12,0.946,0.629,1.105,65.77,0.923,0.584
4,0.8700319483716,0.7435,73.11,0.961,0.73,0.7825,68.4,0.952,0.641
5,0.7165497386540991,0.5026,81.22,0.98,0.81,0.7259,73.5,0.963,0.691
6,0.6161238222673375,0.4184,84.56,0.986,0.849,0.5801,79.2,0.973,0.743
7,0.5525174679828802,0.5563,80.96,0.984,0.803,0.62,77.58,0.976,0.725
8,0.49958379812351694,0.429,84.86,0.988,0.853,0.8519,70.99,0.953,0.682
9,0.46795666442122513,0.3213,88.57,0.991,0.888,0.5654,79.73,0.971,0.766
10,0.4355290762305687,0.3548,87.67,0.991,0.87,0.6334,77.53,0.974,0.724
11,0.4133896798055659,0.27,90.52,0.994,0.905,0.5254,81.59,0.976,0.795
12,0.3914895821963587,0.3515,87.64,0.991,0.877,0.5815,79.39,0.97,0.739
13,0.369853082203096,0.3912,85.89,0.99,0.866,0.9421,69.41,0.957,0.651
14,0.35651191943542077,0.291,90.1,0.993,0.9,0.4362,85.27,0.981,0.802
15,0.34606811329455356,0.2495,91.51,0.994,0.917,0.5067,82.93,0.975,0.79
16,0.3311988426419142,0.2544,91.08,0.995,0.913,0.4452,84.15,0.981,0.821
17,0.3185610962918155,0.209,93.01,0.996,0.93,0.4499,83.83,0.98,0.817
18,0.30054883100760027,0.1766,94.1,0.997,0.941,0.3533,87.46,0.984,0.846
19,0.2941874423761949,0.1957,93.67,0.996,0.937,0.2933,89.4,0.989,0.86
20,0.28332160891277386,0.1619,94.67,0.997,0.947,0.4537,85.33,0.98,0.812
21,0.2744950316178756,0.1739,94.22,0.997,0.942,0.51,82.19,0.98,0.792
22,0.26559494316951776,0.2453,91.89,0.996,0.92,0.4164,84.67,0.98,0.806
23,0.25501642408229974,0.1859,93.52,0.997,0.936,0.4388,85.55,0.985,0.819
24,0.24852529756965175,0.1721,94.3,0.997,0.942,0.3367,87.57,0.988,0.848
25,0.23748278321437938,0.1582,94.77,0.998,0.948,0.3828,87.23,0.984,0.844
26,0.23327507662142904,0.1587,94.68,0.998,0.946,0.4022,85.19,0.983,0.83
27,0.22280215632210496,0.1447,95.25,0.998,0.952,0.4792,84.46,0.981,0.806
28,0.210233247595235,0.1219,95.95,0.998,0.96,0.3598,87.65,0.986,0.847
29,0.20366107374696749,0.1273,95.85,0.998,0.958,0.416,86.14,0.983,0.828
30,0.19952050517697062,0.1482,94.98,0.998,0.949,0.57,81.89,0.979,0.785
31,0.18940776709373708,0.1128,96.25,0.999,0.963,0.3125,89.06,0.988,0.862
32,0.18025734983251085,0.1156,96.1,0.998,0.961,0.3349,88.35,0.987,0.855
33,0.17243969099976683,0.1144,96.2,0.999,0.962,0.3158,89.06,0.988,0.862
34,0.16808144944489642,0.1153,96.08,0.999,0.961,0.4698,85.88,0.984,0.838
35,0.16095557131247068,0.0884,97.08,0.999,0.971,0.2925,89.74,0.989,0.87
36,0.15196502681380958,0.101,96.59,0.999,0.966,0.3756,88.13,0.985,0.851
37,0.14326482604000731,0.0957,96.97,0.999,0.969,0.3496,87.75,0.988,0.852
38,0.1351965690051676,0.0779,97.48,0.999,0.975,0.3377,89.09,0.988,0.859
39,0.13117542672621949,0.079,97.55,0.999,0.975,0.3924,86.93,0.987,0.837
40,0.1260906250272814,0.0749,97.57,0.999,0.976,0.3319,89.82,0.988,0.865
41,0.11858214946684018,0.0788,97.47,0.999,0.975,0.4555,87.23,0.984,0.842
42,0.11612052670062444,0.0709,97.61,0.999,0.976,0.3471,89.18,0.988,0.865
43,0.11102733311099817,0.0732,97.58,0.999,0.976,0.3719,88.93,0.987,0.863
44,0.1056007939928268,0.0694,97.84,0.999,0.978,0.3406,89.34,0.988,0.867
45,0.1039098294778964,0.0697,97.75,0.999,0.977,0.3542,89.15,0.987,0.864
46,0.10141770220211437,0.0653,97.97,0.999,0.98,0.3431,89.59,0.988,0.866
47,0.09966430887346253,0.063,98.08,1.0,0.981,0.339,89.82,0.988,0.869
48,0.0974839606045288,0.0633,98.06,1.0,0.98,0.3469,89.56,0.988,0.866
49,0.09630781755278614,0.0632,98.08,1.0,0.981,0.3431,89.55,0.989,0.865
