epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,0.6517189573963911,0.9092,67.16,0.969,0.634,5.4872,15.32,0.641,0.152
1,0.5553565246443595,0.6574,80.98,0.973,0.794,4.246,41.69,0.755,0.359
2,0.33866490470412386,0.456,83.06,0.99,0.821,3.9401,33.78,0.724,0.271
3,0.21889048545057202,1.0668,71.95,0.962,0.715,4.5199,40.36,0.794,0.355
4,0.1420741575806799,0.1928,93.7,0.997,0.934,3.5848,55.63,0.816,0.479
5,0.11020569392650198,0.7652,79.07,0.983,0.745,5.3404,28.8,0.738,0.231
6,0.09374465690224722,0.0979,96.81,0.999,0.967,3.833,56.73,0.83,0.529
7,0.07601271288162331,0.6597,78.97,0.984,0.79,5.7807,33.44,0.735,0.312
8,0.07279151606149838,0.4665,86.61,0.997,0.827,6.9922,26.53,0.747,0.238
9,0.060964249084473295,0.1518,94.62,0.998,0.947,5.1745,63.59,0.831,0.586
10,0.05707899845241966,0.2075,93.48,0.998,0.93,7.1368,31.31,0.742,0.271
11,0.05185401281108245,0.2324,92.3,0.998,0.913,7.0998,37.27,0.756,0.334
12,0.049774271531170734,0.4723,83.24,0.995,0.784,6.6137,27.11,0.751,0.32
13,0.046698653486333654,0.0588,98.18,1.0,0.982,6.2866,46.88,0.777,0.391
14,0.04580428193433471,0.0408,98.79,1.0,0.988,4.9478,43.69,0.76,0.373
15,0.042892927075252205,1.0466,86.53,0.99,0.808,5.1085,45.13,0.805,0.399
16,0.038523595720048875,0.0629,97.79,1.0,0.978,4.7715,42.21,0.766,0.372
17,0.037970177857639224,0.0593,98.06,1.0,0.98,6.2847,33.78,0.777,0.316
18,0.03448197349912644,0.2182,92.21,0.998,0.914,5.0668,36.67,0.773,0.332
19,0.035190108225524,0.0535,98.28,1.0,0.983,5.0565,42.74,0.788,0.375
20,0.03282762324524289,0.051,98.37,1.0,0.984,6.6781,28.45,0.739,0.28
21,0.030258833318881986,0.0481,98.42,1.0,0.984,3.7126,45.71,0.825,0.393
22,0.028938445013924417,0.2427,92.07,0.999,0.905,6.1622,40.53,0.766,0.351
23,0.024236784990890266,0.0885,97.9,0.999,0.979,4.869,47.67,0.783,0.414
24,0.023137971303195403,0.2551,91.03,0.998,0.903,7.0173,35.48,0.766,0.301
25,0.022013277170919283,0.1749,94.3,1.0,0.939,7.9427,40.09,0.757,0.348
26,0.019189860786922197,0.1714,97.08,0.998,0.97,7.1041,51.43,0.8,0.449
27,0.017773584920018376,0.2314,92.58,1.0,0.915,6.7965,46.27,0.813,0.394
28,0.01710278503797067,0.038,98.83,1.0,0.988,8.7714,31.63,0.718,0.287
29,0.013799199619160225,0.0335,98.97,1.0,0.99,6.1359,44.32,0.802,0.382
30,0.012587833857517623,0.0268,99.22,1.0,0.992,5.0936,45.19,0.798,0.414
31,0.010746346477846412,0.5699,89.54,0.999,0.864,5.2758,40.96,0.762,0.364
32,0.009856177609093407,0.1173,96.02,1.0,0.958,6.7772,36.38,0.765,0.339
33,0.007160219787803602,0.0211,99.42,1.0,0.994,4.5203,47.26,0.808,0.417
34,0.006791995859981972,0.0419,98.48,1.0,0.985,5.7505,39.33,0.768,0.355
35,0.005013863372492961,0.0195,99.38,1.0,0.994,5.8931,46.2,0.79,0.398
36,0.003648765141471526,0.0168,99.51,1.0,0.995,5.8536,40.52,0.772,0.367
37,0.0027342935987350976,0.0176,99.4,1.0,0.994,6.2918,46.19,0.787,0.39
38,0.0025940305740308803,0.0148,99.5,1.0,0.995,5.9445,42.52,0.78,0.362
39,0.0017738517250291549,0.0128,99.58,1.0,0.996,5.7802,43.11,0.769,0.372
40,0.0014316664948578804,0.0132,99.56,1.0,0.996,5.369,43.52,0.773,0.378
41,0.0012282415286480953,0.0143,99.54,1.0,0.995,5.2781,43.96,0.773,0.378
42,0.0012650713391308289,0.0133,99.56,1.0,0.996,5.5077,40.98,0.764,0.358
43,0.001305723474377693,0.0127,99.6,1.0,0.996,5.4008,43.38,0.767,0.37
44,0.0011381684455312921,0.0125,99.57,1.0,0.996,5.5252,42.93,0.766,0.369
45,0.0009841506109042194,0.0129,99.59,1.0,0.996,5.4098,43.98,0.771,0.375
46,0.000989785059071463,0.0122,99.6,1.0,0.996,5.5631,43.08,0.768,0.37
47,0.0010514843818401137,0.0123,99.6,1.0,0.996,5.3359,44.42,0.771,0.379
48,0.000946624214530632,0.0126,99.58,1.0,0.996,5.4235,43.09,0.768,0.37
49,0.0009499124441576261,0.0123,99.6,1.0,0.996,5.3495,43.58,0.77,0.375
