epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.2219792423923383,1.2747,58.39,0.919,0.564,1.2699,64.44,0.881,0.553
1,0.9589831171069948,0.7534,73.93,0.965,0.735,1.2145,66.89,0.918,0.595
2,0.43101396064497666,0.4381,85.2,0.988,0.85,0.707,76.58,0.975,0.699
3,0.2938625200995408,0.4174,86.08,0.993,0.86,0.5835,81.68,0.98,0.781
4,0.21100442114162615,0.2084,92.88,0.996,0.929,0.364,87.59,0.984,0.834
5,0.16635754605000805,0.234,92.07,0.996,0.922,0.6415,78.37,0.979,0.741
6,0.1498011332072024,0.1375,95.66,0.998,0.955,0.3582,88.88,0.992,0.854
7,0.1337373308890823,0.152,94.91,0.998,0.951,0.3242,91.54,0.992,0.888
8,0.12624325263764588,0.107,96.78,0.999,0.967,0.32,88.88,0.992,0.848
9,0.12130941602144403,0.1796,94.07,0.998,0.943,0.4347,88.19,0.981,0.853
10,0.11094386839912036,0.1,96.75,0.999,0.967,0.2783,91.74,0.99,0.887
11,0.10557084874413561,0.1111,96.48,0.999,0.964,0.3249,88.85,0.991,0.866
12,0.09948684900037703,0.0868,97.27,0.999,0.972,0.1929,93.02,0.995,0.909
13,0.09749951198910727,0.0853,97.43,0.999,0.974,0.2986,90.51,0.993,0.885
14,0.09201853962341411,0.0989,96.78,0.999,0.967,0.2303,92.34,0.996,0.893
15,0.08801792833226396,0.0954,97.14,0.999,0.971,0.2035,93.35,0.996,0.908
16,0.08452185445822322,0.0813,97.37,0.999,0.974,0.2701,91.2,0.993,0.884
17,0.08172133417739984,0.114,96.24,0.999,0.962,0.3006,89.96,0.991,0.851
18,0.07677360637594134,0.0904,97.06,0.999,0.97,0.3296,89.94,0.991,0.867
19,0.07413911053870795,0.0799,97.38,0.999,0.974,0.2693,91.09,0.994,0.888
20,0.07306194030863357,0.0623,98.13,1.0,0.981,0.2087,93.12,0.995,0.914
21,0.06712510656585456,0.0827,97.51,0.999,0.975,0.2658,92.31,0.993,0.899
22,0.06544280944785978,0.0691,97.76,1.0,0.977,0.3258,90.35,0.992,0.865
23,0.06283046236582181,0.0524,98.31,1.0,0.983,0.2135,93.42,0.996,0.914
24,0.05765833480343703,0.0636,97.96,0.999,0.979,0.238,92.17,0.993,0.893
25,0.05577207947363509,0.1115,96.4,0.999,0.964,0.4363,87.16,0.987,0.849
26,0.05295432262676751,0.1325,96.1,0.999,0.96,0.3996,90.16,0.99,0.857
27,0.05037851749976102,0.0647,98.05,1.0,0.98,0.3449,89.36,0.99,0.866
28,0.04976940719831374,0.0757,97.45,0.999,0.975,0.448,87.65,0.985,0.851
29,0.04438573263058152,0.0574,98.27,1.0,0.983,0.3245,89.56,0.99,0.868
30,0.04303155732624847,0.0481,98.47,1.0,0.984,0.346,89.34,0.993,0.867
31,0.03984283105433521,0.0473,98.48,1.0,0.985,0.3748,90.26,0.991,0.873
32,0.03804433789758486,0.04,98.8,1.0,0.988,0.2645,92.8,0.994,0.909
33,0.03417492848670771,0.0372,98.84,1.0,0.988,0.2368,92.36,0.995,0.901
34,0.029838200767047195,0.0347,98.93,1.0,0.989,0.2855,92.33,0.993,0.899
35,0.028748778577920676,0.0409,98.73,1.0,0.987,0.2539,92.78,0.995,0.909
36,0.02586446910108503,0.0372,98.93,1.0,0.989,0.2294,93.64,0.996,0.92
37,0.02312083801882188,0.0332,99.02,1.0,0.99,0.2545,93.21,0.993,0.914
38,0.020622624942238398,0.0295,99.12,1.0,0.991,0.2851,92.44,0.993,0.908
39,0.019394404388376675,0.0287,99.18,1.0,0.992,0.2793,92.66,0.994,0.901
40,0.016306597422341078,0.0301,99.12,1.0,0.991,0.2386,93.6,0.995,0.923
41,0.014321220073995838,0.0271,99.18,1.0,0.992,0.244,93.18,0.995,0.91
42,0.013060208002779647,0.0303,99.15,1.0,0.991,0.2225,93.75,0.995,0.92
43,0.012276565719489343,0.0275,99.23,1.0,0.992,0.2703,92.91,0.994,0.91
44,0.011551854202330219,0.0261,99.26,1.0,0.992,0.2695,93.19,0.993,0.916
45,0.010626409423126969,0.0264,99.24,1.0,0.992,0.2583,93.12,0.994,0.911
46,0.010233138995011434,0.0252,99.26,1.0,0.992,0.2868,92.61,0.994,0.905
47,0.009642746713426378,0.0257,99.23,1.0,0.992,0.2795,92.99,0.993,0.909
48,0.009064102485295265,0.0251,99.25,1.0,0.992,0.2736,92.85,0.993,0.908
49,0.009197628749768153,0.0251,99.25,1.0,0.992,0.2806,92.67,0.993,0.905
